"tick","run","random_seed","Rate (T/(R+T))"
0.0,1,2142018072,"0.0"
1.0,1,2142018072,"0.0"
3.0,1,2142018072,"0.0"
5.0,1,2142018072,"0.0"
7.0,1,2142018072,"0.0"
9.0,1,2142018072,"0.0"
11.0,1,2142018072,"0.0"
13.0,1,2142018072,"0.0"
15.0,1,2142018072,"0.0"
17.0,1,2142018072,"0.0"
19.0,1,2142018072,"0.0"
21.0,1,2142018072,"0.0"
23.0,1,2142018072,"0.0"
25.0,1,2142018072,"0.0"
27.0,1,2142018072,"0.0"
29.0,1,2142018072,"0.0"
31.0,1,2142018072,"0.0"
33.0,1,2142018072,"0.0"
35.0,1,2142018072,"0.0"
37.0,1,2142018072,"0.0"
39.0,1,2142018072,"0.0"
41.0,1,2142018072,"0.0"
43.0,1,2142018072,"0.0"
45.0,1,2142018072,"0.0"
47.0,1,2142018072,"0.0"
49.0,1,2142018072,"0.0"
51.0,1,2142018072,"0.0"
53.0,1,2142018072,"0.0"
55.0,1,2142018072,"0.0"
57.0,1,2142018072,"0.0"
59.0,1,2142018072,"0.0"
61.0,1,2142018072,"0.0"
63.0,1,2142018072,"0.0"
65.0,1,2142018072,"0.0"
67.0,1,2142018072,"0.0"
69.0,1,2142018072,"0.0"
71.0,1,2142018072,"0.0"
73.0,1,2142018072,"0.0"
75.0,1,2142018072,"0.0"
77.0,1,2142018072,"0.0"
79.0,1,2142018072,"0.0"
81.0,1,2142018072,"0.0"
83.0,1,2142018072,"0.0"
85.0,1,2142018072,"0.0"
87.0,1,2142018072,"0.0"
89.0,1,2142018072,"0.0"
91.0,1,2142018072,"0.0"
93.0,1,2142018072,"0.0"
95.0,1,2142018072,"0.0"
97.0,1,2142018072,"0.0"
99.0,1,2142018072,"0.0"
101.0,1,2142018072,"0.0"
103.0,1,2142018072,"0.0"
105.0,1,2142018072,"0.0"
107.0,1,2142018072,"0.0"
109.0,1,2142018072,"0.0"
111.0,1,2142018072,"0.0"
113.0,1,2142018072,"0.005154639175257732"
115.0,1,2142018072,"0.0049504950495049506"
117.0,1,2142018072,"0.004694835680751174"
119.0,1,2142018072,"0.004629629629629629"
121.0,1,2142018072,"0.008888888888888889"
123.0,1,2142018072,"0.008620689655172414"
125.0,1,2142018072,"0.008403361344537815"
127.0,1,2142018072,"0.00816326530612245"
129.0,1,2142018072,"0.00784313725490196"
131.0,1,2142018072,"0.007352941176470588"
133.0,1,2142018072,"0.0070921985815602835"
135.0,1,2142018072,"0.006600660066006601"
137.0,1,2142018072,"0.006389776357827476"
139.0,1,2142018072,"0.006134969325153374"
141.0,1,2142018072,"0.0058823529411764705"
143.0,1,2142018072,"0.0056657223796034"
145.0,1,2142018072,"0.005390835579514825"
147.0,1,2142018072,"0.005235602094240838"
149.0,1,2142018072,"0.005063291139240506"
151.0,1,2142018072,"0.004878048780487805"
153.0,1,2142018072,"0.004672897196261682"
155.0,1,2142018072,"0.004454342984409799"
157.0,1,2142018072,"0.006423982869379015"
159.0,1,2142018072,"0.006224066390041493"
161.0,1,2142018072,"0.00597609561752988"
163.0,1,2142018072,"0.0076481835564053535"
165.0,1,2142018072,"0.007312614259597806"
167.0,1,2142018072,"0.006920415224913495"
169.0,1,2142018072,"0.006557377049180328"
171.0,1,2142018072,"0.006259780907668232"
173.0,1,2142018072,"0.005943536404160475"
175.0,1,2142018072,"0.005698005698005698"
177.0,1,2142018072,"0.005547850208044383"
179.0,1,2142018072,"0.00535475234270415"
181.0,1,2142018072,"0.0051813471502590676"
183.0,1,2142018072,"0.004993757802746567"
185.0,1,2142018072,"0.0047789725209080045"
187.0,1,2142018072,"0.0045871559633027525"
189.0,1,2142018072,"0.004449388209121246"
191.0,1,2142018072,"0.0042643923240938165"
193.0,1,2142018072,"0.006153846153846154"
195.0,1,2142018072,"0.005905511811023622"
197.0,1,2142018072,"0.005591798695246971"
199.0,1,2142018072,"0.006238859180035651"
201.0,1,2142018072,"0.007640067911714771"
203.0,1,2142018072,"0.008950366151342554"
205.0,1,2142018072,"0.010124610591900311"
207.0,1,2142018072,"0.009615384615384616"
209.0,1,2142018072,"0.010752688172043012"
211.0,1,2142018072,"0.011072664359861591"
213.0,1,2142018072,"0.011881188118811881"
215.0,1,2142018072,"0.012746972594008922"
217.0,1,2142018072,"0.01289134438305709"
219.0,1,2142018072,"0.01301775147928994"
221.0,1,2142018072,"0.014269406392694063"
223.0,1,2142018072,"0.014130434782608696"
225.0,1,2142018072,"0.0141287284144427"
227.0,1,2142018072,"0.01361573373676248"
229.0,1,2142018072,"0.01600387972841901"
231.0,1,2142018072,"0.015306122448979591"
233.0,1,2142018072,"0.015908086610693768"
235.0,1,2142018072,"0.015691263782866838"
237.0,1,2142018072,"0.016687016687016686"
239.0,1,2142018072,"0.01791277258566978"
241.0,1,2142018072,"0.01837270341207349"
243.0,1,2142018072,"0.0190032269630692"
245.0,1,2142018072,"0.020233196159122085"
247.0,1,2142018072,"0.021796565389696168"
249.0,1,2142018072,"0.022611464968152865"
251.0,1,2142018072,"0.02361963190184049"
253.0,1,2142018072,"0.024390243902439025"
255.0,1,2142018072,"0.024929178470254956"
257.0,1,2142018072,"0.02616671162665228"
259.0,1,2142018072,"0.02573433844554198"
261.0,1,2142018072,"0.02663679362708489"
263.0,1,2142018072,"0.027162258756254467"
265.0,1,2142018072,"0.027541886619233416"
267.0,1,2142018072,"0.028237370394881976"
269.0,1,2142018072,"0.02897631133671743"
271.0,1,2142018072,"0.029214850882531954"
273.0,1,2142018072,"0.029917872506843957"
275.0,1,2142018072,"0.030069535801541064"
277.0,1,2142018072,"0.030221262817053427"
279.0,1,2142018072,"0.03017166637766603"
281.0,1,2142018072,"0.030692243536280233"
283.0,1,2142018072,"0.031018964963034395"
285.0,1,2142018072,"0.03164848671070825"
287.0,1,2142018072,"0.03343736067766384"
289.0,1,2142018072,"0.03370947007570347"
291.0,1,2142018072,"0.033914595633667444"
293.0,1,2142018072,"0.03430009270295325"
295.0,1,2142018072,"0.0350050916496945"
297.0,1,2142018072,"0.035644051130776795"
299.0,1,2142018072,"0.03626451765821285"
301.0,1,2142018072,"0.03683367650423244"
303.0,1,2142018072,"0.03750962490375096"
305.0,1,2142018072,"0.03731106648345841"
307.0,1,2142018072,"0.03776280873647683"
309.0,1,2142018072,"0.03893039716869839"
311.0,1,2142018072,"0.0398066533977822"
313.0,1,2142018072,"0.03993390250619664"
315.0,1,2142018072,"0.04081451969898185"
317.0,1,2142018072,"0.04095767421975203"
319.0,1,2142018072,"0.04188697951090548"
321.0,1,2142018072,"0.04234994427638911"
323.0,1,2142018072,"0.04311736223195758"
325.0,1,2142018072,"0.04423134106452572"
327.0,1,2142018072,"0.045055419605585144"
329.0,1,2142018072,"0.045454545454545456"
331.0,1,2142018072,"0.045784590560709965"
333.0,1,2142018072,"0.04620183247774384"
335.0,1,2142018072,"0.04685239922017483"
337.0,1,2142018072,"0.04728002920774005"
339.0,1,2142018072,"0.047790006474015656"
341.0,1,2142018072,"0.048244361975449616"
343.0,1,2142018072,"0.048604960141718334"
345.0,1,2142018072,"0.049766968446992015"
347.0,1,2142018072,"0.04958935440274457"
349.0,1,2142018072,"0.04995719393664703"
351.0,1,2142018072,"0.05011979854285854"
353.0,1,2142018072,"0.05076623807942307"
355.0,1,2142018072,"0.05123959339496803"
357.0,1,2142018072,"0.0514489522960321"
359.0,1,2142018072,"0.051831644583008575"
361.0,1,2142018072,"0.05289027054276592"
363.0,1,2142018072,"0.05306555637194873"
365.0,1,2142018072,"0.05316365366317793"
367.0,1,2142018072,"0.053139350904951185"
