"Average D conjugations","Average T conjugations","tick","run","random_seed"
0.0,0.0,0.0,1,2142018072
0.0,0.0,1.0,1,2142018072
0.0,0.0,3.0,1,2142018072
0.0,0.0,5.0,1,2142018072
0.0,0.0,7.0,1,2142018072
0.0,0.0,9.0,1,2142018072
0.0,0.0,11.0,1,2142018072
0.0,0.0,13.0,1,2142018072
0.0,0.0,15.0,1,2142018072
0.0,0.0,17.0,1,2142018072
0.0,0.0,19.0,1,2142018072
0.0,0.0,21.0,1,2142018072
0.0,0.0,23.0,1,2142018072
0.0,0.0,25.0,1,2142018072
0.0,0.0,27.0,1,2142018072
0.0,0.0,29.0,1,2142018072
0.0,0.0,31.0,1,2142018072
0.0,0.0,33.0,1,2142018072
0.0,0.0,35.0,1,2142018072
0.0,0.0,37.0,1,2142018072
0.0,0.0,39.0,1,2142018072
0.0,0.0,41.0,1,2142018072
0.0,0.0,43.0,1,2142018072
0.0,0.0,45.0,1,2142018072
0.0,0.0,47.0,1,2142018072
0.0,0.0,49.0,1,2142018072
0.0,0.0,51.0,1,2142018072
0.0,0.0,53.0,1,2142018072
0.0,0.0,55.0,1,2142018072
0.0,0.0,57.0,1,2142018072
0.0,0.0,59.0,1,2142018072
0.0,0.0,61.0,1,2142018072
0.0,0.0,63.0,1,2142018072
0.0,0.0,65.0,1,2142018072
0.0,0.0,67.0,1,2142018072
0.0,0.0,69.0,1,2142018072
0.0,0.0,71.0,1,2142018072
0.0,0.0,73.0,1,2142018072
0.0,0.0,75.0,1,2142018072
0.0,0.0,77.0,1,2142018072
0.0,0.0,79.0,1,2142018072
0.0,0.0,81.0,1,2142018072
0.0,0.0,83.0,1,2142018072
0.0,0.0,85.0,1,2142018072
0.0,0.0,87.0,1,2142018072
0.0,0.0,89.0,1,2142018072
0.0,0.0,91.0,1,2142018072
0.0,0.0,93.0,1,2142018072
0.0,0.0,95.0,1,2142018072
0.0,0.0,97.0,1,2142018072
0.0,0.0,99.0,1,2142018072
