"Time","run","random_seed","gamma0","gamma0d","gamma0t","gammaI","Density","GammaEp","Rate","Plasmid","G","Gd","Gr","Gt","N","Nd","Nr","Nt","RCh","RCv","RCt","WetLabRateCurve"
"-1.0",1,4745,"0.0","0.0","0.0","0.0","0.5","0.0","0.0","pSU2007","0.0","0.0","0.0","0.0","45000.0","22500.0","22500.0","0.0","0.0","0.0","0.0","0.020525023"
"5.0",1,4745,"0.8333333333333334","0.8333333333333334","0.0","0.021739130434782608","0.5111111111111111","0.0","0.022222222222222223","pSU2007","0.0","0.0","0.0","0.0","45000.0","22500.0","22000.0","500.0","1.0","0.0","0.0","0.017822125"
"15.0",1,4745,"0.4166666666666667","0.4166666666666667","0.0","0.02127659574468085","0.5086580086580087","3.4187257685686096E-10","0.021551724137931036","pSU2007","0.0","0.0","0.0","0.0","46200.0","23000.0","22700.0","500.0","1.0","0.0","0.0","0.015647374999999998"
"25.0",1,4745,"0.35714285714285715","0.35714285714285715","0.0","0.016891891891891893","0.5051194539249146","1.7180847764961334E-10","0.02027027027027027","pSU2007","66.05703293286021","68.7358762159137","0.0","0.0","58600.0","29000.0","29000.0","600.0","0.8333333333333334","0.16666666666666666","0.0","0.016265625000000002"
"35.0",1,4745,"0.20833333333333334","0.20833333333333334","0.0","0.011441647597254004","0.5111111111111111","1.1443185344433769E-10","0.02336448598130841","pSU2007","38.04815639979976","38.11765530862617","39.42864868540795","0.0","85500.0","42700.0","41800.0","1000.0","0.5","0.5","0.0","0.019538874999999997"
"45.0",1,4745,"0.18421052631578946","0.18421052631578946","0.0","0.013944223107569721","0.5169927909371782","9.492641246649693E-11","0.026970954356846474","pSU2007","40.82661508802575","40.448822822384635","42.74851801008067","0.0","97100.0","48900.0","46900.0","1300.0","0.5384615384615384","0.46153846153846156","0.0","0.025329124999999997"
"55.0",1,4745,"0.21818181818181817","0.21818181818181817","0.0","0.018808777429467086","0.5203915171288744","8.695697815038314E-11","0.034482758620689655","pSU2007","38.28970987697053","38.042834988124234","39.94936262024106","0.0","122600.0","61700.0","58800.0","2100.0","0.5714285714285714","0.42857142857142855","0.0","0.033498375"
"65.0",1,4745,"0.16521739130434782","0.16521739130434782","0.0","0.021300448430493273","0.530952380952381","7.853319054080325E-11","0.044848484848484846","pSU2007","34.42943711696217","33.97296821073708","39.94936262024106","0.0","168000.0","85500.0","78800.0","3700.0","0.5135135135135135","0.4864864864864865","0.0","0.04390862500000001"
"75.0",1,4745,"0.1813186813186813","0.17582417582417584","0.005494505494505495","0.03075489282385834","0.5314512134720158","7.791791728594498E-11","0.05682951146560319","pSU2007","34.8618543257607","34.7134325487045","39.94936262024106","0.0","201900.0","101600.0","94600.0","5700.0","0.5789473684210527","0.42105263157894735","0.030303030303030304","0.056421875"
"85.0",1,4745,"0.1476923076923077","0.14461538461538462","0.003076923076923077","0.03435934144595562","0.5446393762183236","7.526593740124205E-11","0.07301587301587302","pSU2007","34.07650825302238","33.73936504131126","36.01147004713137","0.0","256500.0","130500.0","116800.0","9200.0","0.5217391304347826","0.4782608695652174","0.020833333333333332","0.07090012500000001"
