"tick","run","random_seed","Gamma end-point (D+R+T growth rate)"
0.0,1,930625508,"0.0"
1.0,1,930625508,"5.781702402262568E-8"
2.0,1,930625508,"2.8876357767885723E-8"
3.0,1,930625508,"1.920822674578064E-8"
4.0,1,930625508,"1.4390237860342468E-8"
5.0,1,930625508,"1.1486813329788561E-8"
6.0,1,930625508,"9.561818118506874E-9"
7.0,1,930625508,"8.160021574821752E-9"
8.0,1,930625508,"7.124485429977012E-9"
9.0,1,930625508,"6.326002690568228E-9"
10.0,1,930625508,"5.674953387281913E-9"
11.0,1,930625508,"5.136913675385719E-9"
12.0,1,930625508,"4.698780489858048E-9"
13.0,1,930625508,"4.328105915731869E-9"
14.0,1,930625508,"3.99774309569051E-9"
15.0,1,930625508,"3.703978455423217E-9"
16.0,1,930625508,"3.4581069543180334E-9"
17.0,1,930625508,"3.2446419963988604E-9"
18.0,1,930625508,"3.048743669243819E-9"
19.0,1,930625508,"2.769172692454012E-9"
20.0,1,930625508,"2.6175358304096813E-9"
21.0,1,930625508,"2.4805082812532547E-9"
22.0,1,930625508,"2.275543846325411E-9"
23.0,1,930625508,"2.1471757852034833E-9"
24.0,1,930625508,"2.0459316226911212E-9"
25.0,1,930625508,"1.9419900406444266E-9"
26.0,1,930625508,"1.8483668688548328E-9"
27.0,1,930625508,"1.752680679468983E-9"
28.0,1,930625508,"1.6810705894044883E-9"
29.0,1,930625508,"2.169182697806329E-9"
30.0,1,930625508,"2.3400456641664245E-9"
31.0,1,930625508,"2.236052315365712E-9"
32.0,1,930625508,"2.369447477226825E-9"
33.0,1,930625508,"2.623952419427911E-9"
34.0,1,930625508,"2.445742080930964E-9"
35.0,1,930625508,"2.2840170342022404E-9"
36.0,1,930625508,"2.023668984662989E-9"
37.0,1,930625508,"1.893558970379141E-9"
38.0,1,930625508,"1.8192132538944403E-9"
39.0,1,930625508,"1.5846539060830206E-9"
40.0,1,930625508,"1.5296783190446771E-9"
41.0,1,930625508,"1.5459684096062194E-9"
42.0,1,930625508,"1.492790589181943E-9"
43.0,1,930625508,"1.5734912492757288E-9"
44.0,1,930625508,"1.6637067428291668E-9"
45.0,1,930625508,"1.6614151720919212E-9"
46.0,1,930625508,"1.5473099010354226E-9"
47.0,1,930625508,"1.6022790276208788E-9"
48.0,1,930625508,"1.5501872240830793E-9"
49.0,1,930625508,"1.4777707836104342E-9"
50.0,1,930625508,"1.4091483945471323E-9"
51.0,1,930625508,"1.3112212287923772E-9"
52.0,1,930625508,"1.3291256561293492E-9"
53.0,1,930625508,"1.2598823928552412E-9"
54.0,1,930625508,"1.2810876959111251E-9"
55.0,1,930625508,"1.235501697604153E-9"
56.0,1,930625508,"1.1818423007636397E-9"
57.0,1,930625508,"1.1376554842845988E-9"
58.0,1,930625508,"1.0935669228536498E-9"
59.0,1,930625508,"1.082907424124374E-9"
60.0,1,930625508,"1.0581236756620278E-9"
61.0,1,930625508,"1.0595744356210796E-9"
62.0,1,930625508,"1.1011218777627632E-9"
63.0,1,930625508,"1.0513949503692312E-9"
64.0,1,930625508,"1.022826299862156E-9"
65.0,1,930625508,"1.0061412218722216E-9"
66.0,1,930625508,"9.980151413745913E-10"
67.0,1,930625508,"9.745544679850856E-10"
68.0,1,930625508,"9.65171799539787E-10"
69.0,1,930625508,"9.914809804712072E-10"
70.0,1,930625508,"9.965175684329972E-10"
71.0,1,930625508,"9.567507863001688E-10"
72.0,1,930625508,"1.0504850576190023E-9"
73.0,1,930625508,"9.730208988036293E-10"
74.0,1,930625508,"9.461098945578699E-10"
75.0,1,930625508,"9.09981643798653E-10"
76.0,1,930625508,"8.618708840348956E-10"
77.0,1,930625508,"8.276922589825433E-10"
78.0,1,930625508,"8.10774859613062E-10"
79.0,1,930625508,"7.874985610077706E-10"
80.0,1,930625508,"7.555235738013616E-10"
81.0,1,930625508,"7.231641818737877E-10"
82.0,1,930625508,"7.799387796167915E-10"
83.0,1,930625508,"7.663361049427767E-10"
84.0,1,930625508,"7.598837648915059E-10"
85.0,1,930625508,"7.391166434176637E-10"
86.0,1,930625508,"7.176207459874659E-10"
87.0,1,930625508,"6.969456136173854E-10"
88.0,1,930625508,"6.926510310763746E-10"
89.0,1,930625508,"7.33047211929042E-10"
90.0,1,930625508,"7.272326402659348E-10"
91.0,1,930625508,"7.090307434140551E-10"
92.0,1,930625508,"7.004081580314446E-10"
93.0,1,930625508,"6.816464312554065E-10"
94.0,1,930625508,"6.833034852102066E-10"
95.0,1,930625508,"6.687015266269433E-10"
96.0,1,930625508,"6.611980091177885E-10"
97.0,1,930625508,"6.436799887677456E-10"
98.0,1,930625508,"6.238023805051584E-10"
99.0,1,930625508,"6.016296690332735E-10"
100.0,1,930625508,"5.960996991755507E-10"
101.0,1,930625508,"5.961524057835365E-10"
102.0,1,930625508,"5.765378431107836E-10"
103.0,1,930625508,"5.591584519029545E-10"
