"tick","run","random_seed","Relative contribution of horizontal transfer","Relative contribution of vertical transfer","Relative contribution of transconjugants re-transfers"
0.0,1,207372165,"0.40770265557271684","0.5922973444272831","0.0"
1.0,1,207372165,"0.0","0.0","0.0"
2.0,1,207372165,"0.0","0.0","0.0"
3.0,1,207372165,"0.0","0.0","0.0"
4.0,1,207372165,"0.0","0.0","0.0"
5.0,1,207372165,"0.0","0.0","0.0"
6.0,1,207372165,"0.0","0.0","0.0"
7.0,1,207372165,"0.0","0.0","0.0"
8.0,1,207372165,"0.0","0.0","0.0"
9.0,1,207372165,"0.0","0.0","0.0"
10.0,1,207372165,"0.0","0.0","0.0"
11.0,1,207372165,"0.0","0.0","0.0"
12.0,1,207372165,"0.0","0.0","0.0"
13.0,1,207372165,"0.0","0.0","0.0"
14.0,1,207372165,"0.0","0.0","0.0"
15.0,1,207372165,"0.0","0.0","0.0"
16.0,1,207372165,"0.0","0.0","0.0"
17.0,1,207372165,"0.0","0.0","0.0"
18.0,1,207372165,"0.0","0.0","0.0"
19.0,1,207372165,"0.0","0.0","0.0"
20.0,1,207372165,"0.0","0.0","0.0"
21.0,1,207372165,"0.0","0.0","0.0"
22.0,1,207372165,"0.0","0.0","0.0"
23.0,1,207372165,"0.0","0.0","0.0"
24.0,1,207372165,"0.0","0.0","0.0"
25.0,1,207372165,"0.0","0.0","0.0"
26.0,1,207372165,"0.0","0.0","0.0"
27.0,1,207372165,"1.0","0.0","0.0"
28.0,1,207372165,"1.0","0.0","0.0"
29.0,1,207372165,"1.0","0.0","0.0"
30.0,1,207372165,"1.0","0.0","0.0"
31.0,1,207372165,"1.0","0.0","0.0"
32.0,1,207372165,"1.0","0.0","0.0"
33.0,1,207372165,"1.0","0.0","0.0"
34.0,1,207372165,"1.0","0.0","0.0"
35.0,1,207372165,"1.0","0.0","0.0"
36.0,1,207372165,"1.0","0.0","0.0"
37.0,1,207372165,"1.0","0.0","0.0"
38.0,1,207372165,"1.0","0.0","0.0"
39.0,1,207372165,"1.0","0.0","0.0"
40.0,1,207372165,"1.0","0.0","0.0"
41.0,1,207372165,"1.0","0.0","0.0"
42.0,1,207372165,"1.0","0.0","0.0"
43.0,1,207372165,"1.0","0.0","0.0"
44.0,1,207372165,"1.0","0.0","0.0"
45.0,1,207372165,"1.0","0.0","0.0"
46.0,1,207372165,"1.0","0.0","0.0"
47.0,1,207372165,"1.0","0.0","0.0"
48.0,1,207372165,"1.0","0.0","0.0"
49.0,1,207372165,"0.9","0.1","0.0"
50.0,1,207372165,"0.9","0.1","0.0"
51.0,1,207372165,"0.8181818181818182","0.18181818181818182","0.0"
52.0,1,207372165,"0.8181818181818182","0.18181818181818182","0.0"
53.0,1,207372165,"0.8461538461538461","0.15384615384615385","0.0"
54.0,1,207372165,"0.7857142857142857","0.21428571428571427","0.0"
55.0,1,207372165,"0.7857142857142857","0.21428571428571427","0.0"
56.0,1,207372165,"0.7857142857142857","0.21428571428571427","0.0"
57.0,1,207372165,"0.7857142857142857","0.21428571428571427","0.0"
58.0,1,207372165,"0.7333333333333333","0.26666666666666666","0.0"
59.0,1,207372165,"0.6875","0.3125","0.0"
60.0,1,207372165,"0.6875","0.3125","0.0"
61.0,1,207372165,"0.7058823529411765","0.29411764705882354","0.0"
62.0,1,207372165,"0.6956521739130435","0.30434782608695654","0.0"
63.0,1,207372165,"0.7083333333333334","0.2916666666666667","0.0"
64.0,1,207372165,"0.72","0.28","0.0"
65.0,1,207372165,"0.72","0.28","0.0"
66.0,1,207372165,"0.72","0.28","0.0"
67.0,1,207372165,"0.72","0.28","0.0"
68.0,1,207372165,"0.7307692307692307","0.2692307692307692","0.0"
69.0,1,207372165,"0.7419354838709677","0.25806451612903225","0.0"
70.0,1,207372165,"0.7575757575757576","0.24242424242424243","0.0"
71.0,1,207372165,"0.7352941176470589","0.2647058823529412","0.0"
72.0,1,207372165,"0.7352941176470589","0.2647058823529412","0.0"
73.0,1,207372165,"0.7692307692307693","0.23076923076923078","0.0"
74.0,1,207372165,"0.7692307692307693","0.23076923076923078","0.0"
75.0,1,207372165,"0.7692307692307693","0.23076923076923078","0.0"
76.0,1,207372165,"0.7692307692307693","0.23076923076923078","0.0"
77.0,1,207372165,"0.75","0.25","0.0"
78.0,1,207372165,"0.6888888888888889","0.3111111111111111","0.0"
79.0,1,207372165,"0.6739130434782609","0.32608695652173914","0.0"
80.0,1,207372165,"0.6938775510204082","0.30612244897959184","0.0"
81.0,1,207372165,"0.68","0.32","0.0"
82.0,1,207372165,"0.6785714285714286","0.32142857142857145","0.0"
83.0,1,207372165,"0.6785714285714286","0.32142857142857145","0.0"
84.0,1,207372165,"0.6785714285714286","0.32142857142857145","0.0"
85.0,1,207372165,"0.6785714285714286","0.32142857142857145","0.0"
86.0,1,207372165,"0.6785714285714286","0.32142857142857145","0.0"
87.0,1,207372165,"0.6551724137931034","0.3448275862068966","0.0"
88.0,1,207372165,"0.640625","0.359375","0.0"
89.0,1,207372165,"0.640625","0.359375","0.0"
90.0,1,207372165,"0.6363636363636364","0.36363636363636365","0.0"
91.0,1,207372165,"0.6323529411764706","0.36764705882352944","0.0"
92.0,1,207372165,"0.6231884057971014","0.37681159420289856","0.0"
93.0,1,207372165,"0.6538461538461539","0.34615384615384615","0.0"
94.0,1,207372165,"0.6455696202531646","0.35443037974683544","0.0"
95.0,1,207372165,"0.65","0.35","0.0"
96.0,1,207372165,"0.65","0.35","0.0"
97.0,1,207372165,"0.6588235294117647","0.3411764705882353","0.0"
98.0,1,207372165,"0.6436781609195402","0.3563218390804598","0.0"
99.0,1,207372165,"0.6404494382022472","0.3595505617977528","0.0"
100.0,1,207372165,"0.6263736263736264","0.37362637362637363","0.0"
101.0,1,207372165,"0.6195652173913043","0.3804347826086957","0.0"
102.0,1,207372165,"0.5816326530612245","0.41836734693877553","0.0"
103.0,1,207372165,"0.625","0.375","0.0"
104.0,1,207372165,"0.6194690265486725","0.3805309734513274","0.0"
105.0,1,207372165,"0.6416666666666667","0.35833333333333334","0.0"
106.0,1,207372165,"0.6290322580645161","0.3709677419354839","0.0"
107.0,1,207372165,"0.6141732283464567","0.3858267716535433","0.0"
108.0,1,207372165,"0.6124031007751938","0.3875968992248062","0.0"
109.0,1,207372165,"0.6106870229007634","0.3893129770992366","0.0"
110.0,1,207372165,"0.5869565217391305","0.41304347826086957","0.0"
111.0,1,207372165,"0.5886524822695035","0.41134751773049644","0.0"
112.0,1,207372165,"0.5724137931034483","0.42758620689655175","0.0"
113.0,1,207372165,"0.6073619631901841","0.39263803680981596","0.0"
114.0,1,207372165,"0.6073619631901841","0.39263803680981596","0.0"
115.0,1,207372165,"0.5963855421686747","0.4036144578313253","0.0"
116.0,1,207372165,"0.5852272727272727","0.4147727272727273","0.0"
117.0,1,207372165,"0.580110497237569","0.4198895027624309","0.0"
118.0,1,207372165,"0.572972972972973","0.42702702702702705","0.0"
119.0,1,207372165,"0.5668449197860963","0.43315508021390375","0.0"
120.0,1,207372165,"0.5561224489795918","0.44387755102040816","0.0"
121.0,1,207372165,"0.5477386934673367","0.45226130653266333","0.0"
122.0,1,207372165,"0.5472636815920398","0.4527363184079602","0.0"
123.0,1,207372165,"0.5765765765765766","0.42342342342342343","0.0"
124.0,1,207372165,"0.5663716814159292","0.4336283185840708","0.0"
125.0,1,207372165,"0.5663716814159292","0.4336283185840708","0.0"
126.0,1,207372165,"0.5654008438818565","0.4345991561181435","0.0"
