"tick","Population (D+R+T)","Population (R)","Population (D)","Population (T)"
0.0,"50000.0","47500.0","2500.0","0.0"
1.0,"50100.0","47600.0","2500.0","0.0"
2.0,"50100.0","47600.0","2500.0","0.0"
3.0,"50300.0","47800.0","2500.0","0.0"
4.0,"50400.0","47900.0","2500.0","0.0"
5.0,"50500.0","48000.0","2500.0","0.0"
6.0,"50500.0","48000.0","2500.0","0.0"
7.0,"50700.0","48200.0","2500.0","0.0"
8.0,"50900.0","48300.0","2600.0","0.0"
9.0,"51200.0","48600.0","2600.0","0.0"
10.0,"51200.0","48600.0","2600.0","0.0"
11.0,"51700.0","49100.0","2600.0","0.0"
12.0,"51800.0","49200.0","2600.0","0.0"
13.0,"52200.0","49600.0","2600.0","0.0"
14.0,"52500.0","49800.0","2700.0","0.0"
15.0,"53400.0","50700.0","2700.0","0.0"
16.0,"53500.0","50800.0","2700.0","0.0"
17.0,"54300.0","51400.0","2900.0","0.0"
18.0,"54300.0","51400.0","2900.0","0.0"
19.0,"54800.0","51800.0","3000.0","0.0"
20.0,"55200.0","52200.0","3000.0","0.0"
21.0,"56000.0","53000.0","3000.0","0.0"
22.0,"56400.0","53400.0","3000.0","0.0"
23.0,"57200.0","54200.0","3000.0","0.0"
24.0,"57700.0","54700.0","3000.0","0.0"
25.0,"58500.0","55400.0","3100.0","0.0"
26.0,"59600.0","56300.0","3200.0","100.0"
27.0,"60600.0","57300.0","3200.0","100.0"
28.0,"61500.0","58200.0","3200.0","100.0"
29.0,"63200.0","59800.0","3300.0","100.0"
30.0,"64700.0","61200.0","3400.0","100.0"
31.0,"66800.0","63300.0","3400.0","100.0"
32.0,"68200.0","64500.0","3400.0","300.0"
33.0,"70300.0","66500.0","3500.0","300.0"
34.0,"71400.0","67200.0","3900.0","300.0"
35.0,"73300.0","68800.0","4100.0","400.0"
36.0,"74500.0","70000.0","4100.0","400.0"
37.0,"75800.0","71200.0","4200.0","400.0"
38.0,"77700.0","72900.0","4400.0","400.0"
39.0,"79600.0","74600.0","4600.0","400.0"
40.0,"80300.0","75100.0","4700.0","500.0"
41.0,"83100.0","77700.0","4900.0","500.0"
42.0,"84300.0","78900.0","4900.0","500.0"
43.0,"86400.0","80800.0","4900.0","700.0"
44.0,"88700.0","82500.0","5400.0","800.0"
45.0,"90900.0","84600.0","5500.0","800.0"
46.0,"92000.0","85600.0","5600.0","800.0"
47.0,"95700.0","89100.0","5700.0","900.0"
48.0,"97900.0","91200.0","5700.0","1000.0"
49.0,"100200.0","93500.0","5700.0","1000.0"
50.0,"102600.0","95800.0","5700.0","1100.0"
51.0,"104700.0","97700.0","5900.0","1100.0"
52.0,"106400.0","99200.0","5900.0","1300.0"
53.0,"109700.0","101900.0","6400.0","1400.0"
54.0,"111000.0","103200.0","6400.0","1400.0"
55.0,"113600.0","105800.0","6400.0","1400.0"
56.0,"114800.0","106900.0","6500.0","1400.0"
57.0,"118100.0","110100.0","6500.0","1500.0"
58.0,"119200.0","111100.0","6500.0","1600.0"
59.0,"122600.0","114100.0","6900.0","1600.0"
60.0,"123400.0","114800.0","6900.0","1700.0"
61.0,"126400.0","116900.0","7200.0","2300.0"
62.0,"128300.0","118400.0","7500.0","2400.0"
63.0,"131600.0","121600.0","7500.0","2500.0"
64.0,"133400.0","123300.0","7600.0","2500.0"
65.0,"137300.0","127200.0","7600.0","2500.0"
66.0,"139500.0","129200.0","7800.0","2500.0"
67.0,"144000.0","133300.0","8100.0","2600.0"
68.0,"146000.0","134600.0","8300.0","3100.0"
69.0,"148500.0","136500.0","8700.0","3300.0"
70.0,"150200.0","138000.0","8800.0","3400.0"
71.0,"153600.0","141100.0","9100.0","3400.0"
72.0,"155800.0","142700.0","9200.0","3900.0"
73.0,"158700.0","145300.0","9500.0","3900.0"
74.0,"161200.0","147500.0","9800.0","3900.0"
75.0,"164700.0","150700.0","10100.0","3900.0"
76.0,"166300.0","152200.0","10100.0","4000.0"
77.0,"171600.0","156800.0","10300.0","4500.0"
78.0,"173500.0","158500.0","10400.0","4600.0"
79.0,"177800.0","162100.0","10800.0","4900.0"
80.0,"180600.0","164500.0","11100.0","5000.0"
81.0,"183700.0","166900.0","11200.0","5600.0"
82.0,"187000.0","170200.0","11200.0","5600.0"
83.0,"192600.0","175400.0","11600.0","5600.0"
84.0,"195300.0","178000.0","11700.0","5600.0"
85.0,"199300.0","181700.0","12000.0","5600.0"
86.0,"203700.0","185700.0","12200.0","5800.0"
87.0,"208300.0","189300.0","12600.0","6400.0"
88.0,"210200.0","190900.0","12900.0","6400.0"
89.0,"215600.0","195300.0","13700.0","6600.0"
90.0,"218500.0","197800.0","13900.0","6800.0"
91.0,"222800.0","201800.0","14100.0","6900.0"
92.0,"226700.0","204600.0","14300.0","7800.0"
93.0,"230300.0","207800.0","14600.0","7900.0"
94.0,"234300.0","211400.0","14900.0","8000.0"
95.0,"242300.0","219200.0","15100.0","8000.0"
96.0,"245100.0","221100.0","15500.0","8500.0"
97.0,"251500.0","227300.0","15500.0","8700.0"
98.0,"257200.0","232500.0","15800.0","8900.0"
99.0,"262500.0","237400.0","16000.0","9100.0"
100.0,"265800.0","240300.0","16300.0","9200.0"
101.0,"274400.0","247700.0","16900.0","9800.0"
102.0,"278300.0","249800.0","17300.0","11200.0"
103.0,"284400.0","255000.0","18100.0","11300.0"
104.0,"288900.0","258300.0","18600.0","12000.0"
105.0,"294900.0","263400.0","19100.0","12400.0"
106.0,"299600.0","267800.0","19100.0","12700.0"
107.0,"307900.0","275300.0","19700.0","12900.0"
108.0,"311500.0","278500.0","19900.0","13100.0"
109.0,"317900.0","283700.0","20400.0","13800.0"
110.0,"323100.0","288000.0","21000.0","14100.0"
111.0,"331900.0","296400.0","21000.0","14500.0"
112.0,"336500.0","298900.0","21300.0","16300.0"
113.0,"343900.0","305500.0","22100.0","16300.0"
114.0,"350600.0","311700.0","22300.0","16600.0"
115.0,"360000.0","319700.0","22700.0","17600.0"
