"tick","run","random_seed","gamma0(N)","gamma0(D)","gamma0(T)"
111.0,1,383639,"0.5042735042735043","0.5042735042735043","0.0"
112.0,1,383639,"0.5042735042735043","0.5042735042735043","0.0"
113.0,1,383639,"0.46825396825396826","0.46825396825396826","0.0"
114.0,1,383639,"0.5037037037037037","0.5037037037037037","0.0"
115.0,1,383639,"0.4927536231884058","0.4927536231884058","0.0"
116.0,1,383639,"0.5035460992907801","0.5035460992907801","0.0"
117.0,1,383639,"0.5","0.5","0.0"
118.0,1,383639,"0.5069444444444444","0.5069444444444444","0.0"
119.0,1,383639,"0.5069444444444444","0.5069444444444444","0.0"
120.0,1,383639,"0.5","0.5","0.0"
121.0,1,383639,"0.5067567567567568","0.5067567567567568","0.0"
122.0,1,383639,"0.4491017964071856","0.4491017964071856","0.0"
123.0,1,383639,"0.5","0.5","0.0"
124.0,1,383639,"0.5053763440860215","0.5053763440860215","0.0"
125.0,1,383639,"0.49473684210526314","0.49473684210526314","0.0"
126.0,1,383639,"0.5076923076923077","0.5076923076923077","0.0"
127.0,1,383639,"0.5","0.5","0.0"
128.0,1,383639,"0.5074626865671642","0.5074626865671642","0.0"
129.0,1,383639,"0.5024630541871922","0.5024630541871922","0.0"
130.0,1,383639,"0.49514563106796117","0.49514563106796117","0.0"
131.0,1,383639,"0.5023923444976076","0.5023923444976076","0.0"
132.0,1,383639,"0.46255506607929514","0.46255506607929514","0.0"
133.0,1,383639,"0.5020408163265306","0.5020408163265306","0.0"
134.0,1,383639,"0.4939759036144578","0.4939759036144578","0.0"
135.0,1,383639,"0.5078125","0.5078125","0.0"
136.0,1,383639,"0.5038759689922481","0.5038759689922481","0.0"
137.0,1,383639,"0.49429657794676807","0.49429657794676807","0.0"
138.0,1,383639,"0.5055762081784386","0.5055762081784386","0.0"
139.0,1,383639,"0.5037037037037037","0.5037037037037037","0.0"
140.0,1,383639,"0.49635036496350365","0.49635036496350365","0.0"
141.0,1,383639,"0.5053763440860215","0.5053763440860215","0.0"
142.0,1,383639,"0.5035714285714286","0.5035714285714286","0.0"
143.0,1,383639,"0.45483870967741935","0.45483870967741935","0.0"
144.0,1,383639,"0.5029411764705882","0.5029411764705882","0.0"
145.0,1,383639,"0.49279538904899134","0.49279538904899134","0.0"
146.0,1,383639,"0.5070028011204482","0.5070028011204482","0.0"
147.0,1,383639,"0.505586592178771","0.505586592178771","0.0"
148.0,1,383639,"0.5041782729805014","0.5041782729805014","0.0"
149.0,1,383639,"0.5","0.5","0.0"
150.0,1,383639,"0.5027472527472527","0.5027472527472527","0.0"
151.0,1,383639,"0.4986376021798365","0.4986376021798365","0.0"
152.0,1,383639,"0.5067024128686327","0.5067024128686327","0.0"
153.0,1,383639,"0.4713216957605985","0.4713216957605985","0.0"
154.0,1,383639,"0.5035128805620609","0.5035128805620609","0.0"
155.0,1,383639,"0.49653579676674364","0.49653579676674364","0.0"
156.0,1,383639,"0.5056689342403629","0.5056689342403629","0.0"
157.0,1,383639,"0.5056689342403629","0.5056689342403629","0.0"
158.0,1,383639,"0.4988814317673378","0.4988814317673378","0.0"
159.0,1,383639,"0.504424778761062","0.504424778761062","0.0"
160.0,1,383639,"0.4956521739130435","0.4956521739130435","0.0"
161.0,1,383639,"0.5021459227467812","0.5021459227467812","0.0"
162.0,1,383639,"0.45525291828793774","0.45525291828793774","0.0"
163.0,1,383639,"0.49640287769784175","0.49640287769784175","0.0"
164.0,1,383639,"0.507908611599297","0.507908611599297","0.0"
165.0,1,383639,"0.5034843205574913","0.5034843205574913","0.0"
166.0,1,383639,"0.5008665511265165","0.5008665511265165","0.0"
167.0,1,383639,"0.49401709401709404","0.49401709401709404","0.0"
168.0,1,383639,"0.5058430717863105","0.5058430717863105","0.0"
169.0,1,383639,"0.5033222591362126","0.5033222591362126","0.0"
170.0,1,383639,"0.5","0.5","0.0"
171.0,1,383639,"0.5040916530278232","0.5040916530278232","0.0"
172.0,1,383639,"0.501628664495114","0.501628664495114","0.0"
173.0,1,383639,"0.4562962962962963","0.4562962962962963","0.0"
174.0,1,383639,"0.49931787175989084","0.49931787175989084","0.0"
175.0,1,383639,"0.5106666666666667","0.5106666666666667","0.0"
176.0,1,383639,"0.5099866844207723","0.5099866844207723","0.0"
177.0,1,383639,"0.5032851511169514","0.5032851511169514","0.0"
178.0,1,383639,"0.496757457846952","0.496757457846952","0.0"
179.0,1,383639,"0.5063613231552163","0.5063613231552163","0.0"
180.0,1,383639,"0.5025252525252525","0.5025252525252525","0.0"
181.0,1,383639,"0.49874686716791977","0.49874686716791977","0.0"
182.0,1,383639,"0.5402298850574713","0.5402298850574713","0.0"
183.0,1,383639,"0.5251396648044693","0.5251396648044693","0.0"
184.0,1,383639,"0.5081081081081081","0.5081081081081081","0.0"
185.0,1,383639,"0.49009384775808135","0.49009384775808135","0.0"
186.0,1,383639,"0.5075528700906344","0.5075528700906344","0.0"
187.0,1,383639,"0.49753208292201384","0.49753208292201384","0.0"
188.0,1,383639,"0.5086872586872587","0.5086872586872587","0.0"
189.0,1,383639,"0.5028625954198473","0.5028625954198473","0.0"
190.0,1,383639,"0.4962335216572505","0.4962335216572505","0.0"
191.0,1,383639,"0.5037105751391465","0.5037105751391465","0.0"
192.0,1,383639,"0.5","0.5","0.0"
193.0,1,383639,"0.5358974358974359","0.5358974358974359","0.0"
194.0,1,383639,"0.5220649458784347","0.5220649458784347","0.0"
195.0,1,383639,"0.5081037277147488","0.5081037277147488","0.0"
196.0,1,383639,"0.4921507064364207","0.4921507064364207","0.0"
197.0,1,383639,"0.5098484848484849","0.5098484848484849","0.0"
198.0,1,383639,"0.5026138909634055","0.5026138909634055","0.0"
199.0,1,383639,"0.4948529411764706","0.4948529411764706","0.0"
200.0,1,383639,"0.5046863734679163","0.5046863734679163","0.0"
201.0,1,383639,"0.49964311206281226","0.49964311206281226","0.0"
202.0,1,383639,"0.5049435028248588","0.5049435028248588","0.0"
203.0,1,383639,"0.4565772669220945","0.4565772669220945","0.0"
204.0,1,383639,"0.4967474866942638","0.4967474866942638","0.0"
205.0,1,383639,"0.5058072009291521","0.5058072009291521","0.0"
206.0,1,383639,"0.4977142857142857","0.4977142857142857","0.0"
207.0,1,383639,"0.5053460889138999","0.5053460889138999","0.0"
208.0,1,383639,"0.4983351831298557","0.4983351831298557","0.0"
209.0,1,383639,"0.5046575342465753","0.5046575342465753","0.0"
210.0,1,383639,"0.5008156606851549","0.5008156606851549","0.0"
211.0,1,383639,"0.4933047670058918","0.4933047670058918","0.0"
212.0,1,383639,"0.5227043390514632","0.5227043390514632","0.0"
213.0,1,383639,"0.5105963528831937","0.5105963528831937","0.0"
214.0,1,383639,"0.5002414292612265","0.5002414292612265","0.0"
215.0,1,383639,"0.4882186616399623","0.4882186616399623","0.0"
216.0,1,383639,"0.501834862385321","0.501834862385321","0.0"
217.0,1,383639,"0.4932371505861136","0.4932371505861136","0.0"
218.0,1,383639,"0.5030946065428824","0.5030946065428824","0.0"
219.0,1,383639,"0.4995610184372256","0.4995610184372256","0.0"
220.0,1,383639,"0.5054229934924078","0.5054229934924078","0.0"
221.0,1,383639,"0.501506672406371","0.501506672406371","0.0"
222.0,1,383639,"0.4716599190283401","0.4716599190283401","0.0"
223.0,1,383639,"0.4978838014621008","0.4978838014621008","0.0"
224.0,1,383639,"0.509213990221888","0.509213990221888","0.0"
225.0,1,383639,"0.505035434539351","0.505035434539351","0.0"
226.0,1,383639,"0.49779411764705883","0.49779411764705883","0.0"
227.0,1,383639,"0.5048930772018847","0.5048930772018847","0.0"
228.0,1,383639,"0.5003591954022989","0.5003591954022989","0.0"
229.0,1,383639,"0.4959060163759345","0.4959060163759345","0.0"
230.0,1,383639,"0.5010570824524313","0.5010570824524313","0.0"
231.0,1,383639,"0.49894736842105264","0.49894736842105264","0.0"
232.0,1,383639,"0.5228867357166722","0.5228867357166722","0.0"
233.0,1,383639,"0.5082819097109451","0.5082819097109451","0.0"
234.0,1,383639,"0.49260308467107333","0.49260308467107333","0.0"
235.0,1,383639,"0.5062787136294028","0.5062787136294028","0.0"
236.0,1,383639,"0.49819168173598555","0.49819168173598555","0.0"
237.0,1,383639,"0.5069588392063962","0.5069588392063962","0.0"
238.0,1,383639,"0.5010242903131402","0.5010242903131402","0.0"
239.0,1,383639,"0.4950838635049161","0.4950838635049161","0.0"
240.0,1,383639,"0.5014277555682467","0.5014277555682467","0.0"
241.0,1,383639,"0.4984388305421516","0.4984388305421516","0.0"
242.0,1,383639,"0.5016920473773265","0.5016920473773265","0.0"
243.0,1,383639,"0.47088406564319746","0.47088406564319746","0.0"
244.0,1,383639,"0.49660035255603124","0.49660035255603124","0.0"
245.0,1,383639,"0.504952947003467","0.504952947003467","0.0"
246.0,1,383639,"0.5002453385672228","0.5002453385672228","0.0"
247.0,1,383639,"0.4941832283082889","0.4941832283082889","0.0"
248.0,1,383639,"0.5009564801530368","0.5009564801530368","0.0"
249.0,1,383639,"0.4973884140550807","0.4973884140550807","0.0"
250.0,1,383639,"0.5018823529411764","0.5018823529411764","0.0"
251.0,1,383639,"0.49859747545582045","0.49859747545582045","0.0"
252.0,1,383639,"0.5019735314604132","0.5019735314604132","0.0"
253.0,1,383639,"0.4743308468626591","0.4743308468626591","0.0"
254.0,1,383639,"0.4983249581239531","0.4983249581239531","0.0"
255.0,1,383639,"0.5076037813399096","0.5076037813399096","0.0"
256.0,1,383639,"0.5010141987829615","0.5010141987829615","0.0"
257.0,1,383639,"0.4946925695974364","0.4946925695974364","0.0"
258.0,1,383639,"0.5008902077151335","0.5008902077151335","0.0"
