"tick","Population (D+R+T)","Population (R)","Population (D)","Population (T)"
0.0,"50000.0","47500.0","2500.0","0.0"
1.0,"50500.0","47700.0","2500.0","300.0"
2.0,"50900.0","48100.0","2500.0","300.0"
3.0,"51400.0","48600.0","2500.0","300.0"
4.0,"51800.0","49000.0","2500.0","300.0"
5.0,"52400.0","49600.0","2500.0","300.0"
6.0,"52800.0","50000.0","2500.0","300.0"
7.0,"53400.0","50600.0","2500.0","300.0"
8.0,"53600.0","50800.0","2500.0","300.0"
9.0,"53700.0","50900.0","2500.0","300.0"
10.0,"53900.0","51100.0","2500.0","300.0"
11.0,"54200.0","51400.0","2500.0","300.0"
12.0,"55100.0","52200.0","2600.0","300.0"
13.0,"55800.0","52900.0","2600.0","300.0"
14.0,"56200.0","53300.0","2600.0","300.0"
15.0,"56600.0","53700.0","2600.0","300.0"
16.0,"56800.0","53900.0","2600.0","300.0"
17.0,"57600.0","54600.0","2700.0","300.0"
18.0,"58000.0","55000.0","2700.0","300.0"
19.0,"58200.0","55200.0","2700.0","300.0"
20.0,"58800.0","55700.0","2800.0","300.0"
21.0,"59700.0","56500.0","2900.0","300.0"
22.0,"60400.0","57200.0","2900.0","300.0"
23.0,"61600.0","58400.0","2900.0","300.0"
24.0,"62700.0","59500.0","2900.0","300.0"
25.0,"64200.0","60900.0","3000.0","300.0"
26.0,"65500.0","62100.0","3100.0","300.0"
27.0,"67300.0","63900.0","3100.0","300.0"
28.0,"67900.0","64500.0","3100.0","300.0"
29.0,"69700.0","66000.0","3300.0","400.0"
30.0,"70400.0","66700.0","3300.0","400.0"
31.0,"71700.0","68000.0","3300.0","400.0"
32.0,"73700.0","69900.0","3400.0","400.0"
33.0,"75200.0","71400.0","3400.0","400.0"
34.0,"76300.0","72500.0","3400.0","400.0"
35.0,"78500.0","74600.0","3500.0","400.0"
36.0,"80100.0","76100.0","3500.0","500.0"
37.0,"82600.0","78400.0","3700.0","500.0"
38.0,"85500.0","80900.0","4000.0","600.0"
39.0,"88100.0","83300.0","4200.0","600.0"
40.0,"89600.0","84700.0","4200.0","700.0"
41.0,"92800.0","87700.0","4300.0","800.0"
42.0,"94500.0","89300.0","4300.0","900.0"
43.0,"96900.0","91600.0","4400.0","900.0"
44.0,"98700.0","93300.0","4500.0","900.0"
45.0,"101200.0","95600.0","4700.0","900.0"
46.0,"102700.0","97100.0","4700.0","900.0"
47.0,"105200.0","99400.0","4700.0","1100.0"
48.0,"106800.0","101000.0","4700.0","1100.0"
49.0,"109100.0","103200.0","4800.0","1100.0"
50.0,"110200.0","104300.0","4800.0","1100.0"
51.0,"113100.0","107000.0","5000.0","1100.0"
52.0,"115100.0","108900.0","5000.0","1200.0"
53.0,"118500.0","112100.0","5200.0","1200.0"
54.0,"121200.0","114700.0","5300.0","1200.0"
55.0,"125100.0","118600.0","5300.0","1200.0"
56.0,"128200.0","121600.0","5400.0","1200.0"
57.0,"130700.0","124100.0","5400.0","1200.0"
58.0,"132000.0","125400.0","5400.0","1200.0"
59.0,"135800.0","128900.0","5700.0","1200.0"
60.0,"137500.0","130500.0","5700.0","1300.0"
61.0,"140700.0","133500.0","5900.0","1300.0"
62.0,"142900.0","135300.0","6000.0","1600.0"
63.0,"146000.0","138400.0","6000.0","1600.0"
64.0,"148100.0","140100.0","6400.0","1600.0"
