"tick","run","random_seed","Donor density"
0.0,1,383639,"0.05"
1.0,1,383639,"0.0496031746031746"
2.0,1,383639,"0.051181102362204724"
3.0,1,383639,"0.050682261208576995"
4.0,1,383639,"0.05048543689320388"
5.0,1,383639,"0.05172413793103448"
6.0,1,383639,"0.05142857142857143"
7.0,1,383639,"0.05075187969924812"
8.0,1,383639,"0.05223880597014925"
9.0,1,383639,"0.051756007393715345"
10.0,1,383639,"0.05166051660516605"
11.0,1,383639,"0.05263157894736842"
12.0,1,383639,"0.052346570397111915"
13.0,1,383639,"0.052158273381294966"
14.0,1,383639,"0.05357142857142857"
15.0,1,383639,"0.05272407732864675"
16.0,1,383639,"0.05391304347826087"
17.0,1,383639,"0.0547945205479452"
18.0,1,383639,"0.05432937181663837"
19.0,1,383639,"0.05342237061769616"
20.0,1,383639,"0.054455445544554455"
21.0,1,383639,"0.05546492659053834"
22.0,1,383639,"0.05663430420711974"
23.0,1,383639,"0.05687203791469194"
24.0,1,383639,"0.05642633228840126"
25.0,1,383639,"0.05546995377503852"
26.0,1,383639,"0.05623100303951368"
27.0,1,383639,"0.0549777117384844"
28.0,1,383639,"0.054252199413489736"
29.0,1,383639,"0.05413105413105413"
30.0,1,383639,"0.05508474576271186"
31.0,1,383639,"0.05371900826446281"
32.0,1,383639,"0.05390835579514825"
33.0,1,383639,"0.05352480417754569"
34.0,1,383639,"0.054987212276214836"
35.0,1,383639,"0.05528255528255528"
36.0,1,383639,"0.05548854041013269"
37.0,1,383639,"0.05411764705882353"
38.0,1,383639,"0.05658198614318707"
39.0,1,383639,"0.0550561797752809"
40.0,1,383639,"0.05543237250554324"
41.0,1,383639,"0.056623931623931624"
42.0,1,383639,"0.05555555555555555"
43.0,1,383639,"0.05834186284544524"
44.0,1,383639,"0.06048387096774194"
45.0,1,383639,"0.060396039603960394"
46.0,1,383639,"0.05933852140077821"
47.0,1,383639,"0.059266227657572904"
48.0,1,383639,"0.05925925925925926"
49.0,1,383639,"0.05850585058505851"
50.0,1,383639,"0.06084656084656084"
51.0,1,383639,"0.059278350515463915"
52.0,1,383639,"0.05822784810126582"
53.0,1,383639,"0.06016260162601626"
54.0,1,383639,"0.06028938906752412"
55.0,1,383639,"0.0594679186228482"
56.0,1,383639,"0.05918524212144504"
57.0,1,383639,"0.0581570996978852"
58.0,1,383639,"0.057462686567164176"
59.0,1,383639,"0.05623648161499639"
60.0,1,383639,"0.057183702644746245"
61.0,1,383639,"0.05762473647224174"
62.0,1,383639,"0.05849965588437715"
63.0,1,383639,"0.05779569892473118"
64.0,1,383639,"0.05780730897009967"
65.0,1,383639,"0.05779220779220779"
66.0,1,383639,"0.05844572896596018"
67.0,1,383639,"0.059008160703075956"
68.0,1,383639,"0.05925925925925926"
69.0,1,383639,"0.05968331303288672"
70.0,1,383639,"0.05903614457831325"
71.0,1,383639,"0.058926487747957994"
72.0,1,383639,"0.059297639608520435"
73.0,1,383639,"0.05928853754940711"
74.0,1,383639,"0.06030150753768844"
75.0,1,383639,"0.059595407326407876"
76.0,1,383639,"0.05962059620596206"
77.0,1,383639,"0.06071805702217529"
78.0,1,383639,"0.06197916666666667"
79.0,1,383639,"0.06028368794326241"
80.0,1,383639,"0.06060606060606061"
81.0,1,383639,"0.059621909840038775"
82.0,1,383639,"0.06037374221370388"
83.0,1,383639,"0.06108283202221194"
84.0,1,383639,"0.06104783599088838"
85.0,1,383639,"0.06"
86.0,1,383639,"0.06094906399651719"
87.0,1,383639,"0.06145966709346991"
88.0,1,383639,"0.06170752324598478"
89.0,1,383639,"0.06296296296296296"
90.0,1,383639,"0.06300813008130081"
91.0,1,383639,"0.06369426751592357"
92.0,1,383639,"0.06452874462260462"
93.0,1,383639,"0.06362591031046377"
94.0,1,383639,"0.06467473524962178"
95.0,1,383639,"0.06367316893632684"
96.0,1,383639,"0.06369887803112559"
97.0,1,383639,"0.06385242993969492"
98.0,1,383639,"0.06443747823058169"
99.0,1,383639,"0.06266937669376693"
100.0,1,383639,"0.06247911794186435"
101.0,1,383639,"0.06280507647250244"
102.0,1,383639,"0.06362467866323908"
103.0,1,383639,"0.062226391494684175"
104.0,1,383639,"0.06259541984732825"
105.0,1,383639,"0.0620875824835033"
106.0,1,383639,"0.06325746378953591"
107.0,1,383639,"0.062428078250863064"
108.0,1,383639,"0.062180579216354344"
109.0,1,383639,"0.061872909698996656"
110.0,1,383639,"0.06214070626882015"
111.0,1,383639,"0.06270010672358592"
112.0,1,383639,"0.06300866369125754"
113.0,1,383639,"0.06390593047034765"
114.0,1,383639,"0.063963737093931"
115.0,1,383639,"0.0635509396636993"
116.0,1,383639,"0.06454743994176171"
117.0,1,383639,"0.06425511661113756"
118.0,1,383639,"0.06443298969072164"
119.0,1,383639,"0.06409671532846715"
120.0,1,383639,"0.06479190101237345"
121.0,1,383639,"0.06482300884955752"
122.0,1,383639,"0.06455118452510324"
123.0,1,383639,"0.06493506493506493"
124.0,1,383639,"0.0647194788821181"
125.0,1,383639,"0.06451612903225806"
126.0,1,383639,"0.06479612434396448"
127.0,1,383639,"0.06450336367233875"
128.0,1,383639,"0.06473561430793157"
129.0,1,383639,"0.06440548780487805"
130.0,1,383639,"0.06402553511077731"
131.0,1,383639,"0.064119051993386"
132.0,1,383639,"0.06535475717638563"
133.0,1,383639,"0.06643109540636043"
134.0,1,383639,"0.066401521701539"
135.0,1,383639,"0.06712884680419344"
136.0,1,383639,"0.06718906302100701"
137.0,1,383639,"0.06761159986966439"
138.0,1,383639,"0.06792998233499277"
139.0,1,383639,"0.06803574227935413"
140.0,1,383639,"0.06801046314817664"
141.0,1,383639,"0.06837735849056603"
142.0,1,383639,"0.06889383815887157"
143.0,1,383639,"0.0685763888888889"
144.0,1,383639,"0.06853804502707324"
145.0,1,383639,"0.06866172563277863"
146.0,1,383639,"0.06902703444490188"
147.0,1,383639,"0.068756727664155"
148.0,1,383639,"0.0686547382372432"
149.0,1,383639,"0.06827880512091039"
150.0,1,383639,"0.06810355821961485"
151.0,1,383639,"0.0675"
152.0,1,383639,"0.06859382655561"
153.0,1,383639,"0.06875826421444885"
154.0,1,383639,"0.0693655303030303"
155.0,1,383639,"0.06924855491329479"
156.0,1,383639,"0.06994199931763903"
157.0,1,383639,"0.0692925686230752"
158.0,1,383639,"0.06970626918018413"
159.0,1,383639,"0.06916550316829556"
160.0,1,383639,"0.06914050111005392"
161.0,1,383639,"0.06952037132542548"
162.0,1,383639,"0.0694233302928955"
163.0,1,383639,"0.06985731272294887"
164.0,1,383639,"0.07021980159502042"
165.0,1,383639,"0.07006005147269088"
166.0,1,383639,"0.07002064952130656"
167.0,1,383639,"0.07023012744109287"
168.0,1,383639,"0.06974229590917283"
169.0,1,383639,"0.069310436399044"
170.0,1,383639,"0.06936717663421418"
171.0,1,383639,"0.06881830601092896"
172.0,1,383639,"0.06956448770663758"
173.0,1,383639,"0.06971390989805985"
174.0,1,383639,"0.07026460148434979"
175.0,1,383639,"0.07078945284662286"
176.0,1,383639,"0.0709727626459144"
177.0,1,383639,"0.07086614173228346"
178.0,1,383639,"0.07071240105540898"
179.0,1,383639,"0.07158143310456792"
180.0,1,383639,"0.07140260306842143"
181.0,1,383639,"0.071780235462005"
182.0,1,383639,"0.071758611033324"
183.0,1,383639,"0.07175750910715513"
184.0,1,383639,"0.07201353637901861"
185.0,1,383639,"0.07189282398196047"
186.0,1,383639,"0.07242776833573016"
187.0,1,383639,"0.07216627108858811"
188.0,1,383639,"0.07234848484848484"
189.0,1,383639,"0.07253853804077573"
190.0,1,383639,"0.07268155053974484"
191.0,1,383639,"0.0724611492591254"
192.0,1,383639,"0.07293825113966017"
193.0,1,383639,"0.07326686760955252"
194.0,1,383639,"0.07306508605950074"
195.0,1,383639,"0.07309434595380572"
196.0,1,383639,"0.0731304682771144"
197.0,1,383639,"0.07346497159859346"
198.0,1,383639,"0.07351921949138988"
199.0,1,383639,"0.07311703967713193"
200.0,1,383639,"0.07315939033841384"
201.0,1,383639,"0.07336102948627014"
202.0,1,383639,"0.07379743053480729"
203.0,1,383639,"0.07405421216848673"
204.0,1,383639,"0.07417186749879981"
205.0,1,383639,"0.07446255610678006"
206.0,1,383639,"0.0750151240169389"
207.0,1,383639,"0.07500229084578026"
208.0,1,383639,"0.07525325615050651"
209.0,1,383639,"0.07589186300271679"
210.0,1,383639,"0.07600615790631185"
211.0,1,383639,"0.07607234245565338"
212.0,1,383639,"0.07623547439662878"
213.0,1,383639,"0.07615188604369438"
214.0,1,383639,"0.07672088056513882"
215.0,1,383639,"0.07696651875756354"
216.0,1,383639,"0.07718014003819224"
217.0,1,383639,"0.07732140755560786"
218.0,1,383639,"0.07742410731593843"
219.0,1,383639,"0.07769145394006659"
220.0,1,383639,"0.07774494203228006"
221.0,1,383639,"0.07789292528714131"
222.0,1,383639,"0.07835628544075411"
223.0,1,383639,"0.07854558610709117"
224.0,1,383639,"0.07870452844978088"
225.0,1,383639,"0.0787586982498067"
226.0,1,383639,"0.07875273446994688"
227.0,1,383639,"0.07898612776160302"
228.0,1,383639,"0.07923876604246385"
229.0,1,383639,"0.07942939423366709"
230.0,1,383639,"0.07967388062174792"
231.0,1,383639,"0.07980731675563078"
232.0,1,383639,"0.08056339835728953"
233.0,1,383639,"0.08054854981084489"
234.0,1,383639,"0.08090111394610741"
235.0,1,383639,"0.08079441694592185"
236.0,1,383639,"0.08102436205480702"
237.0,1,383639,"0.0816154563784646"
238.0,1,383639,"0.08176475852399845"
239.0,1,383639,"0.08187566481503368"
240.0,1,383639,"0.08202105510102344"
241.0,1,383639,"0.08236380957879846"
242.0,1,383639,"0.08254247883161903"
243.0,1,383639,"0.08261820629311796"
244.0,1,383639,"0.08276015087641447"
245.0,1,383639,"0.08279381103917481"
246.0,1,383639,"0.08318155870280262"
247.0,1,383639,"0.08346363293254974"
248.0,1,383639,"0.08390617059405676"
249.0,1,383639,"0.08419376244193763"
250.0,1,383639,"0.08445981624247545"
251.0,1,383639,"0.0846871669569286"
252.0,1,383639,"0.08506266694062051"
253.0,1,383639,"0.08538783800939444"
254.0,1,383639,"0.08550298090710134"
255.0,1,383639,"0.08569078537424292"
256.0,1,383639,"0.0858613351808779"
257.0,1,383639,"0.08604634020491904"
258.0,1,383639,"0.08608188276653402"
259.0,1,383639,"0.08618221521290792"
260.0,1,383639,"0.08628927175329376"
261.0,1,383639,"0.08642768732743025"
262.0,1,383639,"0.08678658881145225"
263.0,1,383639,"0.08708113902223051"
264.0,1,383639,"0.0871796057041163"
265.0,1,383639,"0.08743520344969953"
266.0,1,383639,"0.08768529076396807"
267.0,1,383639,"0.08774395357798581"
268.0,1,383639,"0.08828174352495262"
