"tick","run","random_seed","Sim (T/(R+T))","Exp (T/(R+T))"
0.0,1,383639,"0.0","0.0019546068"
1.0,1,383639,"0.0020876826722338203","0.0014545932"
3.0,1,383639,"0.004106776180698152","9.912164E-4"
5.0,1,383639,"0.00404040404040404","5.641499999999998E-4"
7.0,1,383639,"0.0039603960396039604","1.7306759999999988E-4"
9.0,1,383639,"0.003898635477582846","-1.8235720000000036E-4"
11.0,1,383639,"0.0038314176245210726","-5.024507999999999E-4"
13.0,1,383639,"0.0056925996204933585","-7.875396000000004E-4"
15.0,1,383639,"0.0055658627087198514","-0.00103795"
17.0,1,383639,"0.005434782608695652","-0.0012540084000000004"
19.0,1,383639,"0.005291005291005291","-0.0014360411999999997"
21.0,1,383639,"0.0069084628670120895","-0.0015843748"
23.0,1,383639,"0.008375209380234505","-0.0016993355999999997"
25.0,1,383639,"0.008156606851549755","-0.0017812500000000003"
27.0,1,383639,"0.007861635220125786","-0.0018304444"
29.0,1,383639,"0.010542168674698794","-0.0018472452000000005"
31.0,1,383639,"0.011644832605531296","-0.0018319787999999996"
33.0,1,383639,"0.013793103448275862","-0.0017849716000000004"
35.0,1,383639,"0.013003901170351105","-0.0017065500000000005"
37.0,1,383639,"0.013681592039800995","-0.0015970403999999996"
39.0,1,383639,"0.013079667063020214","-0.0014567691999999995"
41.0,1,383639,"0.01245753114382786","-0.0012860628000000002"
43.0,1,383639,"0.014130434782608696","-0.001085247600000001"
45.0,1,383639,"0.015806111696522657","-8.546499999999991E-4"
47.0,1,383639,"0.015","-5.945964000000006E-4"
49.0,1,383639,"0.014340344168260038","-3.0541320000000043E-4"
51.0,1,383639,"0.014611872146118721","1.2573199999999841E-5"
53.0,1,383639,"0.01643598615916955","3.590364E-4"
55.0,1,383639,"0.015806988352745424","7.336500000000004E-4"
57.0,1,383639,"0.016840417000801924","0.001136087599999999"
59.0,1,383639,"0.01833460656990069","0.0015660227999999977"
61.0,1,383639,"0.020134228187919462","0.0020231291999999994"
63.0,1,383639,"0.02211126961483595","0.0025070804"
65.0,1,383639,"0.024810475534114404","0.003017550000000001"
67.0,1,383639,"0.02401601067378252","0.0035542115999999974"
69.0,1,383639,"0.023316062176165803","0.0041167387999999985"
71.0,1,383639,"0.022938623682579044","0.004704805199999999"
73.0,1,383639,"0.02460984393757503","0.005318084400000003"
75.0,1,383639,"0.02558139534883721","0.00595625"
77.0,1,383639,"0.025295109612141653","0.0066189756"
79.0,1,383639,"0.025336927223719677","0.0073059348"
81.0,1,383639,"0.025257731958762887","0.008016801199999998"
83.0,1,383639,"0.02759980285855101","0.008751248399999998"
85.0,1,383639,"0.027895981087470448","0.009508949999999999"
87.0,1,383639,"0.02910413824465666","0.010289579599999998"
89.0,1,383639,"0.028985507246376812","0.011092810800000002"
91.0,1,383639,"0.02848639455782313","0.011918317199999999"
