"tick","Population (D+R+T)","Population (R)","Population (D)","Population (T)"
107.0,"339100.0","316500.0","13500.0","9100.0"
108.0,"344000.0","320800.0","13600.0","9600.0"
109.0,"350600.0","326500.0","14100.0","10000.0"
110.0,"356200.0","331500.0","14600.0","10100.0"
111.0,"365600.0","339100.0","14800.0","11700.0"
112.0,"372900.0","346200.0","15000.0","11700.0"
113.0,"382500.0","355100.0","15200.0","12200.0"
114.0,"389200.0","360900.0","15700.0","12600.0"
115.0,"397000.0","368300.0","15900.0","12800.0"
116.0,"405300.0","376200.0","16100.0","13000.0"
117.0,"412300.0","382600.0","16600.0","13100.0"
118.0,"418800.0","388900.0","16800.0","13100.0"
119.0,"432000.0","400400.0","17600.0","14000.0"
120.0,"437800.0","406000.0","17700.0","14100.0"
121.0,"448100.0","415400.0","18500.0","14200.0"
122.0,"457600.0","422900.0","18700.0","16000.0"
123.0,"467300.0","431500.0","19200.0","16600.0"
124.0,"474400.0","437900.0","19400.0","17100.0"
125.0,"486100.0","449000.0","19600.0","17500.0"
126.0,"494700.0","456700.0","20000.0","18000.0"
127.0,"505000.0","466100.0","20300.0","18600.0"
128.0,"512500.0","472500.0","20700.0","19300.0"
129.0,"521500.0","481100.0","21000.0","19400.0"
130.0,"529500.0","488400.0","21200.0","19900.0"
131.0,"545100.0","502600.0","22100.0","20400.0"
132.0,"554700.0","509200.0","22600.0","22900.0"
133.0,"564900.0","518300.0","22900.0","23700.0"
134.0,"577600.0","530000.0","23000.0","24600.0"
135.0,"589300.0","540200.0","23400.0","25700.0"
136.0,"599700.0","549600.0","23700.0","26400.0"
137.0,"612600.0","561500.0","24000.0","27100.0"
138.0,"622500.0","570500.0","24600.0","27400.0"
139.0,"639000.0","585400.0","25100.0","28500.0"
140.0,"650600.0","596000.0","25700.0","28900.0"
141.0,"663100.0","605100.0","26200.0","31800.0"
142.0,"676300.0","617200.0","26800.0","32300.0"
143.0,"696900.0","634900.0","28100.0","33900.0"
144.0,"710100.0","647400.0","28500.0","34200.0"
145.0,"721900.0","658300.0","28800.0","34800.0"
146.0,"734800.0","670300.0","29100.0","35400.0"
147.0,"749400.0","683300.0","29700.0","36400.0"
148.0,"760200.0","692800.0","30300.0","37100.0"
149.0,"779000.0","709800.0","31000.0","38200.0"
150.0,"790100.0","720300.0","31500.0","38300.0"
151.0,"805700.0","734200.0","32300.0","39200.0"
152.0,"823700.0","748000.0","33200.0","42500.0"
153.0,"841200.0","763900.0","34100.0","43200.0"
154.0,"857000.0","777700.0","34600.0","44700.0"
155.0,"878100.0","796100.0","35400.0","46600.0"
156.0,"892400.0","809200.0","36200.0","47000.0"
157.0,"907700.0","823200.0","37100.0","47400.0"
158.0,"922400.0","836700.0","37500.0","48200.0"
159.0,"943500.0","854700.0","38800.0","50000.0"
160.0,"956700.0","866000.0","39200.0","51500.0"
161.0,"979500.0","882700.0","40300.0","56500.0"
162.0,"995800.0","897700.0","41100.0","57000.0"
163.0,"1015700.0","913800.0","41800.0","60100.0"
164.0,"1039200.0","934400.0","42400.0","62400.0"
165.0,"1061100.0","953200.0","43700.0","64200.0"
166.0,"1078100.0","968600.0","44100.0","65400.0"
167.0,"1106300.0","993800.0","45000.0","67500.0"
168.0,"1126000.0","1011600.0","45300.0","69100.0"
169.0,"1148600.0","1030500.0","46800.0","71300.0"
170.0,"1167500.0","1048700.0","47200.0","71600.0"
171.0,"1189100.0","1068200.0","47800.0","73100.0"
172.0,"1210000.0","1080000.0","49100.0","80900.0"
173.0,"1236400.0","1104100.0","50100.0","82200.0"
174.0,"1259700.0","1123100.0","51400.0","85200.0"
175.0,"1286100.0","1145700.0","52400.0","88000.0"
176.0,"1310600.0","1166800.0","53300.0","90500.0"
177.0,"1331600.0","1184700.0","54400.0","92500.0"
178.0,"1354400.0","1204800.0","55200.0","94400.0"
179.0,"1385300.0","1230100.0","57000.0","98200.0"
180.0,"1406100.0","1248600.0","57900.0","99600.0"
181.0,"1428900.0","1262300.0","58500.0","108100.0"
182.0,"1456200.0","1286900.0","59500.0","109800.0"
183.0,"1489400.0","1314900.0","60600.0","113900.0"
184.0,"1516800.0","1336500.0","62200.0","118100.0"
185.0,"1545400.0","1360700.0","64000.0","120700.0"
186.0,"1571300.0","1383000.0","65300.0","123000.0"
187.0,"1601300.0","1409300.0","66200.0","125800.0"
188.0,"1630600.0","1435000.0","67200.0","128400.0"
189.0,"1660100.0","1459800.0","68400.0","131900.0"
190.0,"1686000.0","1482400.0","69400.0","134200.0"
191.0,"1718900.0","1510800.0","71200.0","136900.0"
192.0,"1749900.0","1530700.0","72100.0","147100.0"
193.0,"1787000.0","1563600.0","73400.0","150000.0"
194.0,"1823500.0","1591700.0","74700.0","157100.0"
195.0,"1860800.0","1622300.0","75700.0","162800.0"
196.0,"1889500.0","1644600.0","77200.0","167700.0"
197.0,"1927400.0","1676100.0","78900.0","172400.0"
198.0,"1954300.0","1699100.0","79700.0","175500.0"
199.0,"1987000.0","1725600.0","82100.0","179300.0"
200.0,"2018900.0","1753400.0","83100.0","182400.0"
201.0,"2049900.0","1771300.0","84400.0","194200.0"
202.0,"2088400.0","1803700.0","86100.0","198600.0"
203.0,"2131900.0","1836200.0","88600.0","207100.0"
204.0,"2166300.0","1865400.0","89600.0","211300.0"
205.0,"2200400.0","1892700.0","91200.0","216500.0"
206.0,"2237900.0","1923900.0","92700.0","221300.0"
207.0,"2277200.0","1957300.0","94300.0","225600.0"
208.0,"2308500.0","1982200.0","95700.0","230600.0"
209.0,"2349300.0","2015800.0","97800.0","235700.0"
210.0,"2376900.0","2037000.0","99300.0","240600.0"
211.0,"2426400.0","2079800.0","101400.0","245200.0"
212.0,"2470600.0","2104400.0","103200.0","263000.0"
213.0,"2515800.0","2142700.0","105500.0","267600.0"
214.0,"2553700.0","2167800.0","107300.0","278600.0"
215.0,"2596500.0","2200200.0","109400.0","286900.0"
216.0,"2634500.0","2230800.0","110300.0","293400.0"
217.0,"2669500.0","2260300.0","111300.0","297900.0"
218.0,"2704100.0","2289000.0","112600.0","302500.0"
219.0,"2744100.0","2321400.0","114700.0","308000.0"
220.0,"2775200.0","2348000.0","115700.0","311500.0"
221.0,"2812000.0","2376700.0","117700.0","317600.0"
222.0,"2860100.0","2403800.0","120000.0","336300.0"
223.0,"2916700.0","2451400.0","122800.0","342500.0"
224.0,"2964100.0","2484400.0","124700.0","355000.0"
225.0,"3005000.0","2514400.0","127400.0","363200.0"
226.0,"3043700.0","2545500.0","128700.0","369500.0"
227.0,"3084200.0","2579200.0","130400.0","374600.0"
228.0,"3116900.0","2603900.0","131900.0","381100.0"
229.0,"3150600.0","2629500.0","133500.0","387600.0"
230.0,"3179800.0","2653100.0","134400.0","392300.0"
231.0,"3233600.0","2684000.0","136200.0","413400.0"
232.0,"3284700.0","2726900.0","138300.0","419500.0"
233.0,"3339800.0","2766500.0","140900.0","432400.0"
234.0,"3385900.0","2801100.0","142100.0","442700.0"
235.0,"3429800.0","2833800.0","144000.0","452000.0"
236.0,"3467000.0","2863000.0","145000.0","459000.0"
237.0,"3502600.0","2890800.0","146900.0","464900.0"
238.0,"3536400.0","2917400.0","148700.0","470300.0"
239.0,"3571700.0","2945700.0","150300.0","475700.0"
240.0,"3596200.0","2965400.0","151300.0","479500.0"
241.0,"3624100.0","2988100.0","152200.0","483800.0"
242.0,"3684600.0","3022800.0","154400.0","507400.0"
243.0,"3741100.0","3068800.0","156700.0","515600.0"
244.0,"3790800.0","3103600.0","158300.0","528900.0"
245.0,"3841900.0","3139000.0","161000.0","541900.0"
246.0,"3877400.0","3162600.0","162700.0","552100.0"
247.0,"3913000.0","3189400.0","164500.0","559100.0"
248.0,"3944800.0","3212600.0","165400.0","566800.0"
249.0,"3972000.0","3233100.0","166100.0","572800.0"
250.0,"3993400.0","3249600.0","167100.0","576700.0"
251.0,"4060500.0","3286700.0","170100.0","603700.0"
252.0,"4114400.0","3331000.0","172300.0","611100.0"
253.0,"4159900.0","3358800.0","174900.0","626200.0"
254.0,"4200400.0","3386300.0","176300.0","637800.0"
255.0,"4236500.0","3413200.0","177700.0","645600.0"
256.0,"4267000.0","3436300.0","178900.0","651800.0"
257.0,"4299200.0","3460900.0","180200.0","658100.0"
258.0,"4321200.0","3477400.0","181300.0","662500.0"
259.0,"4342000.0","3493500.0","182400.0","666100.0"
260.0,"4359300.0","3507700.0","182900.0","668700.0"
261.0,"4419100.0","3540200.0","184700.0","694200.0"
262.0,"4467700.0","3581000.0","186600.0","700100.0"
263.0,"4517000.0","3612400.0","188500.0","716100.0"
264.0,"4552200.0","3636200.0","189800.0","726200.0"
265.0,"4586200.0","3660000.0","191700.0","734500.0"
266.0,"4616600.0","3683300.0","192500.0","740800.0"
267.0,"4641800.0","3702600.0","193300.0","745900.0"
268.0,"4659400.0","3716900.0","193900.0","748600.0"
269.0,"4678100.0","3732300.0","194200.0","751600.0"
270.0,"4693600.0","3743900.0","194700.0","755000.0"
271.0,"4706300.0","3740900.0","195100.0","770300.0"
272.0,"4761100.0","3784300.0","198200.0","778600.0"
273.0,"4810600.0","3814100.0","200200.0","796300.0"
274.0,"4847500.0","3838100.0","201400.0","808000.0"
275.0,"4881100.0","3863100.0","202700.0","815300.0"
276.0,"4907500.0","3882400.0","203300.0","821800.0"
277.0,"4929800.0","3898400.0","204200.0","827200.0"
278.0,"4946800.0","3910800.0","204700.0","831300.0"
279.0,"4962800.0","3922700.0","205000.0","835100.0"
280.0,"4976100.0","3934200.0","205200.0","836700.0"
281.0,"5028900.0","3963500.0","206300.0","859100.0"
282.0,"5067500.0","3996000.0","207300.0","864200.0"
283.0,"5098700.0","4012600.0","208200.0","877900.0"
284.0,"5127200.0","4029700.0","209100.0","888400.0"
285.0,"5151500.0","4046000.0","210100.0","895400.0"
286.0,"5171400.0","4059400.0","210800.0","901200.0"
287.0,"5189800.0","4072300.0","211600.0","905900.0"
288.0,"5203400.0","4082900.0","212000.0","908500.0"
289.0,"5214200.0","4092700.0","212300.0","909200.0"
290.0,"5225300.0","4100700.0","212600.0","912000.0"
291.0,"5265900.0","4119100.0","214400.0","932400.0"
292.0,"5295900.0","4143500.0","216000.0","936400.0"
293.0,"5322400.0","4158400.0","216600.0","947400.0"
294.0,"5343800.0","4170400.0","217400.0","956000.0"
295.0,"5361700.0","4182100.0","218300.0","961300.0"
296.0,"5377600.0","4192500.0","218600.0","966500.0"
297.0,"5391400.0","4202500.0","219000.0","969900.0"
298.0,"5403800.0","4210500.0","219400.0","973900.0"
299.0,"5415100.0","4219200.0","219800.0","976100.0"
300.0,"5424900.0","4227100.0","219900.0","977900.0"
301.0,"5436400.0","4237200.0","220100.0","979100.0"
302.0,"5462400.0","4244300.0","220700.0","997400.0"
303.0,"5487400.0","4265600.0","221700.0","1000100.0"
304.0,"5509700.0","4276300.0","222800.0","1010600.0"
305.0,"5528600.0","4288900.0","223100.0","1016600.0"
306.0,"5544000.0","4299200.0","223800.0","1021000.0"
307.0,"5557400.0","4308400.0","224000.0","1025000.0"
308.0,"5568400.0","4316700.0","224400.0","1027300.0"
309.0,"5579300.0","4325600.0","224600.0","1029100.0"
310.0,"5588200.0","4332700.0","224700.0","1030800.0"
311.0,"5614300.0","4342900.0","225600.0","1045800.0"
312.0,"5633800.0","4360100.0","226100.0","1047600.0"
313.0,"5652200.0","4369300.0","226500.0","1056400.0"
314.0,"5668900.0","4379100.0","226700.0","1063100.0"
315.0,"5683700.0","4390300.0","226900.0","1066500.0"
316.0,"5696400.0","4400000.0","227300.0","1069100.0"
317.0,"5708000.0","4409200.0","227600.0","1071200.0"
318.0,"5719500.0","4418500.0","227900.0","1073100.0"
319.0,"5730400.0","4427300.0","228400.0","1074700.0"
320.0,"5738200.0","4433800.0","228700.0","1075700.0"
321.0,"5746400.0","4431500.0","228900.0","1086000.0"
322.0,"5765300.0","4448900.0","229400.0","1087000.0"
323.0,"5785700.0","4462300.0","229700.0","1093700.0"
324.0,"5802100.0","4473000.0","230000.0","1099100.0"
325.0,"5816900.0","4482700.0","230500.0","1103700.0"
326.0,"5829400.0","4492100.0","230600.0","1106700.0"
327.0,"5841000.0","4503300.0","230700.0","1107000.0"
328.0,"5850300.0","4510500.0","230900.0","1108900.0"
329.0,"5859200.0","4517300.0","231100.0","1110800.0"
330.0,"5865700.0","4521700.0","231300.0","1112700.0"
331.0,"5874200.0","4520200.0","231800.0","1122200.0"
332.0,"5893200.0","4536700.0","232500.0","1124000.0"
333.0,"5910100.0","4546900.0","232700.0","1130500.0"
334.0,"5924300.0","4555600.0","233100.0","1135600.0"
335.0,"5937400.0","4565200.0","233400.0","1138800.0"
336.0,"5950800.0","4575000.0","234100.0","1141700.0"
337.0,"5961600.0","4584000.0","234400.0","1143200.0"
338.0,"5970900.0","4591100.0","234600.0","1145200.0"
339.0,"5980700.0","4599200.0","234800.0","1146700.0"
340.0,"5989600.0","4606700.0","235100.0","1147800.0"
341.0,"5998100.0","4608400.0","235500.0","1154200.0"
342.0,"6014300.0","4623400.0","235900.0","1155000.0"
343.0,"6030500.0","4633600.0","236500.0","1160400.0"
344.0,"6044100.0","4642900.0","237100.0","1164100.0"
345.0,"6056900.0","4652400.0","237200.0","1167300.0"
346.0,"6068700.0","4661300.0","237600.0","1169800.0"
347.0,"6081200.0","4671600.0","237900.0","1171700.0"
348.0,"6092700.0","4680600.0","238200.0","1173900.0"
349.0,"6101400.0","4688300.0","238400.0","1174700.0"
350.0,"6111400.0","4696200.0","238700.0","1176500.0"
351.0,"6129900.0","4705800.0","239300.0","1184800.0"
352.0,"6145400.0","4719900.0","239600.0","1185900.0"
353.0,"6161000.0","4730000.0","239800.0","1191200.0"
354.0,"6174600.0","4740200.0","240300.0","1194100.0"
355.0,"6188300.0","4751100.0","240600.0","1196600.0"
356.0,"6201100.0","4761900.0","240800.0","1198400.0"
357.0,"6210300.0","4769500.0","240800.0","1200000.0"
358.0,"6218900.0","4777000.0","241000.0","1200900.0"
359.0,"6227800.0","4785100.0","241100.0","1201600.0"
360.0,"6236200.0","4792700.0","241200.0","1202300.0"
361.0,"6255400.0","4810000.0","241700.0","1203700.0"
362.0,"6271000.0","4818800.0","241900.0","1210300.0"
363.0,"6287300.0","4833500.0","242100.0","1211700.0"
364.0,"6299700.0","4843400.0","242500.0","1213800.0"
365.0,"6312900.0","4853200.0","242600.0","1217100.0"
366.0,"6324600.0","4862100.0","242700.0","1219800.0"
367.0,"6333800.0","4869800.0","243200.0","1220800.0"
368.0,"6344700.0","4878900.0","243400.0","1222400.0"
369.0,"6353500.0","4886900.0","243600.0","1223000.0"
370.0,"6361700.0","4893600.0","244200.0","1223900.0"
371.0,"6369200.0","4899900.0","244600.0","1224700.0"
372.0,"6388600.0","4913200.0","245100.0","1230300.0"
373.0,"6406000.0","4929000.0","245300.0","1231700.0"
374.0,"6420400.0","4940200.0","246000.0","1234200.0"
375.0,"6432900.0","4949400.0","246700.0","1236800.0"
376.0,"6445200.0","4960000.0","246800.0","1238400.0"
377.0,"6456800.0","4969700.0","246900.0","1240200.0"
378.0,"6466900.0","4977900.0","247100.0","1241900.0"
379.0,"6475900.0","4985700.0","247100.0","1243100.0"
380.0,"6483500.0","4992300.0","247200.0","1244000.0"
381.0,"6491800.0","4999700.0","247400.0","1244700.0"
382.0,"6509700.0","5012200.0","248400.0","1249100.0"
383.0,"6526000.0","5027400.0","248900.0","1249700.0"
384.0,"6539800.0","5037900.0","249200.0","1252700.0"
385.0,"6550700.0","5046200.0","249400.0","1255100.0"
386.0,"6562400.0","5056400.0","249400.0","1256600.0"
387.0,"6573300.0","5066300.0","249500.0","1257500.0"
388.0,"6582700.0","5074700.0","249900.0","1258100.0"
389.0,"6590500.0","5081500.0","250000.0","1259000.0"
390.0,"6598600.0","5088300.0","250100.0","1260200.0"
391.0,"6606700.0","5091800.0","250200.0","1264700.0"
392.0,"6624200.0","5106700.0","250700.0","1266800.0"
393.0,"6641200.0","5119800.0","251500.0","1269900.0"
394.0,"6655500.0","5131600.0","251800.0","1272100.0"
395.0,"6668200.0","5141800.0","252100.0","1274300.0"
396.0,"6681300.0","5153300.0","252400.0","1275600.0"
397.0,"6693900.0","5164400.0","252500.0","1277000.0"
398.0,"6705000.0","5174000.0","252700.0","1278300.0"
399.0,"6715000.0","5182600.0","253100.0","1279300.0"
400.0,"6724800.0","5190900.0","253300.0","1280600.0"
