"tick","run","random_seed","Sim (T/(R+T))","Exp (T/(R+T))"
0.0,1,1008711,"0.0","0.0019546068"
1.0,1,1008711,"0.00625","0.0014545932"
3.0,1,1008711,"0.006134969325153374","9.912164E-4"
5.0,1,1008711,"0.006012024048096192","5.641499999999998E-4"
7.0,1,1008711,"0.005893909626719057","1.7306759999999988E-4"
9.0,1,1008711,"0.005859375","-1.8235720000000036E-4"
11.0,1,1008711,"0.005802707930367505","-5.024507999999999E-4"
13.0,1,1008711,"0.005639097744360902","-7.875396000000004E-4"
15.0,1,1008711,"0.005555555555555556","-0.00103795"
17.0,1,1008711,"0.00546448087431694","-0.0012540084000000004"
19.0,1,1008711,"0.005405405405405406","-0.0014360411999999997"
21.0,1,1008711,"0.00528169014084507","-0.0015843748"
23.0,1,1008711,"0.005110732538330494","-0.0016993355999999997"
25.0,1,1008711,"0.004901960784313725","-0.0017812500000000003"
27.0,1,1008711,"0.004672897196261682","-0.0018304444"
29.0,1,1008711,"0.006024096385542169","-0.0018472452000000005"
31.0,1,1008711,"0.005847953216374269","-0.0018319787999999996"
33.0,1,1008711,"0.005571030640668524","-0.0017849716000000004"
35.0,1,1008711,"0.005333333333333333","-0.0017065500000000005"
37.0,1,1008711,"0.0063371356147021544","-0.0015970403999999996"
39.0,1,1008711,"0.007151370679380214","-0.0014567691999999995"
41.0,1,1008711,"0.00903954802259887","-0.0012860628000000002"
43.0,1,1008711,"0.00972972972972973","-0.001085247600000001"
45.0,1,1008711,"0.00932642487046632","-8.546499999999991E-4"
47.0,1,1008711,"0.010945273631840797","-5.945964000000006E-4"
49.0,1,1008711,"0.010546500479386385","-3.0541320000000043E-4"
51.0,1,1008711,"0.010175763182238668","1.2573199999999841E-5"
53.0,1,1008711,"0.01059135039717564","3.590364E-4"
55.0,1,1008711,"0.01001669449081803","7.336500000000004E-4"
57.0,1,1008711,"0.009577015163607342","0.001136087599999999"
59.0,1,1008711,"0.009223674096848577","0.0015660227999999977"
61.0,1,1008711,"0.009643916913946587","0.0020231291999999994"
63.0,1,1008711,"0.011428571428571429","0.0025070804"
65.0,1,1008711,"0.011659807956104253","0.003017550000000001"
67.0,1,1008711,"0.011984021304926764","0.0035542115999999974"
69.0,1,1008711,"0.01288659793814433","0.0041167387999999985"
71.0,1,1008711,"0.013597033374536464","0.004704805199999999"
73.0,1,1008711,"0.0172209026128266","0.005318084400000003"
75.0,1,1008711,"0.01751412429378531","0.00595625"
77.0,1,1008711,"0.017325392528424473","0.0066189756"
79.0,1,1008711,"0.01934134866701516","0.0073059348"
81.0,1,1008711,"0.0225","0.008016801199999998"
83.0,1,1008711,"0.022083533365338453","0.008751248399999998"
85.0,1,1008711,"0.02280130293159609","0.009508949999999999"
87.0,1,1008711,"0.0246415770609319","0.010289579599999998"
89.0,1,1008711,"0.024484536082474227","0.011092810800000002"
91.0,1,1008711,"0.024681201151789386","0.011918317199999999"
93.0,1,1008711,"0.027996845425867507","0.0127657724"
95.0,1,1008711,"0.028668427008675973","0.013634850000000004"
97.0,1,1008711,"0.028948332722609015","0.014525223599999998"
99.0,1,1008711,"0.028954802259887006","0.015436566800000003"
101.0,1,1008711,"0.02856171370282217","0.016368553199999997"
103.0,1,1008711,"0.03152709359605911","0.0173208564"
105.0,1,1008711,"0.031685678073510776","0.018293150000000005"
107.0,1,1008711,"0.031946955997588906","0.019285107600000004"
109.0,1,1008711,"0.032379300375831165","0.020296402800000002"
111.0,1,1008711,"0.03736507057846665","0.021326709200000002"
113.0,1,1008711,"0.03749669923422234","0.022375700400000004"
115.0,1,1008711,"0.03816793893129771","0.023443049999999997"
117.0,1,1008711,"0.03904343582235237","0.02452843159999999"
119.0,1,1008711,"0.0399529964747356","0.025631518800000003"
121.0,1,1008711,"0.043517679057116954","0.026751985199999995"
123.0,1,1008711,"0.04284471509351892","0.0278895044"
125.0,1,1008711,"0.043206011271133375","0.029043749999999993"
127.0,1,1008711,"0.04348705501618123","0.030214395600000006"
129.0,1,1008711,"0.043605217052754525","0.03140111479999999"
131.0,1,1008711,"0.04712923134467926","0.032603581199999995"
133.0,1,1008711,"0.047156227501799854","0.0338214684"
135.0,1,1008711,"0.046463245492371706","0.03505445"
137.0,1,1008711,"0.04797476759628154","0.036302199599999994"
139.0,1,1008711,"0.047641886490807354","0.0375643908"
141.0,1,1008711,"0.052057739557739555","0.038840697199999996"
143.0,1,1008711,"0.053429496614659996","0.04013079239999999"
145.0,1,1008711,"0.05476156785057309","0.041434349999999995"
147.0,1,1008711,"0.05609522506498837","0.042751043600000004"
149.0,1,1008711,"0.0563657863618447","0.044080546799999995"
151.0,1,1008711,"0.06112593722201042","0.0454225332"
153.0,1,1008711,"0.06120710635191044","0.046776676399999995"
155.0,1,1008711,"0.061675037962854805","0.04814265"
157.0,1,1008711,"0.06321839080459771","0.0495201276"
159.0,1,1008711,"0.06344378055404672","0.050908782799999996"
161.0,1,1008711,"0.06301859048419284","0.0523082892"
163.0,1,1008711,"0.06837434449374748","0.053718320400000005"
165.0,1,1008711,"0.07186499854524295","0.05513855000000001"
167.0,1,1008711,"0.07243273438227353","0.0565686516"
169.0,1,1008711,"0.07332251082251082","0.05800829879999998"
171.0,1,1008711,"0.07424452935046891","0.0594571652"
173.0,1,1008711,"0.08210139480497787","0.0609149244"
175.0,1,1008711,"0.08273756928267331","0.06238125"
177.0,1,1008711,"0.0835335141418055","0.0638558156"
179.0,1,1008711,"0.08557347670250896","0.0653382948"
181.0,1,1008711,"0.08599597006332757","0.06682836119999999"
183.0,1,1008711,"0.09241427086941462","0.0683256884"
185.0,1,1008711,"0.09552099325812696","0.06982994999999999"
187.0,1,1008711,"0.09786189522640656","0.07134081960000001"
189.0,1,1008711,"0.09815682599187754","0.0728579708"
191.0,1,1008711,"0.09884946689958436","0.0743810772"
193.0,1,1008711,"0.10544415947773374","0.0759098124"
195.0,1,1008711,"0.109047031092154","0.07744384999999998"
197.0,1,1008711,"0.11053690910079965","0.07898286359999998"
199.0,1,1008711,"0.11136903191769981","0.0805265268"
201.0,1,1008711,"0.1127295107190481","0.08207451319999999"
203.0,1,1008711,"0.11836855327323777","0.08362649639999999"
205.0,1,1008711,"0.1222153317750322","0.08518214999999998"
207.0,1,1008711,"0.12351554918903933","0.08674114760000001"
209.0,1,1008711,"0.12451711436528613","0.08830316279999997"
211.0,1,1008711,"0.13140369967355822","0.08986786920000002"
213.0,1,1008711,"0.13444388356049133","0.0914349404"
215.0,1,1008711,"0.13672113778067566","0.09300404999999998"
217.0,1,1008711,"0.1371709483032033","0.09457487160000003"
219.0,1,1008711,"0.13791903491474308","0.09614707880000002"
221.0,1,1008711,"0.14454753765823974","0.09772034520000002"
223.0,1,1008711,"0.14751055466589022","0.09929434440000001"
225.0,1,1008711,"0.15079533404029694","0.10086875000000002"
227.0,1,1008711,"0.1512321213165604","0.10244323560000002"
229.0,1,1008711,"0.15252920915783075","0.10401747479999998"
231.0,1,1008711,"0.15866017372992894","0.10559114119999999"
233.0,1,1008711,"0.16189989785495404","0.10716390840000001"
235.0,1,1008711,"0.1655810764484059","0.10873545000000003"
237.0,1,1008711,"0.16717557251908396","0.1103054396"
239.0,1,1008711,"0.16829692750840133","0.11187355080000003"
241.0,1,1008711,"0.17360679511083488","0.1134394572"
243.0,1,1008711,"0.17680461154607244","0.11500283240000003"
245.0,1,1008711,"0.1802248955441519","0.11656335000000001"
247.0,1,1008711,"0.18192317210658013","0.1181206836"
249.0,1,1008711,"0.18237649477842108","0.11967450679999998"
251.0,1,1008711,"0.18671748855184098","0.12122449320000003"
253.0,1,1008711,"0.18937143152401376","0.12277031640000004"
255.0,1,1008711,"0.1919876186126757","0.12431165000000004"
257.0,1,1008711,"0.19347424174286715","0.12584816760000003"
259.0,1,1008711,"0.19415820298020608","0.12737954279999997"
261.0,1,1008711,"0.19877586709414166","0.1289054492"
263.0,1,1008711,"0.20050447363411383","0.13042556040000003"
265.0,1,1008711,"0.20310961024342197","0.13193955000000002"
267.0,1,1008711,"0.20407831479201988","0.13344709159999998"
269.0,1,1008711,"0.2042911736267784","0.13494785880000001"
271.0,1,1008711,"0.20433668261924742","0.1364415252"
273.0,1,1008711,"0.20773140716960942","0.1379277644"
275.0,1,1008711,"0.21039533091069265","0.13940625"
277.0,1,1008711,"0.21129405598986767","0.14087665559999998"
279.0,1,1008711,"0.21153220383105192","0.14233865480000002"
281.0,1,1008711,"0.21550430794290368","0.1437919212"
283.0,1,1008711,"0.2168748546910997","0.1452361284"
285.0,1,1008711,"0.2185713388201294","0.14667095"
287.0,1,1008711,"0.21897021223522564","0.1480960596"
289.0,1,1008711,"0.21915430083081883","0.1495111308"
291.0,1,1008711,"0.22216050525622827","0.1509158372"
293.0,1,1008711,"0.22364418123554944","0.15230985240000003"
295.0,1,1008711,"0.22502510544286","0.15369285"
297.0,1,1008711,"0.22580967014547124","0.1550645036"
299.0,1,1008711,"0.22586600496277914","0.1564244868"
301.0,1,1008711,"0.22548244226510597","0.15777247319999999"
303.0,1,1008711,"0.22900001955760693","0.15910813640000002"
305.0,1,1008711,"0.22970427758684298","0.16043115"
307.0,1,1008711,"0.22998029899177194","0.16174118760000003"
309.0,1,1008711,"0.2300811757011503","0.1630379228"
311.0,1,1008711,"0.22972972972972974","0.1643210292"
313.0,1,1008711,"0.23274700669816512","0.16559018039999998"
315.0,1,1008711,"0.23377039901896046","0.16684505"
317.0,1,1008711,"0.23370259106271124","0.16808531159999998"
319.0,1,1008711,"0.23372249663224068","0.16931063879999997"
321.0,1,1008711,"0.23337061894108874","0.17052070519999998"
323.0,1,1008711,"0.234511226699739","0.1717151844"
325.0,1,1008711,"0.23582699637274218","0.17289375"
327.0,1,1008711,"0.2361790629065655","0.17405607560000003"
329.0,1,1008711,"0.23613291948146795","0.17520183479999998"
331.0,1,1008711,"0.23565328002907504","0.1763307012"
333.0,1,1008711,"0.2367778681855167","0.1774423484"
335.0,1,1008711,"0.2376693718172494","0.17853645"
