"tick","run","random_seed","Gamma end-point (D+R+T growth rate)"
137.0,1,1008711,"3.975988199998286E-10"
138.0,1,1008711,"3.951618271904408E-10"
139.0,1,1008711,"3.823591525940652E-10"
140.0,1,1008711,"3.788138031388186E-10"
141.0,1,1008711,"3.915932405922461E-10"
142.0,1,1008711,"3.820503619859117E-10"
143.0,1,1008711,"3.8294616374817793E-10"
144.0,1,1008711,"3.780593395933813E-10"
145.0,1,1008711,"3.6933698930182097E-10"
146.0,1,1008711,"3.643886697366584E-10"
147.0,1,1008711,"3.624447388514025E-10"
148.0,1,1008711,"3.601793300564106E-10"
149.0,1,1008711,"3.4738252089822726E-10"
150.0,1,1008711,"3.414435887334606E-10"
151.0,1,1008711,"3.514716304402524E-10"
152.0,1,1008711,"3.460837958256774E-10"
153.0,1,1008711,"3.35638484038079E-10"
154.0,1,1008711,"3.349941274063139E-10"
155.0,1,1008711,"3.230127098374341E-10"
156.0,1,1008711,"3.2441927625678517E-10"
157.0,1,1008711,"3.1773452608279927E-10"
158.0,1,1008711,"3.115238682376872E-10"
159.0,1,1008711,"3.0616268253496235E-10"
160.0,1,1008711,"3.0315839876295033E-10"
161.0,1,1008711,"2.9379272598388364E-10"
162.0,1,1008711,"2.9032752121623657E-10"
163.0,1,1008711,"2.9961939894245513E-10"
164.0,1,1008711,"3.005524545115924E-10"
165.0,1,1008711,"2.978396739319946E-10"
166.0,1,1008711,"2.946253748807874E-10"
167.0,1,1008711,"2.885780127081674E-10"
168.0,1,1008711,"2.8376120427555817E-10"
169.0,1,1008711,"2.793605561483757E-10"
170.0,1,1008711,"2.7494557090150484E-10"
171.0,1,1008711,"2.719870115168133E-10"
172.0,1,1008711,"2.8082182126616046E-10"
173.0,1,1008711,"2.7891813590690973E-10"
174.0,1,1008711,"2.777977111499076E-10"
175.0,1,1008711,"2.706228926832379E-10"
176.0,1,1008711,"2.6788066549842866E-10"
177.0,1,1008711,"2.628442535363858E-10"
178.0,1,1008711,"2.601643930980421E-10"
179.0,1,1008711,"2.544115878850662E-10"
180.0,1,1008711,"2.5020782095433297E-10"
181.0,1,1008711,"2.444342888400876E-10"
