"tick","run","random_seed","Donor density"
0.0,1,930625508,"0.05"
1.0,1,930625508,"0.0499001996007984"
2.0,1,930625508,"0.049800796812749"
3.0,1,930625508,"0.0496031746031746"
4.0,1,930625508,"0.04950495049504951"
5.0,1,930625508,"0.04930966469428008"
6.0,1,930625508,"0.04921259842519685"
7.0,1,930625508,"0.048828125"
8.0,1,930625508,"0.048638132295719845"
9.0,1,930625508,"0.04854368932038835"
10.0,1,930625508,"0.04826254826254826"
11.0,1,930625508,"0.04789272030651341"
12.0,1,930625508,"0.04770992366412214"
13.0,1,930625508,"0.04752851711026616"
14.0,1,930625508,"0.047080979284369114"
15.0,1,930625508,"0.046468401486988845"
16.0,1,930625508,"0.046125461254612546"
17.0,1,930625508,"0.045871559633027525"
18.0,1,930625508,"0.045454545454545456"
19.0,1,930625508,"0.04659498207885305"
20.0,1,930625508,"0.046181172291296625"
21.0,1,930625508,"0.045774647887323945"
22.0,1,930625508,"0.04695652173913043"
23.0,1,930625508,"0.04584040747028863"
24.0,1,930625508,"0.0453781512605042"
25.0,1,930625508,"0.044481054365733116"
26.0,1,930625508,"0.043689320388349516"
27.0,1,930625508,"0.04251968503937008"
28.0,1,930625508,"0.0421216848673947"
29.0,1,930625508,"0.04090909090909091"
30.0,1,930625508,"0.040238450074515646"
31.0,1,930625508,"0.03935860058309038"
32.0,1,930625508,"0.03840682788051209"
33.0,1,930625508,"0.03905160390516039"
34.0,1,930625508,"0.03961748633879782"
35.0,1,930625508,"0.040160642570281124"
36.0,1,930625508,"0.04308093994778068"
37.0,1,930625508,"0.04331210191082802"
38.0,1,930625508,"0.04234122042341221"
39.0,1,930625508,"0.04578313253012048"
40.0,1,930625508,"0.045023696682464455"
41.0,1,930625508,"0.044673539518900345"
42.0,1,930625508,"0.043869516310461196"
43.0,1,930625508,"0.04475982532751092"
44.0,1,930625508,"0.044538706256627786"
45.0,1,930625508,"0.0446985446985447"
46.0,1,930625508,"0.045824847250509164"
47.0,1,930625508,"0.04523107177974434"
48.0,1,930625508,"0.044358727097396335"
49.0,1,930625508,"0.04459203036053131"
50.0,1,930625508,"0.04477611940298507"
51.0,1,930625508,"0.045207956600361664"
52.0,1,930625508,"0.04440497335701599"
53.0,1,930625508,"0.04396551724137931"
54.0,1,930625508,"0.043515358361774746"
55.0,1,930625508,"0.04228855721393035"
56.0,1,930625508,"0.042379788101059496"
57.0,1,930625508,"0.04284559417946645"
58.0,1,930625508,"0.04316546762589928"
59.0,1,930625508,"0.042735042735042736"
60.0,1,930625508,"0.04230769230769231"
61.0,1,930625508,"0.0436418359668924"
62.0,1,930625508,"0.04274134119380987"
63.0,1,930625508,"0.04235463029432879"
64.0,1,930625508,"0.041578576462297394"
65.0,1,930625508,"0.04101161995898838"
66.0,1,930625508,"0.0410221923335575"
67.0,1,930625508,"0.04152933421226104"
68.0,1,930625508,"0.04147764095917045"
69.0,1,930625508,"0.04185161699429296"
70.0,1,930625508,"0.04150943396226415"
71.0,1,930625508,"0.04233128834355828"
72.0,1,930625508,"0.04219409282700422"
73.0,1,930625508,"0.04322429906542056"
74.0,1,930625508,"0.04228571428571429"
75.0,1,930625508,"0.04187604690117253"
76.0,1,930625508,"0.042833607907743"
77.0,1,930625508,"0.04224598930481283"
78.0,1,930625508,"0.04175475687103594"
79.0,1,930625508,"0.04271744724652599"
80.0,1,930625508,"0.04400606980273141"
81.0,1,930625508,"0.04410307234886026"
82.0,1,930625508,"0.04398826979472141"
83.0,1,930625508,"0.04259346900141978"
84.0,1,930625508,"0.041821561338289966"
85.0,1,930625508,"0.042805100182149364"
86.0,1,930625508,"0.042639138240574505"
87.0,1,930625508,"0.04246935201401051"
