"tick","Population (D+R+T)","Population (R)","Population (D)","Population (T)"
0.0,"50000.0","47500.0","2500.0","0.0"
1.0,"50200.0","47200.0","2500.0","500.0"
2.0,"50400.0","47400.0","2500.0","500.0"
3.0,"50700.0","47700.0","2500.0","500.0"
4.0,"50900.0","47900.0","2500.0","500.0"
5.0,"51200.0","48200.0","2500.0","500.0"
6.0,"51600.0","48600.0","2500.0","500.0"
7.0,"52100.0","49100.0","2500.0","500.0"
8.0,"52400.0","49400.0","2500.0","500.0"
9.0,"52900.0","49800.0","2600.0","500.0"
10.0,"53000.0","49900.0","2600.0","500.0"
11.0,"53700.0","50600.0","2600.0","500.0"
12.0,"54200.0","51100.0","2600.0","500.0"
13.0,"54800.0","51700.0","2600.0","500.0"
14.0,"55400.0","52200.0","2600.0","600.0"
15.0,"56200.0","53000.0","2600.0","600.0"
16.0,"56600.0","53400.0","2600.0","600.0"
17.0,"57500.0","54300.0","2600.0","600.0"
18.0,"57800.0","54600.0","2600.0","600.0"
19.0,"58600.0","55300.0","2700.0","600.0"
20.0,"59400.0","56100.0","2700.0","600.0"
21.0,"60100.0","56800.0","2700.0","600.0"
22.0,"60500.0","57200.0","2700.0","600.0"
23.0,"62000.0","58700.0","2700.0","600.0"
24.0,"62700.0","59400.0","2700.0","600.0"
25.0,"63600.0","60200.0","2800.0","600.0"
26.0,"64300.0","60900.0","2800.0","600.0"
27.0,"65800.0","62200.0","2900.0","700.0"
28.0,"66600.0","63000.0","2900.0","700.0"
29.0,"68400.0","64500.0","3200.0","700.0"
30.0,"69800.0","65800.0","3300.0","700.0"
31.0,"72000.0","68000.0","3300.0","700.0"
32.0,"73700.0","69600.0","3300.0","800.0"
33.0,"75500.0","71400.0","3300.0","800.0"
34.0,"77400.0","73200.0","3400.0","800.0"
35.0,"80400.0","76100.0","3500.0","800.0"
36.0,"82700.0","78100.0","3600.0","1000.0"
37.0,"84000.0","79200.0","3700.0","1100.0"
38.0,"86300.0","81400.0","3800.0","1100.0"
39.0,"88900.0","83900.0","3900.0","1100.0"
40.0,"90300.0","85200.0","4000.0","1100.0"
41.0,"92700.0","87400.0","4000.0","1300.0"
42.0,"94200.0","88600.0","4200.0","1400.0"
43.0,"96600.0","91000.0","4200.0","1400.0"
44.0,"98900.0","93200.0","4300.0","1400.0"
45.0,"101300.0","95600.0","4300.0","1400.0"
46.0,"103100.0","97400.0","4300.0","1400.0"
47.0,"106000.0","100200.0","4400.0","1400.0"
48.0,"108500.0","102300.0","4600.0","1600.0"
49.0,"111000.0","104700.0","4700.0","1600.0"
50.0,"112900.0","106300.0","4800.0","1800.0"
51.0,"115300.0","108300.0","5200.0","1800.0"
52.0,"117700.0","110200.0","5500.0","2000.0"
53.0,"120600.0","112900.0","5500.0","2200.0"
54.0,"123000.0","115100.0","5500.0","2400.0"
55.0,"126100.0","118000.0","5600.0","2500.0"
56.0,"127900.0","119600.0","5600.0","2700.0"
57.0,"130100.0","121700.0","5700.0","2700.0"
58.0,"131200.0","122600.0","5700.0","2900.0"
59.0,"135200.0","126300.0","6000.0","2900.0"
60.0,"137000.0","127800.0","6100.0","3100.0"
61.0,"139900.0","130600.0","6200.0","3100.0"
62.0,"142700.0","133200.0","6300.0","3200.0"
63.0,"147600.0","138100.0","6300.0","3200.0"
64.0,"149900.0","140200.0","6400.0","3300.0"
65.0,"153800.0","143900.0","6500.0","3400.0"
66.0,"155700.0","145600.0","6600.0","3500.0"
67.0,"158800.0","148600.0","6700.0","3500.0"
68.0,"161100.0","150800.0","6700.0","3600.0"
69.0,"164700.0","154000.0","7000.0","3700.0"
70.0,"166300.0","155500.0","7000.0","3800.0"
71.0,"172000.0","160800.0","7200.0","4000.0"
72.0,"174300.0","163000.0","7200.0","4100.0"
73.0,"178800.0","167200.0","7400.0","4200.0"
74.0,"182600.0","170800.0","7500.0","4300.0"
75.0,"186200.0","174000.0","7600.0","4600.0"
76.0,"189100.0","176700.0","7600.0","4800.0"
77.0,"194500.0","181500.0","7800.0","5200.0"
78.0,"198700.0","185300.0","8100.0","5300.0"
79.0,"203200.0","189400.0","8300.0","5500.0"
80.0,"206500.0","192300.0","8400.0","5800.0"
81.0,"209900.0","195500.0","8500.0","5900.0"
82.0,"212400.0","197500.0","8500.0","6400.0"
83.0,"219200.0","203900.0","8800.0","6500.0"
84.0,"222800.0","207100.0","9000.0","6700.0"
85.0,"226300.0","210200.0","9300.0","6800.0"
86.0,"229400.0","212800.0","9600.0","7000.0"
87.0,"234700.0","217400.0","10000.0","7300.0"
88.0,"237300.0","219700.0","10100.0","7500.0"
89.0,"243600.0","225500.0","10600.0","7500.0"
90.0,"247400.0","229000.0","10700.0","7700.0"
91.0,"252300.0","233600.0","10900.0","7800.0"
92.0,"257600.0","237900.0","11100.0","8600.0"
93.0,"264000.0","243700.0","11300.0","9000.0"
94.0,"267700.0","247300.0","11400.0","9000.0"
95.0,"275500.0","254400.0","11600.0","9500.0"
96.0,"279200.0","257500.0","11700.0","10000.0"
97.0,"285300.0","262900.0","12000.0","10400.0"
98.0,"290300.0","267700.0","12100.0","10500.0"
99.0,"297000.0","273900.0","12300.0","10800.0"
100.0,"301600.0","278000.0","12400.0","11200.0"
101.0,"308700.0","284600.0","12800.0","11300.0"
102.0,"314000.0","289400.0","13100.0","11500.0"
103.0,"320400.0","293900.0","13800.0","12700.0"
104.0,"328100.0","300700.0","14000.0","13400.0"
105.0,"333900.0","305700.0","14300.0","13900.0"
106.0,"339800.0","311000.0","14400.0","14400.0"
107.0,"349000.0","319700.0","14600.0","14700.0"
108.0,"353200.0","323600.0","14700.0","14900.0"
