"tick","run","random_seed","Gamma end-point (D+R+T growth rate)"
0.0,1,510102448,"0.0"
1.0,1,510102448,"0.0"
2.0,1,510102448,"0.0"
3.0,1,510102448,"0.0"
4.0,1,510102448,"0.0"
5.0,1,510102448,"0.0"
6.0,1,510102448,"0.0"
7.0,1,510102448,"0.0"
8.0,1,510102448,"0.0"
9.0,1,510102448,"0.0"
10.0,1,510102448,"0.0"
11.0,1,510102448,"0.0"
12.0,1,510102448,"0.0"
13.0,1,510102448,"0.0"
14.0,1,510102448,"0.0"
15.0,1,510102448,"0.0"
16.0,1,510102448,"0.0"
17.0,1,510102448,"0.0"
18.0,1,510102448,"0.0"
19.0,1,510102448,"0.0"
20.0,1,510102448,"0.0"
21.0,1,510102448,"0.0"
22.0,1,510102448,"0.0"
23.0,1,510102448,"0.0"
24.0,1,510102448,"0.0"
25.0,1,510102448,"0.0"
26.0,1,510102448,"0.0"
27.0,1,510102448,"0.0"
28.0,1,510102448,"0.0"
29.0,1,510102448,"1.076112300078949E-9"
30.0,1,510102448,"1.0348654936263996E-9"
31.0,1,510102448,"9.912872048741877E-10"
32.0,1,510102448,"9.491163055700088E-10"
33.0,1,510102448,"8.645832637069551E-10"
34.0,1,510102448,"7.843153239430311E-10"
35.0,1,510102448,"6.523251337298357E-10"
36.0,1,510102448,"6.225231782432806E-10"
37.0,1,510102448,"5.975257081334944E-10"
38.0,1,510102448,"1.1252218790164468E-9"
39.0,1,510102448,"1.082163151122798E-9"
40.0,1,510102448,"1.0461307942700465E-9"
41.0,1,510102448,"9.981745872949854E-10"
42.0,1,510102448,"9.233928307305734E-10"
43.0,1,510102448,"8.8537979090736E-10"
44.0,1,510102448,"8.228454176840835E-10"
45.0,1,510102448,"7.914130797875373E-10"
46.0,1,510102448,"7.68452736852113E-10"
47.0,1,510102448,"7.384782937040796E-10"
48.0,1,510102448,"7.145375053594976E-10"
49.0,1,510102448,"6.603909123161291E-10"
50.0,1,510102448,"6.377264700093957E-10"
51.0,1,510102448,"5.906664776206927E-10"
52.0,1,510102448,"5.724832742786847E-10"
53.0,1,510102448,"4.986134190899456E-10"
54.0,1,510102448,"6.946714949474811E-10"
55.0,1,510102448,"6.696191666778125E-10"
56.0,1,510102448,"8.311387307321944E-10"
57.0,1,510102448,"9.96989120884797E-10"
58.0,1,510102448,"9.731217008298135E-10"
59.0,1,510102448,"9.393640199252792E-10"
60.0,1,510102448,"8.906707372961877E-10"
61.0,1,510102448,"1.0234291612680964E-9"
62.0,1,510102448,"9.413186575494322E-10"
63.0,1,510102448,"9.124421514828467E-10"
64.0,1,510102448,"8.919069363684131E-10"
65.0,1,510102448,"8.676231051742806E-10"
66.0,1,510102448,"8.450936349576788E-10"
67.0,1,510102448,"7.968670586475087E-10"
68.0,1,510102448,"7.768732398654203E-10"
69.0,1,510102448,"8.450644151043824E-10"
70.0,1,510102448,"8.297245566610573E-10"
71.0,1,510102448,"9.415422019307393E-10"
72.0,1,510102448,"1.1897566578266018E-9"
73.0,1,510102448,"1.15686002023246E-9"
74.0,1,510102448,"1.2655142208729128E-9"
75.0,1,510102448,"1.2017362297202138E-9"
76.0,1,510102448,"1.1775222097294838E-9"
77.0,1,510102448,"1.249792096156091E-9"
78.0,1,510102448,"1.218773815290028E-9"
79.0,1,510102448,"1.1680491799576157E-9"
80.0,1,510102448,"1.1246366399394329E-9"
81.0,1,510102448,"1.359220039140164E-9"
82.0,1,510102448,"1.3077768212459564E-9"
83.0,1,510102448,"1.3411450587061607E-9"
84.0,1,510102448,"1.2432629352677462E-9"
85.0,1,510102448,"1.1740819635078629E-9"
86.0,1,510102448,"1.1473311735521266E-9"
87.0,1,510102448,"1.1805376868753085E-9"
88.0,1,510102448,"1.1777424129149153E-9"
89.0,1,510102448,"1.1524953235065865E-9"
90.0,1,510102448,"1.1459101451112357E-9"
91.0,1,510102448,"1.1817797130175156E-9"
92.0,1,510102448,"1.1569586696461009E-9"
93.0,1,510102448,"1.2179976097072207E-9"
94.0,1,510102448,"1.2358443162705277E-9"
95.0,1,510102448,"1.1850761303150548E-9"
96.0,1,510102448,"1.1871365406062173E-9"
97.0,1,510102448,"1.1898195723069353E-9"
98.0,1,510102448,"1.1197914822345522E-9"
99.0,1,510102448,"1.1205641053198696E-9"
100.0,1,510102448,"1.0957032116587751E-9"
101.0,1,510102448,"1.202387911475882E-9"
102.0,1,510102448,"1.1615807089086118E-9"
103.0,1,510102448,"1.1177081721998345E-9"
104.0,1,510102448,"1.0864365855707948E-9"
105.0,1,510102448,"1.1256437949114432E-9"
106.0,1,510102448,"1.118173428099446E-9"
107.0,1,510102448,"1.0903553246580252E-9"
108.0,1,510102448,"1.0983843347903513E-9"
109.0,1,510102448,"1.094444283426174E-9"
110.0,1,510102448,"1.0491714967428916E-9"
111.0,1,510102448,"1.025802695363908E-9"
112.0,1,510102448,"1.0195574599679544E-9"
113.0,1,510102448,"1.1007991060769207E-9"
114.0,1,510102448,"1.1188016638323483E-9"
115.0,1,510102448,"1.1003639449846999E-9"
116.0,1,510102448,"1.087602965628028E-9"
117.0,1,510102448,"1.086018417626879E-9"
118.0,1,510102448,"1.0600929236026288E-9"
119.0,1,510102448,"1.0447712408024058E-9"
120.0,1,510102448,"1.0311801097970283E-9"
121.0,1,510102448,"1.041023358073869E-9"
122.0,1,510102448,"1.0277401714661567E-9"
123.0,1,510102448,"1.0121189227950238E-9"
124.0,1,510102448,"9.93213767410437E-10"
125.0,1,510102448,"9.864190173662335E-10"
126.0,1,510102448,"9.743007649536922E-10"
127.0,1,510102448,"9.448817870258097E-10"
128.0,1,510102448,"9.223991286481516E-10"
