"tick","run","random_seed","gamma0(N)","gamma0(D)","gamma0(T)"
458.0,1,510102448,"0.809593023255814","0.809593023255814","0.0"
459.0,1,510102448,"0.809593023255814","0.809593023255814","0.0"
460.0,1,510102448,"0.809593023255814","0.809593023255814","0.0"
461.0,1,510102448,"0.8096720630967207","0.8096720630967207","0.0"
462.0,1,510102448,"0.8097510373443984","0.8097510373443984","0.0"
463.0,1,510102448,"0.810576327205123","0.810576327205123","0.0"
464.0,1,510102448,"0.8085720173088811","0.8085720173088811","0.0"
465.0,1,510102448,"0.809122662831313","0.809122662831313","0.0"
466.0,1,510102448,"0.8095530955309553","0.8095530955309553","0.0"
467.0,1,510102448,"0.8097870597870598","0.8097870597870598","0.0"
468.0,1,510102448,"0.8100592925782049","0.8100592925782049","0.0"
469.0,1,510102448,"0.8095627298733142","0.8095627298733142","0.0"
470.0,1,510102448,"0.8096016343207354","0.8096016343207354","0.0"
471.0,1,510102448,"0.8096793955482948","0.8096793955482948","0.0"
472.0,1,510102448,"0.8097182523478971","0.8097182523478971","0.0"
473.0,1,510102448,"0.810761421319797","0.810761421319797","0.0"
474.0,1,510102448,"0.8082995951417004","0.8082995951417004","0.0"
475.0,1,510102448,"0.8086868686868687","0.8086868686868687","0.0"
476.0,1,510102448,"0.8092264302981467","0.8092264302981467","0.0"
477.0,1,510102448,"0.809418394043067","0.809418394043067","0.0"
478.0,1,510102448,"0.8096864951768489","0.8096864951768489","0.0"
479.0,1,510102448,"0.8098393574297189","0.8098393574297189","0.0"
480.0,1,510102448,"0.8099538430664258","0.8099538430664258","0.0"
481.0,1,510102448,"0.8100300902708124","0.8100300902708124","0.0"
482.0,1,510102448,"0.8095429029671211","0.8095429029671211","0.0"
483.0,1,510102448,"0.810341385506089","0.810341385506089","0.0"
484.0,1,510102448,"0.8082437275985663","0.8082437275985663","0.0"
485.0,1,510102448,"0.8087008343265792","0.8087008343265792","0.0"
486.0,1,510102448,"0.8088906529073229","0.8088906529073229","0.0"
487.0,1,510102448,"0.8091557669441142","0.8091557669441142","0.0"
488.0,1,510102448,"0.8091557669441142","0.8091557669441142","0.0"
489.0,1,510102448,"0.8091935803447593","0.8091935803447593","0.0"
490.0,1,510102448,"0.8092313787638669","0.8092313787638669","0.0"
491.0,1,510102448,"0.8093069306930694","0.8093069306930694","0.0"
492.0,1,510102448,"0.8100966278840466","0.8100966278840466","0.0"
493.0,1,510102448,"0.8083431719795356","0.8083431719795356","0.0"
494.0,1,510102448,"0.808681987821646","0.808681987821646","0.0"
495.0,1,510102448,"0.8089446841898784","0.8089446841898784","0.0"
496.0,1,510102448,"0.8090570476377181","0.8090570476377181","0.0"
497.0,1,510102448,"0.8092066601371205","0.8092066601371205","0.0"
498.0,1,510102448,"0.8093187157400157","0.8093187157400157","0.0"
499.0,1,510102448,"0.8095424325381306","0.8095424325381306","0.0"
500.0,1,510102448,"0.8096912856584604","0.8096912856584604","0.0"
501.0,1,510102448,"0.8098027728959187","0.8098027728959187","0.0"
502.0,1,510102448,"0.8105795410346169","0.8105795410346169","0.0"
503.0,1,510102448,"0.8083785880527541","0.8083785880527541","0.0"
504.0,1,510102448,"0.8088974854932302","0.8088974854932302","0.0"
505.0,1,510102448,"0.809229581000193","0.809229581000193","0.0"
506.0,1,510102448,"0.8095972248988245","0.8095972248988245","0.0"
507.0,1,510102448,"0.8097805159799769","0.8097805159799769","0.0"
508.0,1,510102448,"0.8099268949595998","0.8099268949595998","0.0"
509.0,1,510102448,"0.8100365314362623","0.8100365314362623","0.0"
510.0,1,510102448,"0.8098808150711265","0.8098808150711265","0.0"
511.0,1,510102448,"0.8099538816295158","0.8099538816295158","0.0"
512.0,1,510102448,"0.8109709480122325","0.8109709480122325","0.0"
513.0,1,510102448,"0.8086525633695445","0.8086525633695445","0.0"
514.0,1,510102448,"0.8091254752851711","0.8091254752851711","0.0"
515.0,1,510102448,"0.8094876660341556","0.8094876660341556","0.0"
516.0,1,510102448,"0.8098844915735656","0.8098844915735656","0.0"
517.0,1,510102448,"0.8101720552089242","0.8101720552089242","0.0"
518.0,1,510102448,"0.8094068757083491","0.8094068757083491","0.0"
519.0,1,510102448,"0.8095867144744291","0.8095867144744291","0.0"
520.0,1,510102448,"0.8097303413162361","0.8097303413162361","0.0"
521.0,1,510102448,"0.8099453757769824","0.8099453757769824","0.0"
522.0,1,510102448,"0.8108716026241799","0.8108716026241799","0.0"
523.0,1,510102448,"0.8090518047503273","0.8090518047503273","0.0"
524.0,1,510102448,"0.8095504570042903","0.8095504570042903","0.0"
525.0,1,510102448,"0.8098696461824954","0.8098696461824954","0.0"
526.0,1,510102448,"0.8101524730383042","0.8101524730383042","0.0"
527.0,1,510102448,"0.8093999628459967","0.8093999628459967","0.0"
