"tick","run","random_seed","Relative contribution of horizontal transfer","Relative contribution of vertical transfer","Relative contribution of transconjugants re-transfers"
0.0,1,664279,"0.3912231559290383","0.6087768440709617","0.0"
1.0,1,664279,"0.0","0.0","0.0"
2.0,1,664279,"1.0","0.0","0.0"
3.0,1,664279,"1.0","0.0","0.0"
4.0,1,664279,"1.0","0.0","0.0"
5.0,1,664279,"1.0","0.0","0.0"
6.0,1,664279,"1.0","0.0","0.0"
7.0,1,664279,"1.0","0.0","0.0"
8.0,1,664279,"1.0","0.0","0.0"
9.0,1,664279,"1.0","0.0","0.0"
10.0,1,664279,"1.0","0.0","0.0"
11.0,1,664279,"1.0","0.0","0.0"
12.0,1,664279,"1.0","0.0","0.0"
13.0,1,664279,"1.0","0.0","0.0"
14.0,1,664279,"1.0","0.0","0.0"
15.0,1,664279,"1.0","0.0","0.0"
16.0,1,664279,"1.0","0.0","0.0"
17.0,1,664279,"1.0","0.0","0.0"
18.0,1,664279,"1.0","0.0","0.0"
19.0,1,664279,"1.0","0.0","0.0"
20.0,1,664279,"1.0","0.0","0.0"
21.0,1,664279,"1.0","0.0","0.0"
22.0,1,664279,"1.0","0.0","0.0"
23.0,1,664279,"1.0","0.0","0.0"
24.0,1,664279,"1.0","0.0","0.0"
25.0,1,664279,"1.0","0.0","0.0"
26.0,1,664279,"1.0","0.0","0.0"
27.0,1,664279,"1.0","0.0","0.0"
28.0,1,664279,"0.75","0.25","0.0"
29.0,1,664279,"0.75","0.25","0.0"
30.0,1,664279,"0.75","0.25","0.0"
31.0,1,664279,"0.75","0.25","0.0"
32.0,1,664279,"0.8333333333333334","0.16666666666666666","0.0"
33.0,1,664279,"0.8333333333333334","0.16666666666666666","0.0"
34.0,1,664279,"0.8333333333333334","0.16666666666666666","0.0"
35.0,1,664279,"0.8333333333333334","0.16666666666666666","0.0"
36.0,1,664279,"0.8333333333333334","0.16666666666666666","0.0"
37.0,1,664279,"0.8571428571428571","0.14285714285714285","0.0"
38.0,1,664279,"0.8571428571428571","0.14285714285714285","0.0"
39.0,1,664279,"0.8571428571428571","0.14285714285714285","0.0"
40.0,1,664279,"0.8571428571428571","0.14285714285714285","0.0"
41.0,1,664279,"0.8571428571428571","0.14285714285714285","0.0"
42.0,1,664279,"0.875","0.125","0.0"
43.0,1,664279,"0.875","0.125","0.0"
44.0,1,664279,"0.7777777777777778","0.2222222222222222","0.0"
45.0,1,664279,"0.7777777777777778","0.2222222222222222","0.0"
46.0,1,664279,"0.7272727272727273","0.2727272727272727","0.0"
47.0,1,664279,"0.7272727272727273","0.2727272727272727","0.0"
48.0,1,664279,"0.7272727272727273","0.2727272727272727","0.0"
49.0,1,664279,"0.7272727272727273","0.2727272727272727","0.0"
50.0,1,664279,"0.7272727272727273","0.2727272727272727","0.0"
51.0,1,664279,"0.7272727272727273","0.2727272727272727","0.0"
52.0,1,664279,"0.75","0.25","0.0"
53.0,1,664279,"0.75","0.25","0.0"
54.0,1,664279,"0.7692307692307693","0.23076923076923078","0.0"
55.0,1,664279,"0.7692307692307693","0.23076923076923078","0.0"
56.0,1,664279,"0.7142857142857143","0.2857142857142857","0.0"
57.0,1,664279,"0.7142857142857143","0.2857142857142857","0.0"
58.0,1,664279,"0.7142857142857143","0.2857142857142857","0.0"
59.0,1,664279,"0.7142857142857143","0.2857142857142857","0.0"
60.0,1,664279,"0.7142857142857143","0.2857142857142857","0.0"
61.0,1,664279,"0.7142857142857143","0.2857142857142857","0.0"
62.0,1,664279,"0.7142857142857143","0.2857142857142857","0.0"
63.0,1,664279,"0.7777777777777778","0.2222222222222222","0.0"
64.0,1,664279,"0.7368421052631579","0.2631578947368421","0.0"
65.0,1,664279,"0.7368421052631579","0.2631578947368421","0.0"
66.0,1,664279,"0.7368421052631579","0.2631578947368421","0.0"
67.0,1,664279,"0.7","0.3","0.0"
68.0,1,664279,"0.7","0.3","0.0"
69.0,1,664279,"0.7","0.3","0.0"
70.0,1,664279,"0.7142857142857143","0.2857142857142857","0.0"
71.0,1,664279,"0.7272727272727273","0.2727272727272727","0.0"
72.0,1,664279,"0.7391304347826086","0.2608695652173913","0.0"
73.0,1,664279,"0.7307692307692307","0.2692307692307692","0.0"
74.0,1,664279,"0.7037037037037037","0.2962962962962963","0.0"
75.0,1,664279,"0.7037037037037037","0.2962962962962963","0.0"
76.0,1,664279,"0.6785714285714286","0.32142857142857145","0.0"
77.0,1,664279,"0.6333333333333333","0.36666666666666664","0.0"
78.0,1,664279,"0.6129032258064516","0.3870967741935484","0.0"
79.0,1,664279,"0.6129032258064516","0.3870967741935484","0.0"
80.0,1,664279,"0.625","0.375","0.0"
81.0,1,664279,"0.6571428571428571","0.34285714285714286","0.0"
82.0,1,664279,"0.6388888888888888","0.3611111111111111","0.0"
83.0,1,664279,"0.6216216216216216","0.3783783783783784","0.0"
84.0,1,664279,"0.6382978723404256","0.3617021276595745","0.0"
85.0,1,664279,"0.6470588235294118","0.35294117647058826","0.0"
86.0,1,664279,"0.6346153846153846","0.36538461538461536","0.0"
87.0,1,664279,"0.6226415094339622","0.37735849056603776","0.0"
88.0,1,664279,"0.6111111111111112","0.3888888888888889","0.0"
89.0,1,664279,"0.6","0.4","0.0"
90.0,1,664279,"0.5964912280701754","0.40350877192982454","0.0"
