"tick","run","random_seed","Generation Time G(D+T+R)","Generation Time G(D)","Generation Time G(R)","Generation Time G(T)"
0.0,1,383639,"0.0","0.0","0.0","0.0"
1.0,1,383639,"87.56754552221699","0.0","110.82607803901954","0.0"
2.0,1,383639,"87.91503943029493","35.58084503747316","111.17386090186714","0.0"
3.0,1,383639,"81.55212048619401","53.37126755620974","100.4728061858849","0.0"
4.0,1,383639,"94.4223724332596","71.16169007494632","111.86727094909067","0.0"
5.0,1,383639,"81.02198461084593","45.33157609243236","93.79820902088821","0.0"
6.0,1,383639,"85.80660512557154","54.39789131091883","96.77322479285294","0.0"
7.0,1,383639,"78.733628288457","63.464206529405295","85.27700030463267","0.0"
8.0,1,383639,"80.28679109985423","49.25517712256922","88.2926254317525","0.0"
9.0,1,383639,"79.68130273572139","55.41207426289037","85.95983720785577","0.0"
10.0,1,383639,"86.50771125701705","61.56897140321152","93.02156026179222","0.0"
11.0,1,383639,"79.02340752167224","51.713268957221715","84.7966392367621","0.0"
12.0,1,383639,"81.64308932796207","56.41447522606005","88.74180877678717","0.0"
13.0,1,383639,"85.44435783579956","61.11568149489839","92.39232020632886","0.0"
14.0,1,383639,"86.19655996449613","53.57864967005658","94.03160043898626","0.0"
15.0,1,383639,"80.96315286821687","57.40569607506062","86.62764091778055","0.0"
16.0,1,383639,"79.87903392013112","51.89892303981697","85.80833942778963","0.0"
17.0,1,383639,"76.3834224573831","48.05070991471526","81.92777996939749","0.0"
18.0,1,383639,"76.66769535920052","50.87722226263969","81.63512920028191","0.0"
19.0,1,383639,"73.3852825087154","53.70373461056412","77.19430979304731","0.0"
20.0,1,383639,"72.57983130260133","50.26464676065914","77.28525723624489","0.0"
21.0,1,383639,"71.91323936373782","47.653799490363454","76.69412509400482","0.0"
22.0,1,383639,"72.44922255420143","45.62209185748669","78.21583841216064","0.0"
23.0,1,383639,"68.04105077853166","44.01103365754648","72.88335940168841","0.0"
24.0,1,383639,"68.7074250114369","45.9245568600485","73.25417424970509","0.0"
25.0,1,383639,"66.87952455171575","47.83808006255052","70.66280869811068","0.0"
26.0,1,383639,"66.06623728598967","46.27457124175799","69.79351672195615","0.0"
27.0,1,383639,"63.40280045529798","48.05436244336407","66.33776668220779","0.0"
28.0,1,383639,"62.93727044587011","49.834153644970144","65.52696515073167","0.0"
29.0,1,383639,"59.63256604164229","48.32658048161557","62.38211826088477","0.0"
30.0,1,383639,"60.17948699688459","47.072766329971095","63.059329236428404","0.0"
31.0,1,383639,"57.99923221723253","48.64185854097013","60.53725721850583","0.0"
32.0,1,383639,"56.56389806000724","47.506224382330124","59.11358123222796","0.0"
33.0,1,383639,"53.9785525612824","46.54543330363308","56.30236508488736","0.0"
34.0,1,383639,"53.04367155403438","43.74431385383573","55.38253655789919","0.0"
35.0,1,383639,"50.11027683969945","41.54799437475042","52.105901027671415","0.0"
36.0,1,383639,"49.68059952661057","41.194700511898915","51.58306874965437","0.0"
37.0,1,383639,"48.65338984909764","42.33899774834055","50.37353978449509","0.0"
38.0,1,383639,"48.27186535616872","39.40089751328396","50.144050251848064","0.0"
39.0,1,383639,"47.19344185455301","40.437763237317746","48.75799673328284","0.0"
