"tick","run","random_seed","Gamma end-point (D+R+T growth rate)"
0.0,1,664279,"0.0"
1.0,1,664279,"3.4555220146939184E-8"
2.0,1,664279,"1.6668281359333883E-8"
3.0,1,664279,"1.0721631610345993E-8"
4.0,1,664279,"7.776155780262004E-9"
5.0,1,664279,"6.009027458537858E-9"
6.0,1,664279,"4.852559636089922E-9"
7.0,1,664279,"4.025555116801815E-9"
8.0,1,664279,"3.419634073629896E-9"
9.0,1,664279,"3.033006027799115E-9"
10.0,1,664279,"2.7237392340709463E-9"
11.0,1,664279,"2.4573937546490275E-9"
12.0,1,664279,"2.247769145107021E-9"
13.0,1,664279,"2.0660027207995906E-9"
14.0,1,664279,"1.916388895115276E-9"
15.0,1,664279,"1.7810600049169504E-9"
16.0,1,664279,"1.6592497989744708E-9"
17.0,1,664279,"1.5519362453148496E-9"
18.0,1,664279,"1.4552102074370074E-9"
19.0,1,664279,"1.3730177744486403E-9"
20.0,1,664279,"1.3017275124910665E-9"
21.0,1,664279,"1.16432205893166E-9"
22.0,1,664279,"1.0761809285291663E-9"
23.0,1,664279,"1.0153499909474144E-9"
24.0,1,664279,"9.683564101299332E-10"
25.0,1,664279,"9.009784566002423E-10"
26.0,1,664279,"8.541591780522007E-10"
27.0,1,664279,"1.0700166795835947E-9"
28.0,1,664279,"9.748420222894498E-10"
29.0,1,664279,"8.91449153903453E-10"
30.0,1,664279,"8.143863172548285E-10"
31.0,1,664279,"1.121396740591329E-9"
32.0,1,664279,"1.0534831393506521E-9"
33.0,1,664279,"9.33385719118623E-10"
34.0,1,664279,"8.626172294930364E-10"
35.0,1,664279,"8.060770376977399E-10"
36.0,1,664279,"8.970088429406998E-10"
37.0,1,664279,"8.446169898896515E-10"
38.0,1,664279,"8.131062295268623E-10"
39.0,1,664279,"7.719458471241794E-10"
40.0,1,664279,"7.304574023213179E-10"
41.0,1,664279,"7.816630055003881E-10"
42.0,1,664279,"7.409744158873874E-10"
43.0,1,664279,"7.718410544754856E-10"
44.0,1,664279,"7.369421228157731E-10"
45.0,1,664279,"8.414955240354403E-10"
46.0,1,664279,"8.050236057715172E-10"
47.0,1,664279,"7.513172577937609E-10"
48.0,1,664279,"7.183035055281131E-10"
49.0,1,664279,"6.84770480535181E-10"
50.0,1,664279,"6.603152706513648E-10"
51.0,1,664279,"6.689780324414276E-10"
52.0,1,664279,"6.350553485850737E-10"
53.0,1,664279,"6.435587320738533E-10"
54.0,1,664279,"6.041467733863878E-10"
55.0,1,664279,"6.129850325757444E-10"
56.0,1,664279,"5.837592022239497E-10"
57.0,1,664279,"5.472012362822061E-10"
58.0,1,664279,"5.26697609845618E-10"
59.0,1,664279,"4.924206602688361E-10"
60.0,1,664279,"4.760964901895102E-10"
61.0,1,664279,"4.5250309626873084E-10"
62.0,1,664279,"5.416051033278496E-10"
63.0,1,664279,"5.471845583872723E-10"
64.0,1,664279,"5.243978433602299E-10"
65.0,1,664279,"4.982238099772593E-10"
66.0,1,664279,"5.063001641932501E-10"
67.0,1,664279,"4.713660633170227E-10"
68.0,1,664279,"4.5719785737694277E-10"
69.0,1,664279,"4.5697884457091896E-10"
70.0,1,664279,"4.589116866558314E-10"
71.0,1,664279,"4.578344999243076E-10"
72.0,1,664279,"4.927478836522566E-10"
73.0,1,664279,"4.840513072331133E-10"
74.0,1,664279,"4.702692376381191E-10"
75.0,1,664279,"4.66855667793093E-10"
76.0,1,664279,"4.71029134715315E-10"
77.0,1,664279,"4.6136333989955307E-10"
78.0,1,664279,"4.4529148840858876E-10"
79.0,1,664279,"4.3248541204751E-10"
80.0,1,664279,"4.5160686677502625E-10"
81.0,1,664279,"4.473788372418228E-10"
82.0,1,664279,"4.4576857182983657E-10"
83.0,1,664279,"5.253870094570108E-10"
84.0,1,664279,"5.413621503246524E-10"
85.0,1,664279,"5.246900558081403E-10"
86.0,1,664279,"5.04883397272821E-10"
87.0,1,664279,"4.914782207161636E-10"
88.0,1,664279,"4.792863729128552E-10"
89.0,1,664279,"4.696838059532963E-10"
90.0,1,664279,"4.5973087142072305E-10"
91.0,1,664279,"4.6336990393284097E-10"
92.0,1,664279,"4.533460245126555E-10"
93.0,1,664279,"4.4835491750499715E-10"
94.0,1,664279,"4.519235286505533E-10"
95.0,1,664279,"4.3494300215144743E-10"
96.0,1,664279,"4.2670752196324906E-10"
97.0,1,664279,"4.157080531491914E-10"
98.0,1,664279,"4.0365636502616064E-10"
99.0,1,664279,"3.9314529164143243E-10"
100.0,1,664279,"3.941148639380798E-10"
101.0,1,664279,"3.782476254383942E-10"
102.0,1,664279,"4.0786058695103115E-10"
103.0,1,664279,"3.999962884547909E-10"
104.0,1,664279,"3.9567155448067284E-10"
105.0,1,664279,"3.8911993543232736E-10"
106.0,1,664279,"3.784909251215401E-10"
107.0,1,664279,"3.8602233609647297E-10"
108.0,1,664279,"3.7901530489112594E-10"
109.0,1,664279,"3.7571979150433167E-10"
110.0,1,664279,"3.7704346570119987E-10"
111.0,1,664279,"3.6808285825006473E-10"
112.0,1,664279,"4.184905969011425E-10"
113.0,1,664279,"4.0498319306617973E-10"
114.0,1,664279,"3.973848826896945E-10"
115.0,1,664279,"3.909136295071017E-10"
116.0,1,664279,"3.8279351375436833E-10"
