"tick","run","random_seed","Donor density"
0.0,1,207372165,"0.05"
1.0,1,207372165,"0.0499001996007984"
2.0,1,207372165,"0.0499001996007984"
3.0,1,207372165,"0.04970178926441352"
4.0,1,207372165,"0.0496031746031746"
5.0,1,207372165,"0.04950495049504951"
6.0,1,207372165,"0.04950495049504951"
7.0,1,207372165,"0.04930966469428008"
8.0,1,207372165,"0.05108055009823183"
9.0,1,207372165,"0.05078125"
10.0,1,207372165,"0.05078125"
11.0,1,207372165,"0.05029013539651837"
12.0,1,207372165,"0.05019305019305019"
13.0,1,207372165,"0.04980842911877394"
14.0,1,207372165,"0.05142857142857143"
15.0,1,207372165,"0.05056179775280899"
16.0,1,207372165,"0.05046728971962617"
17.0,1,207372165,"0.053406998158379376"
18.0,1,207372165,"0.053406998158379376"
19.0,1,207372165,"0.05474452554744526"
20.0,1,207372165,"0.05434782608695652"
21.0,1,207372165,"0.05357142857142857"
22.0,1,207372165,"0.05319148936170213"
23.0,1,207372165,"0.05244755244755245"
24.0,1,207372165,"0.05199306759098787"
25.0,1,207372165,"0.05299145299145299"
26.0,1,207372165,"0.053691275167785234"
27.0,1,207372165,"0.052805280528052806"
28.0,1,207372165,"0.05203252032520325"
29.0,1,207372165,"0.05221518987341772"
30.0,1,207372165,"0.05255023183925812"
31.0,1,207372165,"0.05089820359281437"
32.0,1,207372165,"0.04985337243401759"
33.0,1,207372165,"0.049786628733997154"
34.0,1,207372165,"0.0546218487394958"
35.0,1,207372165,"0.05593451568894952"
36.0,1,207372165,"0.05503355704697987"
37.0,1,207372165,"0.055408970976253295"
38.0,1,207372165,"0.05662805662805663"
39.0,1,207372165,"0.05778894472361809"
40.0,1,207372165,"0.058530510585305104"
41.0,1,207372165,"0.05896510228640193"
42.0,1,207372165,"0.05812574139976275"
43.0,1,207372165,"0.056712962962962965"
44.0,1,207372165,"0.060879368658399095"
45.0,1,207372165,"0.06050605060506051"
46.0,1,207372165,"0.06086956521739131"
47.0,1,207372165,"0.05956112852664577"
48.0,1,207372165,"0.05822267620020429"
49.0,1,207372165,"0.05688622754491018"
50.0,1,207372165,"0.05555555555555555"
51.0,1,207372165,"0.05635148042024833"
52.0,1,207372165,"0.05545112781954887"
53.0,1,207372165,"0.05834092980856882"
54.0,1,207372165,"0.05765765765765766"
55.0,1,207372165,"0.056338028169014086"
56.0,1,207372165,"0.05662020905923345"
57.0,1,207372165,"0.0550381033022862"
58.0,1,207372165,"0.05453020134228188"
59.0,1,207372165,"0.05628058727569331"
60.0,1,207372165,"0.055915721231766614"
61.0,1,207372165,"0.056962025316455694"
62.0,1,207372165,"0.05845674201091192"
63.0,1,207372165,"0.056990881458966566"
64.0,1,207372165,"0.05697151424287856"
65.0,1,207372165,"0.055353241077931534"
66.0,1,207372165,"0.05591397849462366"
67.0,1,207372165,"0.05625"
68.0,1,207372165,"0.05684931506849315"
69.0,1,207372165,"0.05858585858585859"
70.0,1,207372165,"0.05858854860186418"
71.0,1,207372165,"0.059244791666666664"
72.0,1,207372165,"0.059050064184852376"
73.0,1,207372165,"0.05986137366099559"
74.0,1,207372165,"0.060794044665012405"
75.0,1,207372165,"0.06132361870066788"
76.0,1,207372165,"0.060733613950691524"
77.0,1,207372165,"0.060023310023310024"
78.0,1,207372165,"0.05994236311239193"
79.0,1,207372165,"0.06074240719910011"
80.0,1,207372165,"0.061461794019933555"
