"Time","run","random_seed","gamma0","gamma0d","gamma0t","gammaI","Density","GammaEp","Rate","Plasmid","G","Gd","Gr","Gt","N","Nd","Nr","Nt","RCh","RCv","RCt","WetLabRateCurve"
"-1.0",1,4745,"0.0","0.0","0.0","0.0","0.05","0.0","0.0","OriTR388","0.0","0.0","0.0","0.0","50000.0","2500.0","47500.0","0.0","0.0","0.0","0.0","0.0019546068"
"5.0",1,4745,"1.0","1.0","0.0","0.038461538461538464","0.05","0.0","0.002105263157894737","OriTR388","0.0","0.0","0.0","0.0","50000.0","2500.0","47400.0","100.0","1.0","0.0","0.0","5.641499999999998E-4"
"15.0",1,4745,"1.0","1.0","0.0","0.03571428571428571","0.05222437137330754","7.555761230493863E-10","0.0020408163265306124","OriTR388","0.0","0.0","0.0","0.0","51700.0","2700.0","48900.0","100.0","1.0","0.0","0.0","-0.00103795"
"25.0",1,4745,"0.3333333333333333","0.3333333333333333","0.0","0.02857142857142857","0.054313099041533544","3.283771664317088E-10","0.0016891891891891893","OriTR388","77.61702439965987","56.73071367900411","79.8340027175099","0.0","62600.0","3400.0","59100.0","100.0","1.0","0.0","0.0","-0.0017812500000000003"
"35.0",1,4745,"0.25","0.25","0.0","0.02040816326530612","0.05106382978723404","1.337040378429139E-10","0.0011210762331838565","OriTR388","38.68596370501834","37.437397128831165","38.82385842736825","0.0","94000.0","4800.0","89100.0","100.0","1.0","0.0","0.0","-0.0017065500000000005"
"45.0",1,4745,"0.14285714285714285","0.14285714285714285","0.0","0.017543859649122806","0.05188679245283019","1.6869698291963164E-10","0.001990049751243781","OriTR388","41.78628605987269","39.82319046045887","42.008798488341526","0.0","106000.0","5500.0","100300.0","200.0","0.5","0.5","0.0","-8.546499999999991E-4"
"55.0",1,4745,"0.1","0.1","0.0","0.013513513513513514","0.05500381970970206","9.416135395158369E-11","0.0016168148746968471","OriTR388","39.875304288496544","36.27979801751073","40.163221922962414","0.0","130900.0","7200.0","123500.0","200.0","0.5","0.5","0.0","7.336500000000004E-4"
"65.0",1,4745,"0.2","0.2","0.0","0.020618556701030927","0.05228031145717464","7.550667511961089E-11","0.0017605633802816902","OriTR388","35.43769732746443","34.24441227447514","35.553409988639714","0.0","179800.0","9400.0","170100.0","300.0","0.6666666666666666","0.3333333333333333","0.0","0.003017550000000001"
"75.0",1,4745,"0.4666666666666667","0.4666666666666667","0.0","0.05555555555555555","0.05330882352941176","1.5368611873858464E-10","0.0048543689320388345","OriTR388","35.5842620732799","34.09851405411766","35.78758499853315","0.0","217600.0","11600.0","205000.0","1000.0","0.7","0.3","0.0","0.00595625"
"85.0",1,4745,"0.5666666666666667","0.5666666666666667","0.0","0.09883720930232558","0.05632226781051846","1.8829478695339818E-10","0.008300395256916997","OriTR388","35.316918858429936","32.978690870945265","35.635479340386794","0.0","268100.0","15100.0","250900.0","2100.0","0.8095238095238095","0.19047619047619047","0.0","0.009508949999999999"
"95.0",1,4745,"0.6808510638297872","0.6808510638297872","0.0","0.1350210970464135","0.053985302430751836","2.3356339880843926E-10","0.013743651030773827","OriTR388","33.87654890643247","32.59890758810568","34.1918324373075","0.0","353800.0","19100.0","330100.0","4600.0","0.6956521739130435","0.30434782608695654","0.0","0.013634850000000004"
"105.0",1,4745,"0.6153846153846154","0.6153846153846154","0.0","0.15","0.05474205902230232","2.3269446416669237E-10","0.01835081029551954","OriTR388","33.552329234195916","32.21551950096921","34.1918324373075","0.0","443900.0","24300.0","411900.0","7700.0","0.6233766233766234","0.37662337662337664","0.0","0.018293150000000005"
"115.0",1,4745,"0.5895522388059702","0.5895522388059702","0.0","0.18329466357308585","0.05636628967530098","2.2362790984601981E-10","0.02358399381403441","OriTR388","33.50915647310535","31.911992133669308","34.1918324373075","0.0","548200.0","30900.0","505100.0","12200.0","0.6475409836065574","0.3524590163934426","0.0","0.023443049999999997"
"125.0",1,4745,"0.47478991596638653","0.47478991596638653","0.0","0.19482758620689655","0.055143915645483044","2.111773242566773E-10","0.02910571557834414","OriTR388","33.017221292842855","31.837041975787177","34.1918324373075","0.0","701800.0","38700.0","643800.0","19300.0","0.5854922279792746","0.41450777202072536","0.0","0.029043749999999993"
"135.0",1,4745,"0.34352941176470586","0.34352941176470586","0.0","0.18646232439335889","0.055235513385293124","1.9368267515318353E-10","0.0351506456241033","OriTR388","32.776556609692946","31.678858363964174","34.1918324373075","0.0","885300.0","48900.0","807000.0","29400.0","0.4965986394557823","0.5034013605442177","0.0","0.03505445"
"145.0",1,4745,"0.28756476683937826","0.28756476683937826","0.0","0.2096317280453258","0.055904522613065326","1.7285105919139052E-10","0.04144092766847258","OriTR388","32.59427041302518","31.462858952366954","34.1918324373075","0.0","1114400.0","62300.0","1008500.0","43600.0","0.5091743119266054","0.4908256880733945","0.0","0.041434349999999995"
"155.0",1,4745,"0.222302679217958","0.222302679217958","0.0","0.21468531468531468","0.055708926169745876","1.534553883025919E-10","0.048200899550224885","OriTR388","32.368786617605984","31.35421110539624","34.1918324373075","0.0","1412700.0","78700.0","1269700.0","64300.0","0.4774494556765163","0.5225505443234837","0.0","0.04814265"
"165.0",1,4745,"0.16483084185680566","0.16483084185680566","0.0","0.21777546777546777","0.055490294792191086","1.3460115738937818E-10","0.05519692034350015","OriTR388","32.18902143657653","31.277922123982773","34.1918324373075","0.0","1787700.0","99200.0","1595300.0","93200.0","0.44957081545064376","0.5504291845493562","0.0","0.05513855000000001"
"175.0",1,4745,"0.12206988058381248","0.12206988058381248","0.0","0.21263482280431434","0.056731583403895","1.1551771745093556E-10","0.06250590569781725","OriTR388","32.10001686739991","31.068406807507845","32.716302099097526","119.20505291312843","2243900.0","127300.0","1984300.0","132300.0","0.41723356009070295","0.5827664399092971","0.0","0.06238125"
"185.0",1,4745,"0.0969407512585517","0.0969407512585517","0.0","0.21825050857308922","0.05592580838534504","9.94852448921469E-11","0.06928622119299294","OriTR388","31.96666345027206","31.103945564179572","32.596795022918535","94.75294046278024","2835900.0","158600.0","2491800.0","185500.0","0.4048517520215633","0.5951482479784367","0.0","0.06982994999999999"
"195.0",1,4745,"0.07936631808958951","0.07936631808958951","0.0","0.22405816259087905","0.0561695340093426","8.641585831166815E-11","0.07746861419604056","OriTR388","32.00268320132785","31.150205641801616","32.596795022918535","80.64461249160442","3510800.0","197200.0","3056900.0","256700.0","0.3961823139851967","0.6038176860148032","0.0","0.07744384999999998"
