"tick","run","random_seed","Gamma end-point (D growth rate)","Gamma end-point (D+R+T growth rate)","Gamma end-point (T growth rate)"
0.0,1,1497498779,"0.0","0.0","0.0"
1.0,1,1497498779,"0.0","0.0","0.0"
11.0,1,1497498779,"0.0","0.0","0.0"
21.0,1,1497498779,"0.0","0.0","0.0"
31.0,1,1497498779,"0.0","0.0","0.0"
41.0,1,1497498779,"0.0","0.0","0.0"
51.0,1,1497498779,"0.0","0.0","0.0"
61.0,1,1497498779,"0.0","0.0","0.0"
71.0,1,1497498779,"0.0","0.0","0.0"
81.0,1,1497498779,"0.0","0.0","0.0"
91.0,1,1497498779,"0.0","0.0","0.0"
101.0,1,1497498779,"0.0","0.0","0.0"
111.0,1,1497498779,"0.0","0.0","0.0"
121.0,1,1497498779,"0.0","0.0","0.0"
131.0,1,1497498779,"0.0","0.0","0.0"
141.0,1,1497498779,"0.0","0.0","0.0"
151.0,1,1497498779,"0.0","0.0","0.0"
161.0,1,1497498779,"0.0","0.0","0.0"
171.0,1,1497498779,"0.0","0.0","0.0"
181.0,1,1497498779,"0.0","0.0","0.0"
191.0,1,1497498779,"8.335943779049997E-11","8.335943779049997E-11","0.0"
201.0,1,1497498779,"1.0810032797614776E-10","1.0810032797614776E-10","0.0"
211.0,1,1497498779,"7.256969164260814E-11","7.256969164260814E-11","0.0"
221.0,1,1497498779,"8.424329958098996E-11","8.424329958098996E-11","0.0"
231.0,1,1497498779,"8.653316899867778E-11","8.653316899867778E-11","0.0"
241.0,1,1497498779,"9.049669907359128E-11","9.049669907359128E-11","0.0"
251.0,1,1497498779,"8.26187977923219E-11","8.26187977923219E-11","0.0"
261.0,1,1497498779,"6.982585677447733E-11","6.982585677447733E-11","0.0"
271.0,1,1497498779,"7.618940938084644E-11","7.618940938084644E-11","2.1678189523122014E-12"
281.0,1,1497498779,"7.192200843846327E-11","7.192200843846327E-11","6.700142023754771E-12"
291.0,1,1497498779,"6.360237581285326E-11","6.360237581285326E-11","8.718299496248695E-12"
301.0,1,1497498779,"6.382885883706644E-11","6.382885883706644E-11","1.2881285835071481E-11"
311.0,1,1497498779,"5.987249584675902E-11","5.987249584675902E-11","1.4833765412664395E-11"
321.0,1,1497498779,"5.484519099071563E-11","5.484519099071563E-11","1.5639438124675624E-11"
331.0,1,1497498779,"5.1729686238891284E-11","5.1729686238891284E-11","1.668525325135261E-11"
341.0,1,1497498779,"4.5821802936989805E-11","4.5821802936989805E-11","1.5880316755692303E-11"
351.0,1,1497498779,"4.383337956334691E-11","4.383337956334691E-11","1.6667846328614662E-11"
361.0,1,1497498779,"4.089561181939124E-11","4.089561181939124E-11","1.6616350963885304E-11"
371.0,1,1497498779,"3.6807314697009313E-11","3.6807314697009313E-11","1.5565933639079734E-11"
381.0,1,1497498779,"3.453547386570924E-11","3.453547386570924E-11","1.5339941708364364E-11"
