"tick","run","random_seed","Gamma end-point (D growth rate)","Gamma end-point (D+R+T growth rate)","Gamma end-point (T growth rate)"
0.0,1,1497008596,"0.0","0.0","0.0"
1.0,1,1497008596,"0.0","0.0","0.0"
11.0,1,1497008596,"0.0","0.0","0.0"
21.0,1,1497008596,"0.0","0.0","0.0"
31.0,1,1497008596,"0.0","0.0","0.0"
41.0,1,1497008596,"0.0","0.0","0.0"
51.0,1,1497008596,"0.0","0.0","0.0"
61.0,1,1497008596,"0.0","0.0","0.0"
71.0,1,1497008596,"6.416709161129244E-9","6.416709161129244E-9","0.0"
81.0,1,1497008596,"4.3436654262613706E-9","4.3436654262613706E-9","0.0"
91.0,1,1497008596,"6.176364504697172E-9","6.176364504697172E-9","0.0"
101.0,1,1497008596,"3.774976095535162E-9","3.774976095535162E-9","0.0"
111.0,1,1497008596,"2.8741032658658656E-9","2.8741032658658656E-9","0.0"
121.0,1,1497008596,"3.5897099209820115E-9","3.5897099209820115E-9","0.0"
131.0,1,1497008596,"2.8130072387064613E-9","2.8130072387064613E-9","0.0"
141.0,1,1497008596,"2.098937063413708E-9","2.098937063413708E-9","0.0"
151.0,1,1497008596,"2.1853202127949916E-9","2.1853202127949916E-9","0.0"
161.0,1,1497008596,"1.4994941756728792E-9","1.4994941756728792E-9","0.0"
171.0,1,1497008596,"1.3443079791209241E-9","1.3443079791209241E-9","0.0"
181.0,1,1497008596,"1.2108967566777201E-9","1.2108967566777201E-9","0.0"
191.0,1,1497008596,"1.092076405351494E-9","1.092076405351494E-9","0.0"
201.0,1,1497008596,"8.740224388990309E-10","8.740224388990309E-10","0.0"
211.0,1,1497008596,"7.406420738350557E-10","7.406420738350557E-10","0.0"
221.0,1,1497008596,"6.782764006951997E-10","6.782764006951997E-10","0.0"
231.0,1,1497008596,"5.655728541746967E-10","5.655728541746967E-10","1.671248725973415E-11"
241.0,1,1497008596,"4.911605574721663E-10","4.911605574721663E-10","4.1137677702390074E-11"
251.0,1,1497008596,"4.6400848089141174E-10","4.6400848089141174E-10","7.469816195215632E-11"
261.0,1,1497008596,"4.073112273624334E-10","4.073112273624334E-10","8.436525303965987E-11"
271.0,1,1497008596,"3.5616329052903423E-10","3.5616329052903423E-10","9.021100574751329E-11"
281.0,1,1497008596,"3.2415355242564186E-10","3.2415355242564186E-10","9.797915612303373E-11"
291.0,1,1497008596,"2.869903797734673E-10","2.869903797734673E-10","9.733178367273074E-11"
301.0,1,1497008596,"2.5267043598529287E-10","2.5267043598529287E-10","9.403378063140451E-11"
311.0,1,1497008596,"2.2628610039724067E-10","2.2628610039724067E-10","9.17439057803475E-11"
321.0,1,1497008596,"1.9831742943535118E-10","1.9831742943535118E-10","8.48981420583812E-11"
331.0,1,1497008596,"1.7186837266801678E-10","1.7186837266801678E-10","7.712244823913386E-11"
341.0,1,1497008596,"1.5210781162264528E-10","1.5210781162264528E-10","7.131416535925641E-11"
351.0,1,1497008596,"1.3694202954431896E-10","1.3694202954431896E-10","6.695889937700661E-11"
361.0,1,1497008596,"1.2037648310758277E-10","1.2037648310758277E-10","6.05952648961314E-11"
371.0,1,1497008596,"1.0960450449026933E-10","1.0960450449026933E-10","5.710769838427078E-11"
381.0,1,1497008596,"9.832678977175656E-11","9.832678977175656E-11","5.254867557331756E-11"
391.0,1,1497008596,"8.942777411085945E-11","8.942777411085945E-11","4.886203968585854E-11"
401.0,1,1497008596,"8.1002849785086E-11","8.1002849785086E-11","4.511393760309968E-11"
411.0,1,1497008596,"7.363786405087401E-11","7.363786405087401E-11","4.170814811943448E-11"
421.0,1,1497008596,"6.770918911337E-11","6.770918911337E-11","3.905018858634171E-11"
431.0,1,1497008596,"6.219116900368461E-11","6.219116900368461E-11","3.640573239639823E-11"
441.0,1,1497008596,"5.680406986266836E-11","5.680406986266836E-11","3.364424022232794E-11"
451.0,1,1497008596,"5.211537679803417E-11","5.211537679803417E-11","3.122668241097836E-11"
461.0,1,1497008596,"4.8129551906337124E-11","4.8129551906337124E-11","2.9145632685744066E-11"
471.0,1,1497008596,"4.453468012933765E-11","4.453468012933765E-11","2.7252414391057493E-11"
481.0,1,1497008596,"4.143022786830942E-11","4.143022786830942E-11","2.559956011272645E-11"
491.0,1,1497008596,"3.831902883430021E-11","3.831902883430021E-11","2.3849876955124072E-11"
501.0,1,1497008596,"3.557306283284447E-11","3.557306283284447E-11","2.23041189947095E-11"
511.0,1,1497008596,"3.3166989181457364E-11","3.3166989181457364E-11","2.094970185957549E-11"
521.0,1,1497008596,"3.0824487068790545E-11","3.0824487068790545E-11","1.9582659548791234E-11"
531.0,1,1497008596,"2.8906221658662525E-11","2.8906221658662525E-11","1.8484622487780542E-11"
541.0,1,1497008596,"2.7074796816279254E-11","2.7074796816279254E-11","1.7420904413750674E-11"
551.0,1,1497008596,"2.5409726733835522E-11","2.5409726733835522E-11","1.6441527513756527E-11"
561.0,1,1497008596,"2.3857920170198224E-11","2.3857920170198224E-11","1.5514248110290078E-11"
571.0,1,1497008596,"2.249193572622658E-11","2.249193572622658E-11","1.4698522937411607E-11"
581.0,1,1497008596,"2.1194398446826487E-11","2.1194398446826487E-11","1.3913669810028556E-11"
591.0,1,1497008596,"2.0064732036312273E-11","2.0064732036312273E-11","1.3235398784703867E-11"
