"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,1497498779,"5000.0","0.0","700.0","4300.0"
1.0,1,1497498779,"5000.0","0.0","700.0","4300.0"
11.0,1,1497498779,"5000.0","0.0","700.0","4300.0"
21.0,1,1497498779,"5000.0","0.0","700.0","4300.0"
31.0,1,1497498779,"6900.0","0.0","1100.0","5800.0"
41.0,1,1497498779,"8300.0","0.0","1300.0","7000.0"
51.0,1,1497498779,"9500.0","0.0","1300.0","8200.0"
61.0,1,1497498779,"11400.0","0.0","1600.0","9800.0"
71.0,1,1497498779,"14000.0","0.0","2100.0","11900.0"
81.0,1,1497498779,"16300.0","0.0","2300.0","14000.0"
91.0,1,1497498779,"20700.0","0.0","2900.0","17800.0"
101.0,1,1497498779,"24500.0","0.0","3600.0","20900.0"
111.0,1,1497498779,"28500.0","0.0","4000.0","24500.0"
121.0,1,1497498779,"35800.0","0.0","5200.0","30600.0"
131.0,1,1497498779,"43400.0","0.0","6200.0","37200.0"
141.0,1,1497498779,"52600.0","0.0","7600.0","45000.0"
151.0,1,1497498779,"65700.0","0.0","9400.0","56300.0"
161.0,1,1497498779,"78400.0","0.0","11200.0","67200.0"
171.0,1,1497498779,"96800.0","0.0","14100.0","82700.0"
181.0,1,1497498779,"118900.0","0.0","17800.0","101100.0"
191.0,1,1497498779,"145900.0","200.0","21000.0","124700.0"
201.0,1,1497498779,"179000.0","400.0","26500.0","152100.0"
211.0,1,1497498779,"218500.0","400.0","32400.0","185700.0"
221.0,1,1497498779,"268200.0","700.0","39800.0","227700.0"
231.0,1,1497498779,"331500.0","1100.0","49400.0","281000.0"
241.0,1,1497498779,"403000.0","1700.0","59900.0","341400.0"
251.0,1,1497498779,"498600.0","2400.0","75300.0","420900.0"
261.0,1,1497498779,"606500.0","3000.0","91600.0","511900.0"
271.0,1,1497498779,"743400.0","4900.0","111500.0","627000.0"
281.0,1,1497498779,"908100.0","6900.0","136000.0","765200.0"
291.0,1,1497498779,"1098400.0","8900.0","163600.0","925900.0"
301.0,1,1497498779,"1322700.0","13100.0","198500.0","1111100.0"
311.0,1,1497498779,"1584000.0","17700.0","237600.0","1328700.0"
321.0,1,1497498779,"1893600.0","23100.0","281400.0","1589100.0"
331.0,1,1497498779,"2229200.0","30400.0","330900.0","1867900.0"
341.0,1,1497498779,"2615200.0","37200.0","387200.0","2190800.0"
351.0,1,1497498779,"3050100.0","48700.0","449700.0","2551700.0"
361.0,1,1497498779,"3518800.0","61000.0","518100.0","2939700.0"
371.0,1,1497498779,"4026600.0","72000.0","587500.0","3367100.0"
381.0,1,1497498779,"4579700.0","87900.0","663700.0","3828100.0"
