"Average D conjugations","Average T conjugations","tick","run","random_seed"
0.0,0.0,0.0,1,1497149918
0.0,0.0,1.0,1,1497149918
0.0,0.0,11.0,1,1497149918
0.0,0.0,21.0,1,1497149918
0.0,0.0,31.0,1,1497149918
0.0,0.0,41.0,1,1497149918
0.0,0.0,51.0,1,1497149918
0.0,0.0,61.0,1,1497149918
0.0,0.0,71.0,1,1497149918
0.0,0.0,81.0,1,1497149918
0.0,0.0,91.0,1,1497149918
0.0,0.0,101.0,1,1497149918
0.0,0.0,111.0,1,1497149918
0.0,0.0,121.0,1,1497149918
0.004184100418410043,0.0,131.0,1,1497149918
0.005244755244755241,0.0,141.0,1,1497149918
0.005805515239477502,0.0,151.0,1,1497149918
0.004962779156327548,0.0,161.0,1,1497149918
0.005246589716684158,0.0,171.0,1,1497149918
0.006129597197898431,0.0,181.0,1,1497149918
0.006864988558352404,0.0,191.0,1,1497149918
0.006455777921239521,0.0,201.0,1,1497149918
0.005543237250554328,0.0,211.0,1,1497149918
0.006161137440758306,4.7393364928909954E-4,221.0,1,1497149918
0.006899350649350651,8.116883116883138E-4,231.0,1,1497149918
0.008492569002123158,0.0010615711252653967,241.0,1,1497149918
0.008806559368357121,0.0015183723048891606,251.0,1,1497149918
0.008441044579266659,0.0013189132155104226,261.0,1,1497149918
0.008051529790660197,0.0011502185415228907,271.0,1,1497149918
0.008874546187979043,0.0010084711577248886,281.0,1,1497149918
0.008651129943502799,8.827683615819198E-4,291.0,1,1497149918
0.008078297343483004,9.321112319403468E-4,301.0,1,1497149918
0.008339029391660983,8.202323991797695E-4,311.0,1,1497149918
0.008904610880702627,8.538667967797044E-4,321.0,1,1497149918
0.008681497558328838,0.001519262072707541,331.0,1,1497149918
0.00811986466892214,0.0018366360560657297,341.0,1,1497149918
0.007719663457368368,0.002255182583051436,351.0,1,1497149918
0.008019933037452295,0.0023359028264424192,361.0,1,1497149918
0.008025908194874707,0.00302731624894397,371.0,1,1497149918
0.0080208797504615,0.0029282576866764337,381.0,1,1497149918
0.007847210201373208,0.002827303675494778,391.0,1,1497149918
0.007955323744797415,0.003003003003003003,401.0,1,1497149918
0.007846346394531644,0.0030326369500336824,411.0,1,1497149918
0.007852825693739811,0.0030440728812811337,421.0,1,1497149918
0.007681677775971321,0.0030076410339782158,431.0,1,1497149918
0.00752189207394661,0.0031434772846343773,441.0,1,1497149918
0.007507611403266028,0.0031483531691115555,451.0,1,1497149918
0.0074868021116621265,0.003007518796992456,461.0,1,1497149918
