"Average D conjugations","Average T conjugations","tick","run","random_seed"
0.0,0.0,0.0,1,1497206466
0.0,0.0,1.0,1,1497206466
0.0,0.0,11.0,1,1497206466
0.0,0.0,21.0,1,1497206466
0.0,0.0,31.0,1,1497206466
0.0,0.0,41.0,1,1497206466
0.0,0.0,51.0,1,1497206466
0.0,0.0,61.0,1,1497206466
0.0,0.0,71.0,1,1497206466
0.0,0.0,81.0,1,1497206466
0.0,0.0,91.0,1,1497206466
0.0,0.0,101.0,1,1497206466
0.0,0.0,111.0,1,1497206466
0.0,0.0,121.0,1,1497206466
0.0,0.0,131.0,1,1497206466
0.0,0.0,141.0,1,1497206466
0.0025125628140703496,0.0,151.0,1,1497206466
0.002141327623126338,0.0,161.0,1,1497206466
0.0019569471624266152,0.0,171.0,1,1497206466
0.001760563380281691,0.0,181.0,1,1497206466
0.0015698587127158567,0.0,191.0,1,1497206466
0.0014265335235378047,0.0,201.0,1,1497206466
0.0013140604467805528,0.0,211.0,1,1497206466
0.0011990407673860926,0.0,221.0,1,1497206466
0.001085776330076006,0.0,231.0,1,1497206466
0.0010020040080160333,0.0,241.0,1,1497206466
9.267840593141819E-4,0.0,251.0,1,1497206466
8.525149190110844E-4,0.0,261.0,1,1497206466
7.917656373713401E-4,0.0,271.0,1,1497206466
7.401924500370116E-4,0.0,281.0,1,1497206466
6.887052341597819E-4,0.0,291.0,1,1497206466
6.422607578676959E-4,0.0,301.0,1,1497206466
5.973715651135022E-4,0.0,311.0,1,1497206466
5.63380281690142E-4,0.0,321.0,1,1497206466
5.265929436545565E-4,0.0,331.0,1,1497206466
4.916420845624401E-4,0.0,341.0,1,1497206466
4.631773969430303E-4,0.0,351.0,1,1497206466
4.380201489268514E-4,0.0,361.0,1,1497206466
4.120313143798933E-4,0.0,371.0,1,1497206466
3.9123630672926497E-4,0.0,381.0,1,1497206466
3.717472118959109E-4,0.0,391.0,1,1497206466
3.5211267605633853E-4,0.0,401.0,1,1497206466
3.328894806924106E-4,0.0,411.0,1,1497206466
3.1685678073510836E-4,0.0,421.0,1,1497206466
3.01477238468496E-4,0.0,431.0,1,1497206466
2.868617326448652E-4,0.0,441.0,1,1497206466
2.735229759299781E-4,0.0,451.0,1,1497206466
2.6157467957101723E-4,0.0,461.0,1,1497206466
2.490660024906597E-4,0.0,471.0,1,1497206466
2.3906287353573966E-4,0.0,481.0,1,1497206466
2.2831050228310483E-4,0.0,491.0,1,1497206466
4.3792423910663387E-4,0.0,501.0,1,1497206466
4.184975936388357E-4,0.0,511.0,1,1497206466
6.012024048096205E-4,0.0,521.0,1,1497206466
5.783689994216318E-4,0.0,531.0,1,1497206466
5.543237250554337E-4,0.0,541.0,1,1497206466
5.308794903556898E-4,0.0,551.0,1,1497206466
5.127328661767215E-4,0.0,561.0,1,1497206466
4.93502220759992E-4,0.0,571.0,1,1497206466
4.7528517110266224E-4,0.0,581.0,1,1497206466
4.555808656036453E-4,0.0,591.0,1,1497206466
