"tick","run","random_seed","Gamma end-point (D growth rate)","Gamma end-point (D+R+T growth rate)","Gamma end-point (T growth rate)"
0.0,1,1497149918,"0.0","0.0","0.0"
1.0,1,1497149918,"0.0","0.0","0.0"
11.0,1,1497149918,"0.0","0.0","0.0"
21.0,1,1497149918,"0.0","0.0","0.0"
31.0,1,1497149918,"0.0","0.0","0.0"
41.0,1,1497149918,"0.0","0.0","0.0"
51.0,1,1497149918,"0.0","0.0","0.0"
61.0,1,1497149918,"0.0","0.0","0.0"
71.0,1,1497149918,"0.0","0.0","0.0"
81.0,1,1497149918,"0.0","0.0","0.0"
91.0,1,1497149918,"0.0","0.0","0.0"
101.0,1,1497149918,"0.0","0.0","0.0"
111.0,1,1497149918,"0.0","0.0","0.0"
121.0,1,1497149918,"0.0","0.0","0.0"
131.0,1,1497149918,"8.286119112492637E-10","8.286119112492637E-10","0.0"
141.0,1,1497149918,"1.155301116967673E-9","1.155301116967673E-9","0.0"
151.0,1,1497149918,"1.3533331423609532E-9","1.3533331423609532E-9","0.0"
161.0,1,1497149918,"9.841751649572561E-10","9.841751649572561E-10","0.0"
171.0,1,1497149918,"9.40101090272627E-10","9.40101090272627E-10","0.0"
181.0,1,1497149918,"1.0557013008372532E-9","1.0557013008372532E-9","0.0"
191.0,1,1497149918,"9.715601463930977E-10","9.715601463930977E-10","0.0"
201.0,1,1497149918,"7.662741749680818E-10","7.662741749680818E-10","0.0"
211.0,1,1497149918,"7.702144492850096E-10","7.702144492850096E-10","0.0"
221.0,1,1497149918,"6.99931182396524E-10","6.99931182396524E-10","0.0"
231.0,1,1497149918,"7.147359632267441E-10","7.147359632267441E-10","2.2317066635414743E-11"
241.0,1,1497149918,"7.323604117681655E-10","7.323604117681655E-10","7.712488242045097E-11"
251.0,1,1497149918,"6.749231885873929E-10","6.749231885873929E-10","1.0592631545618865E-10"
261.0,1,1497149918,"6.059101770293948E-10","6.059101770293948E-10","1.183743851404539E-10"
271.0,1,1497149918,"5.687458360658397E-10","5.687458360658397E-10","1.34316421901666E-10"
281.0,1,1497149918,"5.15572537764981E-10","5.15572537764981E-10","1.3841768601458143E-10"
291.0,1,1497149918,"4.797615496463424E-10","4.797615496463424E-10","1.4470816270522185E-10"
301.0,1,1497149918,"4.4017043137385657E-10","4.4017043137385657E-10","1.4432819107027455E-10"
311.0,1,1497149918,"3.9927311683390887E-10","3.9927311683390887E-10","1.4126270116592446E-10"
321.0,1,1497149918,"3.73990072190583E-10","3.73990072190583E-10","1.425834940156441E-10"
331.0,1,1497149918,"3.497249665421075E-10","3.497249665421075E-10","1.4173369801335945E-10"
341.0,1,1497149918,"3.183427039474222E-10","3.183427039474222E-10","1.3575794173561216E-10"
351.0,1,1497149918,"2.9524689469242216E-10","2.9524689469242216E-10","1.315593905705614E-10"
361.0,1,1497149918,"2.7127047040117563E-10","2.7127047040117563E-10","1.2553421400233463E-10"
371.0,1,1497149918,"2.578600782560919E-10","2.578600782560919E-10","1.2463542053687658E-10"
381.0,1,1497149918,"2.416047138898285E-10","2.416047138898285E-10","1.21338971337414E-10"
391.0,1,1497149918,"2.2368534621516417E-10","2.2368534621516417E-10","1.153834451035655E-10"
401.0,1,1497149918,"2.0787830833577098E-10","2.0787830833577098E-10","1.0976406724321848E-10"
411.0,1,1497149918,"1.973933918776257E-10","1.973933918776257E-10","1.0736796477496283E-10"
421.0,1,1497149918,"1.8465836351944738E-10","1.8465836351944738E-10","1.0256181869652607E-10"
431.0,1,1497149918,"1.6984587588494717E-10","1.6984587588494717E-10","9.55607521190792E-11"
441.0,1,1497149918,"1.5894272673427916E-10","1.5894272673427916E-10","9.102388557480326E-11"
451.0,1,1497149918,"1.4764436188632276E-10","1.4764436188632276E-10","8.561212027841501E-11"
461.0,1,1497149918,"1.379271499986119E-10","1.379271499986119E-10","8.103886314350693E-11"
