"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,1497548327,"5000.0","0.0","700.0","4300.0"
1.0,1,1497548327,"5000.0","0.0","700.0","4300.0"
11.0,1,1497548327,"5000.0","0.0","700.0","4300.0"
21.0,1,1497548327,"5000.0","0.0","700.0","4300.0"
31.0,1,1497548327,"7000.0","0.0","1000.0","6000.0"
41.0,1,1497548327,"8400.0","0.0","1300.0","7100.0"
51.0,1,1497548327,"9400.0","0.0","1300.0","8100.0"
61.0,1,1497548327,"11600.0","0.0","1600.0","10000.0"
71.0,1,1497548327,"14100.0","200.0","2000.0","11900.0"
81.0,1,1497548327,"16500.0","200.0","2100.0","14200.0"
91.0,1,1497548327,"19700.0","200.0","2400.0","17100.0"
101.0,1,1497548327,"24600.0","400.0","3500.0","20700.0"
111.0,1,1497548327,"30000.0","400.0","3800.0","25800.0"
121.0,1,1497548327,"35500.0","500.0","4300.0","30700.0"
131.0,1,1497548327,"44300.0","700.0","5800.0","37800.0"
141.0,1,1497548327,"53100.0","800.0","6500.0","45800.0"
151.0,1,1497548327,"65500.0","1000.0","7900.0","56600.0"
161.0,1,1497548327,"80900.0","1800.0","10500.0","68600.0"
171.0,1,1497548327,"97000.0","2100.0","11900.0","83000.0"
181.0,1,1497548327,"118700.0","2700.0","14700.0","101300.0"
191.0,1,1497548327,"145500.0","3900.0","18100.0","123500.0"
201.0,1,1497548327,"179000.0","4600.0","22500.0","151900.0"
211.0,1,1497548327,"219400.0","5400.0","27100.0","186900.0"
221.0,1,1497548327,"266500.0","7900.0","33300.0","225300.0"
231.0,1,1497548327,"331600.0","10500.0","41400.0","279700.0"
241.0,1,1497548327,"400600.0","13800.0","50800.0","336000.0"
251.0,1,1497548327,"490600.0","17400.0","61700.0","411500.0"
261.0,1,1497548327,"604200.0","23200.0","75500.0","505500.0"
271.0,1,1497548327,"736200.0","30900.0","92200.0","613100.0"
281.0,1,1497548327,"898600.0","39600.0","111600.0","747400.0"
291.0,1,1497548327,"1087200.0","51800.0","137100.0","898300.0"
301.0,1,1497548327,"1302500.0","66000.0","163400.0","1073100.0"
