"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,1497360899,"5000.0","0.0","700.0","4300.0"
1.0,1,1497360899,"5000.0","0.0","700.0","4300.0"
11.0,1,1497360899,"5000.0","0.0","700.0","4300.0"
21.0,1,1497360899,"5000.0","0.0","700.0","4300.0"
31.0,1,1497360899,"7300.0","0.0","1300.0","6000.0"
41.0,1,1497360899,"9100.0","0.0","1400.0","7700.0"
51.0,1,1497360899,"10500.0","0.0","1700.0","8800.0"
61.0,1,1497360899,"12800.0","0.0","2400.0","10400.0"
71.0,1,1497360899,"16300.0","0.0","2900.0","13400.0"
81.0,1,1497360899,"19500.0","0.0","3500.0","16000.0"
91.0,1,1497360899,"22700.0","0.0","4600.0","18100.0"
101.0,1,1497360899,"29000.0","100.0","5300.0","23600.0"
111.0,1,1497360899,"35200.0","100.0","6700.0","28400.0"
121.0,1,1497360899,"43300.0","300.0","8400.0","34600.0"
131.0,1,1497360899,"52900.0","500.0","10000.0","42400.0"
141.0,1,1497360899,"64700.0","700.0","12700.0","51300.0"
151.0,1,1497360899,"79000.0","1000.0","15000.0","63000.0"
161.0,1,1497360899,"95900.0","1400.0","18700.0","75800.0"
171.0,1,1497360899,"115200.0","2100.0","22500.0","90600.0"
181.0,1,1497360899,"138500.0","2900.0","26500.0","109100.0"
191.0,1,1497360899,"164400.0","3900.0","30600.0","129900.0"
201.0,1,1497360899,"195700.0","5000.0","37100.0","153600.0"
211.0,1,1497360899,"230900.0","6400.0","43100.0","181400.0"
221.0,1,1497360899,"274100.0","8200.0","51100.0","214800.0"
231.0,1,1497360899,"323800.0","9500.0","58400.0","255900.0"
241.0,1,1497360899,"379300.0","12000.0","67500.0","299800.0"
251.0,1,1497360899,"449700.0","14700.0","80600.0","354400.0"
261.0,1,1497360899,"526400.0","17600.0","92700.0","416100.0"
271.0,1,1497360899,"613800.0","22500.0","107500.0","483800.0"
281.0,1,1497360899,"719800.0","28200.0","124600.0","567000.0"
291.0,1,1497360899,"831600.0","33200.0","143200.0","655200.0"
301.0,1,1497360899,"953700.0","40000.0","164400.0","749300.0"
311.0,1,1497360899,"1097200.0","47600.0","187300.0","862300.0"
321.0,1,1497360899,"1242800.0","54700.0","212200.0","975900.0"
331.0,1,1497360899,"1414100.0","67200.0","240800.0","1106100.0"
341.0,1,1497360899,"1592100.0","78900.0","270600.0","1242600.0"
