"tick","run","random_seed","Rate (T/(R+T))"
0.0,1,1497008596,"0.0"
1.0,1,1497008596,"0.0"
11.0,1,1497008596,"0.0"
21.0,1,1497008596,"0.0"
31.0,1,1497008596,"0.0"
41.0,1,1497008596,"0.0"
51.0,1,1497008596,"0.0"
61.0,1,1497008596,"0.0"
71.0,1,1497008596,"0.008333333333333333"
81.0,1,1497008596,"0.007042253521126761"
91.0,1,1497008596,"0.011764705882352941"
101.0,1,1497008596,"0.009615384615384616"
111.0,1,1497008596,"0.008097165991902834"
121.0,1,1497008596,"0.013029315960912053"
131.0,1,1497008596,"0.013477088948787063"
141.0,1,1497008596,"0.011185682326621925"
151.0,1,1497008596,"0.014545454545454545"
161.0,1,1497008596,"0.011799410029498525"
171.0,1,1497008596,"0.013530135301353014"
181.0,1,1497008596,"0.014042126379137413"
191.0,1,1497008596,"0.015484922575387123"
201.0,1,1497008596,"0.015343562374916611"
211.0,1,1497008596,"0.015267175572519083"
221.0,1,1497008596,"0.017287234042553192"
231.0,1,1497008596,"0.017397607828923523"
241.0,1,1497008596,"0.018138566755872734"
251.0,1,1497008596,"0.021292039680619403"
261.0,1,1497008596,"0.02231878333004148"
271.0,1,1497008596,"0.023790387397524513"
281.0,1,1497008596,"0.026346989856408907"
291.0,1,1497008596,"0.027949301267468314"
301.0,1,1497008596,"0.02953020134228188"
311.0,1,1497008596,"0.03176846960791608"
321.0,1,1497008596,"0.03267728834739144"
331.0,1,1497008596,"0.03364901327972065"
341.0,1,1497008596,"0.03477519518980526"
351.0,1,1497008596,"0.0363183125599233"
361.0,1,1497008596,"0.036942801440703166"
371.0,1,1497008596,"0.03875032363856046"
381.0,1,1497008596,"0.039698063998395025"
391.0,1,1497008596,"0.04065490960652251"
401.0,1,1497008596,"0.04145679206674012"
411.0,1,1497008596,"0.04215744875356"
421.0,1,1497008596,"0.04331776880363453"
431.0,1,1497008596,"0.04414044168882695"
441.0,1,1497008596,"0.04457212052507504"
451.0,1,1497008596,"0.04509379931038513"
461.0,1,1497008596,"0.045596075922371505"
471.0,1,1497008596,"0.0462105766322957"
481.0,1,1497008596,"0.046803172185133746"
491.0,1,1497008596,"0.04697448941670039"
501.0,1,1497008596,"0.047250400427122266"
511.0,1,1497008596,"0.04766891437709175"
521.0,1,1497008596,"0.04775895726933922"
531.0,1,1497008596,"0.048119895679004786"
541.0,1,1497008596,"0.048480483776013536"
551.0,1,1497008596,"0.04876939783140135"
561.0,1,1497008596,"0.048930445109210345"
571.0,1,1497008596,"0.04915741572980833"
581.0,1,1497008596,"0.04933974546324096"
591.0,1,1497008596,"0.049645360463223105"
