"tick","run","random_seed","Gamma end-point (D growth rate)","Gamma end-point (D+R+T growth rate)","Gamma end-point (T growth rate)"
0.0,1,1497360899,"0.0","0.0","0.0"
1.0,1,1497360899,"0.0","0.0","0.0"
11.0,1,1497360899,"0.0","0.0","0.0"
21.0,1,1497360899,"0.0","0.0","0.0"
31.0,1,1497360899,"0.0","0.0","0.0"
41.0,1,1497360899,"0.0","0.0","0.0"
51.0,1,1497360899,"0.0","0.0","0.0"
61.0,1,1497360899,"0.0","0.0","0.0"
71.0,1,1497360899,"0.0","0.0","0.0"
81.0,1,1497360899,"0.0","0.0","0.0"
91.0,1,1497360899,"0.0","0.0","0.0"
101.0,1,1497360899,"9.97479906320408E-10","9.97479906320408E-10","0.0"
111.0,1,1497360899,"6.404059101933848E-10","6.404059101933848E-10","0.0"
121.0,1,1497360899,"1.222264315442756E-9","1.222264315442756E-9","0.0"
131.0,1,1497360899,"1.365203699806874E-9","1.365203699806874E-9","0.0"
141.0,1,1497360899,"1.2266956961626134E-9","1.2266956961626134E-9","0.0"
151.0,1,1497360899,"1.1900797071626667E-9","1.1900797071626667E-9","0.0"
161.0,1,1497360899,"1.0961429713661472E-9","1.0961429713661472E-9","0.0"
171.0,1,1497360899,"1.1204174041898887E-9","1.1204174041898887E-9","0.0"
181.0,1,1497360899,"1.0730468738169826E-9","1.0730468738169826E-9","0.0"
191.0,1,1497360899,"1.029552515948537E-9","1.029552515948537E-9","0.0"
201.0,1,1497360899,"9.097920820071499E-10","9.097920820071499E-10","4.03197683120787E-11"
211.0,1,1497360899,"8.353573560072506E-10","8.353573560072506E-10","8.922989926715704E-11"
221.0,1,1497360899,"7.526815856572086E-10","7.526815856572086E-10","1.2354319459912936E-10"
231.0,1,1497360899,"6.36131202097557E-10","6.36131202097557E-10","1.2268638420416428E-10"
241.0,1,1497360899,"5.842508700421276E-10","5.842508700421276E-10","1.4009255546283354E-10"
251.0,1,1497360899,"5.035491784775946E-10","5.035491784775946E-10","1.3888613065990675E-10"
261.0,1,1497360899,"4.420366221960602E-10","4.420366221960602E-10","1.3488854489187803E-10"
271.0,1,1497360899,"4.1204531617399103E-10","4.1204531617399103E-10","1.4276095626061482E-10"
281.0,1,1497360899,"3.749885915575813E-10","3.749885915575813E-10","1.4279594866657603E-10"
291.0,1,1497360899,"3.290906833740704E-10","3.290906833740704E-10","1.3228400448077877E-10"
301.0,1,1497360899,"2.9770356054209794E-10","2.9770356054209794E-10","1.2710929281231072E-10"
311.0,1,1497360899,"2.6685746845425457E-10","2.6685746845425457E-10","1.1958731326741003E-10"
321.0,1,1497360899,"2.364884492267736E-10","2.364884492267736E-10","1.095448700812891E-10"
331.0,1,1497360899,"2.2160004657839865E-10","2.2160004657839865E-10","1.0837976882593546E-10"
341.0,1,1497360899,"2.028552660251243E-10","2.028552660251243E-10","1.0282062398277382E-10"
