"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,1498435458,"20000.0","0.0","1000.0","19000.0"
1.0,1,1498435458,"20000.0","0.0","1000.0","19000.0"
11.0,1,1498435458,"20000.0","0.0","1000.0","19000.0"
21.0,1,1498435458,"20000.0","0.0","1000.0","19000.0"
31.0,1,1498435458,"26500.0","0.0","1400.0","25100.0"
41.0,1,1498435458,"33900.0","0.0","2000.0","31900.0"
51.0,1,1498435458,"38400.0","0.0","2100.0","36300.0"
61.0,1,1498435458,"46200.0","0.0","2400.0","43800.0"
71.0,1,1498435458,"54400.0","0.0","2900.0","51500.0"
81.0,1,1498435458,"67500.0","200.0","3600.0","63700.0"
91.0,1,1498435458,"80700.0","200.0","4300.0","76200.0"
101.0,1,1498435458,"96400.0","400.0","5500.0","90500.0"
111.0,1,1498435458,"119500.0","500.0","6200.0","112800.0"
121.0,1,1498435458,"144100.0","600.0","7400.0","136100.0"
131.0,1,1498435458,"176000.0","900.0","10000.0","165100.0"
141.0,1,1498435458,"213500.0","1300.0","11400.0","200800.0"
151.0,1,1498435458,"263400.0","1600.0","13600.0","248200.0"
161.0,1,1498435458,"321200.0","2100.0","17300.0","301800.0"
171.0,1,1498435458,"388900.0","2700.0","20100.0","366100.0"
181.0,1,1498435458,"483200.0","3800.0","25200.0","454200.0"
191.0,1,1498435458,"591000.0","5100.0","30600.0","555300.0"
201.0,1,1498435458,"722500.0","6500.0","36800.0","679200.0"
211.0,1,1498435458,"889100.0","8500.0","45500.0","835100.0"
221.0,1,1498435458,"1086600.0","11000.0","55700.0","1019900.0"
231.0,1,1498435458,"1314700.0","14100.0","66800.0","1233800.0"
241.0,1,1498435458,"1578700.0","17700.0","79500.0","1481500.0"
251.0,1,1498435458,"1887500.0","22300.0","93800.0","1771400.0"
261.0,1,1498435458,"2225300.0","28000.0","112000.0","2085300.0"
271.0,1,1498435458,"2607500.0","34000.0","131800.0","2441700.0"
