"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,1497296451,"5000.0","0.0","700.0","4300.0"
1.0,1,1497296451,"5000.0","0.0","700.0","4300.0"
11.0,1,1497296451,"5000.0","0.0","700.0","4300.0"
21.0,1,1497296451,"5000.0","0.0","700.0","4300.0"
31.0,1,1497296451,"7000.0","0.0","1000.0","6000.0"
41.0,1,1497296451,"8900.0","0.0","1300.0","7600.0"
51.0,1,1497296451,"9600.0","0.0","1500.0","8100.0"
61.0,1,1497296451,"11500.0","0.0","1700.0","9800.0"
71.0,1,1497296451,"13900.0","0.0","1900.0","12000.0"
81.0,1,1497296451,"17100.0","0.0","2600.0","14500.0"
91.0,1,1497296451,"20700.0","0.0","3000.0","17700.0"
101.0,1,1497296451,"24300.0","0.0","3700.0","20600.0"
111.0,1,1497296451,"30300.0","0.0","4700.0","25600.0"
121.0,1,1497296451,"36700.0","0.0","5600.0","31100.0"
131.0,1,1497296451,"44200.0","0.0","6600.0","37600.0"
141.0,1,1497296451,"54000.0","0.0","8000.0","46000.0"
151.0,1,1497296451,"65600.0","100.0","9800.0","55700.0"
161.0,1,1497296451,"80400.0","200.0","11900.0","68300.0"
171.0,1,1497296451,"96700.0","400.0","14300.0","82000.0"
181.0,1,1497296451,"118000.0","700.0","16700.0","100600.0"
191.0,1,1497296451,"140700.0","900.0","19400.0","120400.0"
201.0,1,1497296451,"167200.0","1100.0","23400.0","142700.0"
211.0,1,1497296451,"200300.0","1500.0","27400.0","171400.0"
221.0,1,1497296451,"237100.0","1900.0","31900.0","203300.0"
231.0,1,1497296451,"278600.0","2700.0","36600.0","239300.0"
241.0,1,1497296451,"331900.0","3600.0","43400.0","284900.0"
251.0,1,1497296451,"386700.0","4200.0","49500.0","333000.0"
261.0,1,1497296451,"458300.0","5900.0","57900.0","394500.0"
271.0,1,1497296451,"540800.0","7600.0","68100.0","465100.0"
281.0,1,1497296451,"627900.0","9100.0","78500.0","540300.0"
291.0,1,1497296451,"730200.0","11300.0","90100.0","628800.0"
301.0,1,1497296451,"841800.0","14900.0","104200.0","722700.0"
311.0,1,1497296451,"967800.0","18400.0","119500.0","829900.0"
321.0,1,1497296451,"1110900.0","21600.0","135600.0","953700.0"
331.0,1,1497296451,"1263900.0","25900.0","154400.0","1083600.0"
341.0,1,1497296451,"1433100.0","33400.0","173300.0","1226400.0"
351.0,1,1497296451,"1615300.0","39700.0","196400.0","1379200.0"
361.0,1,1497296451,"1812100.0","46700.0","223000.0","1542400.0"
371.0,1,1497296451,"2026900.0","55600.0","244400.0","1726900.0"
381.0,1,1497296451,"2259600.0","65600.0","272000.0","1922000.0"
