"tick","run","random_seed","Population growth rate","Donors growth rate","Recipients growth rate","Transconjugants growth rate"
0.0,1,1497360899,"0.0","0.0","-0.7018888376352254","0.0"
1.0,1,1497360899,"0.0","0.0","0.7018888376352254","0.0"
11.0,1,1497360899,"0.0","0.0","0.06380807614865686","0.0"
21.0,1,1497360899,"0.0","0.0","0.03342327798262978","0.0"
31.0,1,1497360899,"0.7325896003965652","1.0647976466546325","0.667553465279348","0.0"
41.0,1,1497360899,"0.8765040095555516","0.9135611364525323","0.8698660012190605","0.0"
51.0,1,1497360899,"0.8730247479673138","0.9628915015800941","0.8564281035952598","0.0"
61.0,1,1497360899,"0.9247639083080563","1.1442889181023703","0.8803751552451387","0.0"
71.0,1,1497360899,"0.998822647568843","1.1430730982283468","0.9705994180802394","0.0"
81.0,1,1497360899,"1.0083124370237246","1.141276012257481","0.982154529000539","0.0"
91.0,1,1497360899,"0.997714041184556","1.1960869429263161","0.9555521222095809","0.0"
101.0,1,1497360899,"1.0444601995101657","1.16182647807893","1.0185960219411607","0.0"
111.0,1,1497360899,"1.0551134237860993","1.1838833410967124","1.0269256384986274","0.0"
121.0,1,1497360899,"1.0706299365203056","1.1981896394426914","1.0399896940234197","0.0"
131.0,1,1497360899,"1.0806368668906179","1.1865956841567549","1.0537300130506244","0.0"
141.0,1,1497360899,"1.0896955908060282","1.2041676084129718","1.0600938663602748","0.0"
151.0,1,1497360899,"1.0968903064593523","1.1905716874228407","1.0715370514512843","0.0"
161.0,1,1497360899,"1.1010187573893866","1.1988019118990576","1.0739248973905906","0.0"
171.0,1,1497360899,"1.1009814524041945","1.1936176314453975","1.0737145731030988","0.0"
181.0,1,1497360899,"1.1012257154106377","1.1819234778183592","1.0759991253146137","0.0"
191.0,1,1497360899,"1.0974326562794872","1.1652409494018825","1.0744907337220888","0.0"
201.0,1,1497360899,"1.0948673885088134","1.1647767236574227","1.0710684369674186","0.048521854949248815"
211.0,1,1497360899,"1.0900201130395468","1.1522090228215391","1.0676195136135584","0.11643206848692635"
221.0,1,1497360899,"1.087269662134375","1.146306038937328","1.06520232599688","0.17846160981009013"
231.0,1,1497360899,"1.0834908188850174","1.1313721291711094","1.0645730292187845","0.20896565118814242"
241.0,1,1497360899,"1.0779260332179272","1.1204864313457508","1.059824946362955","0.2584667312220281"
251.0,1,1497360899,"1.0756860932469607","1.1182526322755468","1.0576026252497945","0.296689748849207"
261.0,1,1497360899,"1.0706810466780539","1.1075674800330326","1.053984513463285","0.3267209122000273"
271.0,1,1497360899,"1.065187747768292","1.0994983624163261","1.0484736041946174","0.3690546051596902"
281.0,1,1497360899,"1.0613019828192067","1.0918957925720563","1.0450509776635935","0.40414462431749903"
291.0,1,1497360899,"1.0546051812315094","1.0830661197521763","1.0389545071939839","0.42391779399268614"
301.0,1,1497360899,"1.0468818768281567","1.074609126820824","1.031193178657985","0.4469829476656007"
311.0,1,1497360899,"1.04026693407505","1.0652196292676694","1.0251398502798508","0.46617667643911814"
321.0,1,1497360899,"1.0311547936988135","1.0553698167379162","1.0163403255049765","0.4776458143252381"
331.0,1,1497360899,"1.0234128945503436","1.0464088440732293","1.0083405642816436","0.5005290144901071"
341.0,1,1497360899,"1.0142656501661007","1.0362553928423555","0.9992490424890239","0.5140977065956764"
