"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,1497149918,"5000.0","0.0","700.0","4300.0"
1.0,1,1497149918,"5000.0","0.0","700.0","4300.0"
11.0,1,1497149918,"5000.0","0.0","700.0","4300.0"
21.0,1,1497149918,"5000.0","0.0","700.0","4300.0"
31.0,1,1497149918,"7000.0","0.0","1000.0","6000.0"
41.0,1,1497149918,"9000.0","0.0","1300.0","7700.0"
51.0,1,1497149918,"10300.0","0.0","1400.0","8900.0"
61.0,1,1497149918,"12300.0","0.0","1700.0","10600.0"
71.0,1,1497149918,"15000.0","0.0","2200.0","12800.0"
81.0,1,1497149918,"18500.0","0.0","2600.0","15900.0"
91.0,1,1497149918,"21700.0","0.0","2700.0","19000.0"
101.0,1,1497149918,"26800.0","0.0","3800.0","23000.0"
111.0,1,1497149918,"32500.0","0.0","4600.0","27900.0"
121.0,1,1497149918,"40100.0","0.0","5600.0","34500.0"
131.0,1,1497149918,"47800.0","200.0","6700.0","40900.0"
141.0,1,1497149918,"57200.0","400.0","7800.0","49000.0"
151.0,1,1497149918,"68900.0","700.0","9500.0","58700.0"
161.0,1,1497149918,"80600.0","700.0","11000.0","68900.0"
171.0,1,1497149918,"95300.0","900.0","12200.0","82200.0"
181.0,1,1497149918,"114200.0","1500.0","14900.0","97800.0"
191.0,1,1497149918,"131100.0","1800.0","16500.0","112800.0"
201.0,1,1497149918,"154900.0","2000.0","19600.0","133300.0"
211.0,1,1497149918,"180400.0","2700.0","22100.0","155600.0"
221.0,1,1497149918,"211000.0","3400.0","25900.0","181700.0"
231.0,1,1497149918,"246400.0","4800.0","30100.0","211500.0"
241.0,1,1497149918,"282600.0","6500.0","33800.0","242300.0"
251.0,1,1497149918,"329300.0","8200.0","39200.0","281900.0"
261.0,1,1497149918,"379100.0","9900.0","45300.0","323900.0"
271.0,1,1497149918,"434700.0","12200.0","50900.0","371600.0"
281.0,1,1497149918,"495800.0","14600.0","58200.0","423000.0"
291.0,1,1497149918,"566400.0","17700.0","65200.0","483500.0"
301.0,1,1497149918,"643700.0","20900.0","72600.0","550200.0"
311.0,1,1497149918,"731500.0","24800.0","82600.0","624100.0"
321.0,1,1497149918,"819800.0","29700.0","92700.0","697400.0"
331.0,1,1497149918,"921500.0","35200.0","102600.0","783700.0"
341.0,1,1497149918,"1034500.0","41300.0","116600.0","876600.0"
351.0,1,1497149918,"1152900.0","48000.0","129000.0","975900.0"
361.0,1,1497149918,"1284300.0","55400.0","143500.0","1085400.0"
371.0,1,1497149918,"1420400.0","65200.0","157500.0","1197700.0"
381.0,1,1497149918,"1570900.0","76300.0","175200.0","1319400.0"
391.0,1,1497149918,"1733100.0","86800.0","192200.0","1454100.0"
401.0,1,1497149918,"1898100.0","97800.0","209500.0","1590800.0"
411.0,1,1497149918,"2077400.0","112900.0","228400.0","1736100.0"
421.0,1,1497149918,"2266700.0","127000.0","247600.0","1892100.0"
431.0,1,1497149918,"2460400.0","139000.0","268100.0","2053300.0"
441.0,1,1497149918,"2672200.0","155100.0","289800.0","2227300.0"
451.0,1,1497149918,"2890400.0","169800.0","311300.0","2409300.0"
461.0,1,1497149918,"3125500.0","186700.0","333700.0","2605100.0"
