"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,1497206466,"5000.0","0.0","700.0","4300.0"
1.0,1,1497206466,"5000.0","0.0","700.0","4300.0"
11.0,1,1497206466,"5000.0","0.0","700.0","4300.0"
21.0,1,1497206466,"5000.0","0.0","700.0","4300.0"
31.0,1,1497206466,"7100.0","0.0","800.0","6300.0"
41.0,1,1497206466,"8500.0","0.0","1000.0","7500.0"
51.0,1,1497206466,"9800.0","0.0","1300.0","8500.0"
61.0,1,1497206466,"12000.0","0.0","1400.0","10600.0"
71.0,1,1497206466,"14400.0","0.0","1400.0","13000.0"
81.0,1,1497206466,"16200.0","0.0","1500.0","14700.0"
91.0,1,1497206466,"18700.0","0.0","1600.0","17100.0"
101.0,1,1497206466,"21000.0","0.0","1800.0","19200.0"
111.0,1,1497206466,"24500.0","0.0","1800.0","22700.0"
121.0,1,1497206466,"27800.0","0.0","1900.0","25900.0"
131.0,1,1497206466,"31800.0","0.0","2300.0","29500.0"
141.0,1,1497206466,"36000.0","0.0","2400.0","33600.0"
151.0,1,1497206466,"39800.0","100.0","2700.0","37000.0"
161.0,1,1497206466,"46700.0","200.0","3100.0","43400.0"
171.0,1,1497206466,"51100.0","200.0","3400.0","47500.0"
181.0,1,1497206466,"56800.0","200.0","3700.0","52900.0"
191.0,1,1497206466,"63700.0","300.0","4300.0","59100.0"
201.0,1,1497206466,"70100.0","300.0","4500.0","65300.0"
211.0,1,1497206466,"76100.0","300.0","4900.0","70900.0"
221.0,1,1497206466,"83400.0","400.0","5600.0","77400.0"
231.0,1,1497206466,"92100.0","400.0","5900.0","85800.0"
241.0,1,1497206466,"99800.0","400.0","6300.0","93100.0"
251.0,1,1497206466,"107900.0","400.0","6500.0","101000.0"
261.0,1,1497206466,"117300.0","400.0","6900.0","110000.0"
271.0,1,1497206466,"126300.0","500.0","7500.0","118300.0"
281.0,1,1497206466,"135100.0","500.0","7700.0","126900.0"
291.0,1,1497206466,"145200.0","600.0","8500.0","136100.0"
301.0,1,1497206466,"155700.0","600.0","8700.0","146400.0"
311.0,1,1497206466,"167400.0","700.0","9200.0","157500.0"
321.0,1,1497206466,"177500.0","700.0","10000.0","166800.0"
331.0,1,1497206466,"189900.0","700.0","10700.0","178500.0"
341.0,1,1497206466,"203400.0","700.0","11100.0","191600.0"
351.0,1,1497206466,"215900.0","700.0","11900.0","203300.0"
361.0,1,1497206466,"228300.0","700.0","12500.0","215100.0"
371.0,1,1497206466,"242700.0","700.0","13000.0","229000.0"
381.0,1,1497206466,"255600.0","700.0","13500.0","241400.0"
391.0,1,1497206466,"269000.0","700.0","13700.0","254600.0"
401.0,1,1497206466,"284000.0","700.0","14400.0","268900.0"
411.0,1,1497206466,"300400.0","700.0","14800.0","284900.0"
421.0,1,1497206466,"315600.0","700.0","15200.0","299700.0"
431.0,1,1497206466,"331700.0","700.0","15900.0","315100.0"
441.0,1,1497206466,"348600.0","700.0","16200.0","331700.0"
451.0,1,1497206466,"365600.0","700.0","17000.0","347900.0"
461.0,1,1497206466,"382300.0","700.0","17500.0","364100.0"
471.0,1,1497206466,"401500.0","700.0","17700.0","383100.0"
481.0,1,1497206466,"418300.0","700.0","18500.0","399100.0"
491.0,1,1497206466,"438000.0","700.0","19000.0","418300.0"
501.0,1,1497206466,"456700.0","800.0","19300.0","436600.0"
511.0,1,1497206466,"477900.0","800.0","19800.0","457300.0"
521.0,1,1497206466,"499000.0","1000.0","20500.0","477500.0"
531.0,1,1497206466,"518700.0","1000.0","20800.0","496900.0"
541.0,1,1497206466,"541200.0","1000.0","21400.0","518800.0"
551.0,1,1497206466,"565100.0","1100.0","21500.0","542500.0"
561.0,1,1497206466,"585100.0","1100.0","22200.0","561800.0"
571.0,1,1497206466,"607900.0","1100.0","22800.0","584000.0"
581.0,1,1497206466,"631200.0","1100.0","23200.0","606900.0"
591.0,1,1497206466,"658500.0","1100.0","23800.0","633600.0"
