"tick","run","random_seed","Generation Time G(D+T+R)","Generation Time G(D)","Generation Time G(R)","Generation Time G(T)"
0.0,1,1497296451,"0.0","10.113408000636843","-59.65720642289129","0.0"
1.0,1,1497296451,"0.0","-10.113408000636843","59.65720642289129","0.0"
11.0,1,1497296451,"0.0","-111.24748800700527","0.0","0.0"
21.0,1,1497296451,"0.0","-212.3815680133737","0.0","0.0"
31.0,1,1497296451,"64.28567489009488","0.0","62.725653375501395","0.0"
41.0,1,1497296451,"49.6136183599147","52.009937122812744","49.21960601812472","0.0"
51.0,1,1497296451,"54.55163581629684","51.338888739168326","55.175870249359484","0.0"
61.0,1,1497296451,"51.101537245116695","52.013197615171045","50.94530344221583","0.0"
71.0,1,1497296451,"48.452659985955435","53.29591253857672","47.72741404775796","0.0"
81.0,1,1497296451,"45.963023655765646","45.461946947508444","46.05331771253898","0.0"
91.0,1,1497296451,"44.69326147480073","45.802341914356056","44.50686687775448","0.0"
101.0,1,1497296451,"44.57390612200412","44.155639935147526","44.64920485202321","0.0"
111.0,1,1497296451,"42.98727213901281","42.20178077972306","43.131780449689394","0.0"
121.0,1,1497296451,"42.35512712189254","41.994665831656484","42.42003398640958","0.0"
131.0,1,1497296451,"41.94291795204418","42.030384323089045","41.92756146336747","0.0"
141.0,1,1497296451,"41.34535566887527","41.56233356752738","41.30757668747506","0.0"
151.0,1,1497296451,"40.93048651305308","40.9953577225337","40.94761263555649","0.0"
161.0,1,1497296451,"40.444701332545705","40.6401166370622","40.45322839296694","0.0"
171.0,1,1497296451,"40.27977862972176","40.47426604627653","40.31210296134399","0.0"
181.0,1,1497296451,"39.95047368646184","40.699197044486326","39.91276641771452","0.0"
191.0,1,1497296451,"39.935020851713126","40.969158348384795","39.85490363124486","0.0"
201.0,1,1497296451,"39.959613459374104","40.764918940067254","39.91329765716466","0.0"
211.0,1,1497296451,"39.89452629656009","40.91625505004091","39.82219876030794","0.0"
221.0,1,1497296451,"39.95896981287877","41.11775483459471","39.86888454994718","0.0"
231.0,1,1497296451,"40.09138297529413","41.458883085706645","39.987346436925954","0.0"
241.0,1,1497296451,"40.08167402041701","41.4373147246346","39.98804265718479","0.0"
251.0,1,1497296451,"40.27771562893374","41.8020167443524","40.15754234938191","0.0"
261.0,1,1497296451,"40.30767565657319","41.89986448886742","40.19545366926432","0.0"
271.0,1,1497296451,"40.37292040880032","41.93953609502726","40.27212992002935","0.0"
281.0,1,1497296451,"40.56919545772844","42.15821432949655","40.46652037569298","0.0"
291.0,1,1497296451,"40.740571068069","42.40196407354353","40.6344680370672","0.0"
301.0,1,1497296451,"40.971398223476484","42.566663440343866","40.89186037922488","0.0"
311.0,1,1497296451,"41.21120377554113","42.79259865530856","41.14245559203678","0.0"
321.0,1,1497296451,"41.45076983681578","43.09445113299149","41.37464132507691","0.0"
331.0,1,1497296451,"41.74522303449833","43.35392282341994","41.68039108539004","0.0"
341.0,1,1497296451,"42.05146312995481","43.71608188564921","42.001267532366754","0.0"
351.0,1,1497296451,"42.38805601578459","43.98681047936077","42.35505470867456","0.0"
361.0,1,1497296451,"42.7451624657935","44.23096026979893","42.73521127247933","0.0"
371.0,1,1497296451,"43.10973076808915","44.73635325736826","43.0929431133306","0.0"
381.0,1,1497296451,"43.48469621901803","45.1081073645725","43.47973601583603","0.0"
